ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
33583664;2150687;715981;5070102;44;0;0;2025-09-30;1900-01-01;2079-06-06;0;717885.715486.716314.715981.2150687
33593316;69439602;716590;103493206;44;0;0;2025-09-30;2015-10-08;2079-06-06;0;717885.715486.716314.716590.69439602
33596936;65441065;65439177;97617146;44;0;0;2025-10-01;2019-02-21;2079-06-06;0;717885.715486.716314.716447.65439177.65441065
33626293;58168528;719954;86946906;44;0;0;2025-09-30;1900-01-01;2079-06-06;0;717885.715486.716314.719954.58168528
33633540;74762955;74760161;111251795;44;0;0;2025-10-01;2019-02-26;2079-06-06;0;717885.715486.716314.720530.74760161.74762955
33643513;6522652;6521517;11421827;44;0;0;2025-09-30;2019-02-21;2079-06-06;0;717885.715486.716314.722260.6521517.6522652
33651590;67167416;67166815;100150036;44;0;0;2025-10-01;2019-02-21;2079-06-06;0;717885.715486.716314.723756.67166815.67167416
43544641;18495017;725127;29098859;44;0;0;2025-09-30;1900-01-01;2079-06-06;0;717885.724574.726754.725127.18495017
247038900;174926023;713271;689655661;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.713957.713271.174926023
247039037;174926160;716757;689655862;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720881.717340.716757.174926160
247043812;174930465;723821;689669613;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174930465
247045484;174932115;718758;689672705;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.718758.174932115
247047155;174933780;157661346;689675430;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.715486.720078.157661346.174933780
247058524;174944818;718711;689699816;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720188.720265.718711.174944818
247051792;174938339;717244;689686656;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.717244.174938339
247051969;174938513;718801;689686884;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.719209.718801.174938513
247052144;174938687;722973;689687108;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.722973.174938687
247052393;174938934;726634;689687685;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.726634.174938934
247052643;174939182;169963799;689688134;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939182
247052645;174939184;169963799;689688136;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939184
247052647;174939186;169963799;689688138;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939186
247052649;174939188;169963799;689688140;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939188
247052651;174939190;169963799;689688142;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939190
247052653;174939192;169963799;689688144;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939192
247052655;174939194;169963799;689688146;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939194
247052657;174939196;169963799;689688148;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939196
247052659;174939198;169963799;689688150;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939198
247052661;174939200;169963799;689688152;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939200
247052663;174939202;169963799;689688154;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939202
247052665;174939204;169963799;689688156;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939204
247052667;174939206;169963799;689688158;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939206
247052669;174939208;169963799;689688160;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939208
247052671;174939210;169963799;689688162;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939210
247052673;174939212;169963799;689688164;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939212
247052675;174939214;169963799;689688166;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939214
247052677;174939216;169963799;689688168;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939216
247052679;174939218;169963799;689688170;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939218
247052681;174939220;169963799;689688172;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939220
247052683;174939222;169963799;689688174;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939222
247052685;174939224;169963799;689688176;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939224
247052687;174939226;169963799;689688178;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939226
247052689;174939228;169963799;689688180;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939228
247052691;174939230;169963799;689688182;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939230
247052693;174939232;169963799;689688184;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939232
247052695;174939234;169963799;689688186;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939234
247052697;174939236;169963799;689688188;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939236
247052699;174939238;169963799;689688190;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939238
247052701;174939240;169963799;689688192;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939240
247052703;174939242;169963799;689688194;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939242
247052705;174939244;169963799;689688196;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939244
247052707;174939246;169963799;689688198;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939246
247052709;174939248;169963799;689688200;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939248
247052711;174939250;169963799;689688202;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939250
247052713;174939252;169963799;689688204;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939252
247052715;174939254;169963799;689688206;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939254
247052717;174939256;169963799;689688208;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939256
247052719;174939258;169963799;689688210;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939258
247052721;174939260;169963799;689688212;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939260
247052723;174939262;169963799;689688214;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939262
247052725;174939264;169963799;689688216;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939264
247052727;174939266;169963799;689688218;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.720249.169963799.174939266
247053559;174940093;174930465;689690417;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174930465.174940093
247054097;174940629;723821;689691319;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940629
247054099;174940631;723821;689691321;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940631
247054101;174940633;723821;689691323;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940633
247054103;174940635;723821;689691325;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940635
247054105;174940637;723821;689691327;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940637
247054107;174940639;723821;689691329;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940639
247054109;174940641;723821;689691331;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940641
247054111;174940643;723821;689691333;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940643
247054113;174940645;723821;689691335;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940645
247054115;174940647;723821;689691337;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940647
247054117;174940649;723821;689691339;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940649
247054119;174940651;723821;689691341;44;0;0;2025-09-29;2025-09-29;2079-06-06;1;717885.724574.723821.174940651
