ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
49012810;81947155;09c2f1fe-751a-4653-bb8f-b1b0820de1a1;121766530;2;2;10;0;111818968;2025-10-01;2019-02-21;2025-10-01;0;0
3100230;6522652;a0b07b24-ba4f-49be-b834-4888a9b7c46a;11421827;1;2;10;0;111810585;2025-09-30;2019-02-21;2025-09-30;0;0
24333827;41512263;a3d99f2e-95ee-4ee3-b14d-c7120f188d69;62770673;2;2;10;0;111810625;2025-09-30;2019-02-28;2025-09-30;0;0
111798727;172150594;ce4b5944-da99-4efc-a876-80cfe4ffa0fe;689655660;2;2;20;110860805;;2025-09-29;2025-09-29;2079-06-06;1;1
111800328;20536255;86f9227b-9827-4bc7-8d10-32fdc4c8a4b7;689667478;12;4;20;11471708;;2025-09-29;2025-09-29;2079-06-06;1;1
111804018;174941063;1c4adc2f-4993-4918-831d-4d726e9b3c86;689692240;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51171330;96972293;797a6034-9598-40b8-a8c8-e30bef736d3c;151495786;45;2;10;0;111809825;2025-09-30;2020-06-02;2025-09-30;0;0
111810498;26467219;d2aba78d-86a7-42e1-b0b1-dd17bd0880ee;689748186;3;2;30;15067065;0;2025-09-30;2025-09-30;2079-06-06;1;0
111810585;6522652;a0b07b24-ba4f-49be-b834-4888a9b7c46a;689748987;1;2;30;3100230;0;2025-09-30;2025-09-30;2079-06-06;1;0
111811373;174970615;0253bf8b-073e-4d1e-b56f-d021ca3f1b47;689777078;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111811431;174970681;bec9e8d4-0dd1-4309-bd78-478b4e0bb980;689777151;3;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
38974699;65428754;e6765622-38f4-4f03-a1ec-55ae7348507f;97599445;1;2;10;0;111818962;2025-10-01;2019-02-21;2025-10-01;0;0
38982430;65441065;181d3dc0-ba41-4b5f-9e0b-c92f2b716885;97617146;1;2;10;0;111818963;2025-10-01;2019-02-21;2025-10-01;0;0
38982440;65441082;c8ef44d2-3d04-4f47-87c9-45bef6e25339;97617172;2;2;10;0;111818964;2025-10-01;2019-02-21;2025-10-01;0;0
111818966;74762955;e64cf51e-c865-431d-93db-6f8bc295dc57;689821326;1;2;30;44669033;0;2025-10-01;2025-10-01;2079-06-06;1;0
111818967;81910463;f45f5bb9-1f82-4813-86bc-b9d070923a0f;689821327;2;2;30;48989897;0;2025-10-01;2025-10-01;2079-06-06;1;0
111818968;81947155;09c2f1fe-751a-4653-bb8f-b1b0820de1a1;689821328;2;2;30;49012810;0;2025-10-01;2025-10-01;2079-06-06;1;0
111818976;2151695;c3b3aff6-f8da-4d97-8ace-031af3167cf4;689821916;3;2;30;414489;0;2025-10-01;2025-10-01;2079-06-06;1;0
2502943;5545129;25a29a03-2561-4290-8cbf-d5034f3c1c8c;10004075;2;2;10;0;111818977;2025-10-01;2019-02-19;2025-10-01;0;0
2502957;5545150;cb97be47-94e3-49db-9fe1-367097614d92;10004113;1;2;10;0;111818978;2025-10-01;2019-02-19;2025-10-01;0;0
