ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
74171432;174926023;f702e366-1afa-4906-b237-85e93218e0e2;689655661;49А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
71263228;169616896;14f9e48f-92f5-4986-8501-e94366eddb16;619016862;315;10;0;74173475;2025-09-29;2025-01-21;2025-09-29;0;0
74174165;174932112;c645c437-7d54-4833-b717-486703b971e9;689672700;206;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174168;174932115;a3335cc2-1f52-45c1-adc1-754da8b41e3d;689672705;207;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176717;174938513;0600c24f-d465-46be-8301-5b990970e53f;689686884;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176738;174938565;43d1c338-78bf-4a70-8483-bcfa0e319740;689686970;25;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176882;174938934;91eb5d02-646b-4564-bfc0-e866392a834b;689687685;10;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177035;174939182;5863ca00-d1b5-44cc-b4fe-e93c5ed7504c;689688134;85;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177037;174939184;697adc84-690b-4c5a-833f-f66dc5b846fe;689688136;83;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177039;174939186;ff971204-bf47-4cd8-8c0d-55c82ffcf2ac;689688138;81;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177041;174939188;f581ef03-6c95-423d-add1-832dbd5f9ba9;689688140;79;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177043;174939190;64b34e04-a902-424a-8e39-730ffa88fc0f;689688142;73;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177045;174939192;c89ef406-b12d-46ad-9afd-92a661bb3829;689688144;71;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177047;174939194;ad0cbb73-3934-41f1-9528-3bcb21e4e8c2;689688146;69;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177049;174939196;747438c7-5536-4181-8cca-3a8c5d2294cc;689688148;67;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177051;174939198;d6fde9b3-fee1-4e89-b0f9-524d1e56336b;689688150;65;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177053;174939200;103f69a4-f3f5-4dec-bb3f-ca7032196f3b;689688152;63;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177055;174939202;ab1c927a-db99-4d5a-9834-50c6d8fdf828;689688154;61;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177057;174939204;ae2fd0bb-876e-4bf1-bb62-2ab3eb0f87fc;689688156;59;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177059;174939206;e2481e00-9efb-4b8d-aa80-7680ccdf4dd2;689688158;57;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177061;174939208;91e3c375-9e13-47d1-be00-9de5bedda144;689688160;55;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177063;174939210;bc8c30db-2dab-4578-b572-b0c86c674985;689688162;53;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177065;174939212;73e21cb3-8639-4685-9c72-6413679a7c92;689688164;51;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177067;174939214;668a889f-10b3-4937-981a-0cf121e7c0e6;689688166;49;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177069;174939216;f8d6e355-85e2-448a-8194-5d94a0e81509;689688168;47;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177071;174939218;4b8a2ac4-27e8-47ff-b6b0-997d41be09c6;689688170;45;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177073;174939220;82099ccd-bc6a-4b78-b4e8-aa3ea1eae3cc;689688172;43;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177075;174939222;64e5bc9c-4a5f-4c66-8a2d-567ff43c4729;689688174;41;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177077;174939224;f0cd6b8b-3594-427a-839d-a81de0ae1b17;689688176;35;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177079;174939226;310c9b0b-96ae-4051-a738-f1bcfeec60c7;689688178;33;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177081;174939228;1c883f63-1954-45cd-9e60-922024b20fa2;689688180;31;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177083;174939230;ff02ce85-9ac2-4f00-96c6-8128088a69ee;689688182;29;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177085;174939232;614b86da-af0d-4e22-b7e6-b890a8bc55a3;689688184;27;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177087;174939234;e9f35b25-5f70-4db6-a134-bcb2a19d6c3f;689688186;25;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177089;174939236;a5b09204-e977-4a39-a9c9-f51bdd072fd2;689688188;23;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177091;174939238;5f55adee-eb3e-403a-a913-73c15df900d7;689688190;21;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177093;174939240;481bf5bb-b60c-4237-9bfd-3a997a006ed2;689688192;19;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177095;174939242;c8e96a8a-4c16-4ac4-9aeb-80c905040c6c;689688194;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177097;174939244;b53e31fc-f433-401a-9a11-73d65ac83f7a;689688196;11;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177099;174939246;50febf21-d8c8-41c1-b45f-6e39a5344b44;689688198;9;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177101;174939248;f950b44c-acce-4274-912d-1e35241b5991;689688200;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177103;174939250;e96ed332-6dd7-40f2-86c0-c07dfafe809b;689688202;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177105;174939252;8bb46e72-bd17-41dd-b758-30e1876b248d;689688204;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177107;174939254;fcfc6427-7fe0-40cd-90d4-9062ff61b2b3;689688206;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177109;174939256;99ad421e-d206-48aa-9843-cf41c3ab33d8;689688208;77;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177111;174939258;40683ba5-b3da-4b6c-b650-701098094b91;689688210;75;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177113;174939260;fd783a32-5ece-4c15-9976-c2402865bbcf;689688212;38;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177115;174939262;539cb0a8-3b91-4e9d-85df-568176b51904;689688214;36;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177117;174939264;25737a30-659d-46dd-8568-db064016af7e;689688216;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177119;174939266;0cd3b370-63e0-451c-83a4-020e4d6f38c6;689688218;14;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177649;174940093;863238ea-e766-4fbe-b9f0-b10045733173;689690417;12;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178019;174940629;ae5427a8-0e6a-473b-af99-44ce3e84afe8;689691319;298;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178021;174940631;0dffe09e-22fe-471e-9d39-9d5609c06a61;689691321;59;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178023;174940633;6c773d6c-cecd-402d-8f74-0611c822bd09;689691323;171;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178025;174940635;243a8643-1495-4186-a10d-b4dc1a2961ac;689691325;202;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178027;174940637;2ae2aff8-5334-476e-bdbd-0022af0865fb;689691327;241;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178029;174940639;33002a72-2be2-4e92-a5c8-273af227869b;689691329;256;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178031;174940641;9586b433-1ede-4b27-bacc-e9b2a999d1c6;689691331;64;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178033;174940643;495b6f09-9d4f-4abc-b45e-9cbfcad2302b;689691333;21;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178035;174940645;a63f7fa1-13ea-4084-8f21-e48bab823886;689691335;133;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178037;174940647;2baa438a-83d0-4b6a-8ba6-ddbe0859b726;689691337;79;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178039;174940649;72ec4702-9591-435b-89d0-ee8aefc3468c;689691339;100;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178041;174940651;1d323d44-e3f6-48ce-b29d-13a8010836a7;689691341;420;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178043;174940653;28681523-2604-4aa6-a039-c04b21f4d4ec;689691343;10/а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178045;174940655;747942f1-3620-4627-b1bd-2233fa728a55;689691345;229;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178047;174940657;a51d7045-9d24-405a-b17e-7b4ff4e4d300;689691347;97;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178049;174940659;c9993cb0-050f-4ca0-a91c-45b3a7b87d7c;689691349;70/б;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178051;174940661;768f5666-0218-4060-a32c-74f1c3cc6f42;689691351;346;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178053;174940663;82dad9ea-aa8b-4811-a90c-5939ab8c5329;689691353;422;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178055;174940665;88a3bfdb-f7b2-494b-9371-b26959e2db9e;689691355;110/а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
