ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
111793513;174912032;ffcc577e-c0ab-48cf-9c16-f4ff4a99e7e3;689629670;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793589;43131620;327b4e34-9236-458a-bc2d-74ce6ff0aa0b;689631581;2;2;30;25346065;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793590;43131673;8a63c306-9420-417a-8635-38eb26a4010e;689631582;1;2;30;25346096;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793591;43131689;8d6a45a0-b784-4a53-901f-dd99a1fec09b;689631583;3;2;30;25346110;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793592;43131854;a6fe7625-b0a3-4646-af52-bcb1e09d794b;689631584;6;2;30;25346182;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793593;43131868;b442ef94-5086-4256-8d3f-1bc28058ea98;689631585;5;2;30;25346196;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793594;43131871;f80f89d1-5105-46cf-aa68-bc8fc22289f9;689631586;4;2;30;25346198;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793614;174912987;75eb57e2-2360-41eb-8e4b-90aad19ddba2;689631864;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795597;174917262;91c70fed-75eb-4027-a4df-c051cb53d303;689640592;1;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796360;174920234;06157000-7444-4aa4-b8dd-30854e18b8d5;689646527;12;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796377;174920285;88d5e442-f61e-4724-a2c4-4418debf6ae1;689646604;4;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796407;174920359;f39e6099-d3b8-4dca-bf64-a2d08640094d;689646702;11;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796426;174920444;a9bb2849-1b31-4216-a8ef-b5e983ba5747;689646971;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797022;174922024;2fc02520-ae2f-491b-9b02-e888d6229547;689649432;4;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797016;174921989;41b60cdb-e16c-4080-92d9-c8c3400ded36;689649369;2;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797024;174922067;0ea10b12-3c10-4314-98bd-df5692069b36;689649502;3;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797028;174922111;52d71d41-b572-4764-8d27-d046b76edc48;689649610;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800122;174928395;2c7202a1-558c-4767-a597-4c4f411ca1fd;689664184;5;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800164;174928492;722d2e24-d7c9-422f-8862-f27860ba106e;689664403;4;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800571;174930624;04b805ec-496a-4eec-8e32-971202354a08;689669955;2;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800591;174930815;bb6c647f-3b42-4bb1-b883-f03355f07dd0;689670283;27/5;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801183;162879653;027f157f-fc1d-4472-8951-88cf5e2881e6;689672847;1;2;55;107446781;129171118;2025-09-29;2025-09-29;2079-06-06;1;0
111801184;162879654;d6bb5d3e-9364-4f4b-a149-28d70334a8f4;689672849;2;2;55;107446782;129171119;2025-09-29;2025-09-29;2079-06-06;1;0
111800984;174931912;8ff4b598-073c-4381-adf0-eeb3c0205ac3;689672494;185;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800986;174931914;df3f0c88-5372-4784-8620-d39d7c9d585b;689672496;158;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800988;174931916;43b19636-8de2-4aab-81db-3a3003160144;689672498;156;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800990;174931918;0a8bbbc4-b9fa-4a7d-b391-c414ac8a8486;689672500;150;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800992;174931920;0420f4ed-8d3e-4b1d-8a5d-8b9ac75d8796;689672502;148;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800994;174931922;f0b59f61-5678-4d52-922c-47483ae1fa36;689672504;132;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800996;174931924;95286204-98c6-4c7c-a933-43493da865cf;689672506;130;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800998;174931926;89dd483e-7a61-4eb5-b12a-76a3a22aa817;689672508;128;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801000;174931928;c3987b02-b90b-44c3-a344-13b7fadcbf05;689672510;106;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801002;174931930;b312a6c7-9731-45d3-ba5e-4b0cd5f37469;689672512;104;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801004;174931932;891537ac-d04c-4965-b430-a1c8ae096e43;689672514;102;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801006;174931934;d6471894-c0e6-42d6-b061-c77a9993cc55;689672516;100;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801008;174931936;bc6b2055-7bfb-43fc-bb0d-fe117a350fdc;689672518;98;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801010;174931938;8d12e15c-5c68-4c31-8ad1-cd8474a43644;689672520;96;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801012;174931940;15c347ce-c6b5-48e3-9232-2071300bd408;689672522;94;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801014;174931942;a569312e-2e5c-45bc-be83-fd58d8acee24;689672524;92;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801016;174931944;092194a2-8927-45d3-a9f2-29b915017aff;689672526;90;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801018;174931946;1dc3cf25-f5af-4d3e-af04-60a9f7d2fd0d;689672528;88;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801020;174931948;c58c926f-8fd5-4279-91a2-bde14dea9556;689672530;86;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801022;174931950;44dbfd05-3d8e-4a7d-8269-9632586025a0;689672532;84;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801024;174931952;c98f8464-d682-4ca7-9f2a-65002b286490;689672534;187;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801026;174931954;2e03ca19-9a98-4d0d-a61e-a75c7ff790ac;689672536;82;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801028;174931956;2fe9a72e-b2eb-4b5a-be00-3e039ac9c7c2;689672538;80;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801030;174931958;81adfddb-3f86-41d7-9271-299a5ee85a76;689672540;78;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801032;174931960;48e1a056-66a0-4513-9dab-6e4f5ba80cba;689672542;76;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801034;174931962;395cccd7-fbe6-4626-af72-d68a2f5ed04e;689672544;74;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801036;174931964;2d8f457e-e84c-4403-ace0-ec45f992b155;689672546;72;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801038;174931966;cd9fae48-3760-408e-a68f-be4e185dd8b8;689672548;70;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801040;174931968;58118147-20a7-4c16-bfc0-b81ebba5a953;689672550;59;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801042;174931970;36c014ac-59f7-45b3-a8ce-3b714d8683c1;689672552;57;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801044;174931972;bbea1c2c-a2be-485a-8e9d-11c7fa80db9d;689672554;55;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801046;174931974;9a6d5376-b459-4293-a856-29f28fe5c19b;689672556;53;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801048;174931976;cf7f1d90-deac-4fa2-a201-471a247cc192;689672558;51;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801050;174931978;77aabe49-f2cc-4026-b151-996882a33a08;689672560;49;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801052;174931980;de5052fc-94b7-4ed1-8e64-3fae53caf82b;689672562;47;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801054;174931982;3d04834b-77d5-4399-9373-29a380cf2e51;689672564;45;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801056;174931984;4f24f590-4f27-499b-8dc9-44a1de4a0ab8;689672566;43;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801058;174931986;9507cbdc-9c9b-47e1-b0d0-fe2448c742b4;689672568;41;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801060;174931988;2901c22a-4421-4f84-a555-1531599a878b;689672570;39;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801062;174931990;122a8d77-1000-4e81-b546-66211c3966c8;689672572;37;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801064;174931992;9619f890-2afe-4d8a-abf3-8b74766aa5bb;689672574;34;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801066;174931994;cf538c07-ccb3-4ec4-be79-0d4b3a69ad04;689672576;32;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801068;174931996;b4adaed7-e7e7-4f35-8f40-e307da1f6a0c;689672578;15;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801070;174931998;cf5c4d71-2b36-4096-b54e-8fdbcba9fc91;689672580;13;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801072;174932000;77a3577d-de48-4450-bb95-58b75c149f53;689672582;11;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801074;174932002;ee915b4c-9f11-4977-a6ac-28373b6bdd8d;689672584;9;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801076;174932004;c096e44c-6cd4-4003-a30d-e56dfff31d64;689672586;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801078;174932006;8b230a7a-5249-4e98-b5a8-48c6b90d168a;689672588;5;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801080;174932008;18e5774e-86f9-4558-a3bb-24ed03b365fa;689672590;3;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801082;174932010;e1e54a6d-3fa7-4263-874f-90e221144150;689672592;183;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801084;174932012;06ef2910-93b9-4707-a8d1-b0e2dd6abe47;689672594;181;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801086;174932014;66a67f29-7633-422e-8001-ff1428d2e10e;689672596;179;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801088;174932016;1aa1bd76-5630-4744-8627-8e56581ca705;689672598;177;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801090;174932018;9f5275fa-3652-4a7c-b8ec-a256b6d16c87;689672600;175;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801092;174932020;91bfa60e-0d30-43b6-acdc-05bb627ff386;689672602;173;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801094;174932022;53a0769a-55a3-4dad-8d88-299698d12e98;689672604;171;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801096;174932024;d01f321a-5a9f-4f77-b48a-6d64e8e7225d;689672606;169;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801098;174932026;f5abe594-9bf3-4541-a7c3-58b8c073b90f;689672608;167;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801100;174932028;a72ae2a6-a304-4de3-b61b-5a522e7c3833;689672610;165;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801102;174932030;b18e9aa9-d691-4fc1-b94c-1dd1549dfca0;689672612;163;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801104;174932032;498272bd-747a-4432-8e4d-9770b9a43db6;689672614;161;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801106;174932034;65b2c96e-1942-4d19-934c-3a30ed824568;689672616;155;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801108;174932036;febefed8-cbc7-4e91-8e43-a55b48185556;689672618;153;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801110;174932038;c29bc6c4-63ea-453a-bd64-f768245f1156;689672620;146;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801112;174932040;d5eaa0ff-4757-40e2-8b5f-755cbc63b57b;689672622;144;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801114;174932042;2c335bdf-c9c7-4f86-b15b-d379eab3427f;689672624;142;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801116;174932044;02e25dc4-4370-4d86-9064-13b4bbe1d10a;689672626;140;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801118;174932046;d39547a0-278f-4013-b953-4c9bd9006efe;689672628;138;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801120;174932048;7984fa5b-1f7c-480d-a307-7f9b5318e397;689672630;136;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801122;174932050;76905a87-3eba-4535-9ea0-bd0633e84f43;689672632;134;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801124;174932052;6aa1ecff-96cc-46d5-a473-f3001574c1a3;689672634;127;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801126;174932054;2ea8edc3-0a51-494c-acf0-424ccaee7705;689672636;125;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801128;174932056;bc755586-2b35-438f-b39f-c8c4c319e702;689672638;123;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801130;174932058;687cc664-90c2-4d50-9b56-c2c23362d7c1;689672640;121;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801132;174932060;4a12798b-56c9-4dbb-a9f5-efcc3906059d;689672642;119;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801134;174932062;3189e65c-92f7-41c8-a3c7-7e002ebd4779;689672644;117;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
