OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
19616218;ce5bf1b8-ecc0-486c-9cf1-2a5526ef51ff;689712895;1;11;2019-07-14;2025-09-30
29057239;210865fd-828e-4b32-893b-7bee9fdaa271;689781536;1;11;2017-03-21;2025-10-01
19310999;fc7289a0-3f76-4908-9bc8-ed4d24afa470;689688849;0;11;2017-08-22;2025-09-29
31167083;20385119-e711-40e1-a1cd-78c15d253c58;689635127;1;10;2017-12-18;2025-09-29
59861615;7da756dc-2921-4a57-b26c-b6504f51f5ef;689782757;1;11;2019-07-14;2025-10-01
4926352;1c0232e4-9920-4837-93f9-7110b89d1ea4;689646706;1;11;2017-03-10;2025-09-29
24420967;62b1159c-a84e-4950-b508-f4c7980b1ecd;689708777;1;11;2017-03-10;2025-09-30
67525257;4d5542fc-9c2a-481d-aec0-02e784e08963;689712836;1;11;2017-03-07;2025-09-30
171144334;9a21f749-648e-479e-b1e2-6c480f241532;689640819;1;9;2025-03-21;2025-09-29
43131854;a6fe7625-b0a3-4646-af52-bcb1e09d794b;689631584;0;11;2017-04-05;2025-09-29
172428507;c6a95175-e56a-47b0-8b97-5e7c545909d5;689737520;1;10;2025-05-26;2025-09-30
42492891;f9f5b33b-626c-44d1-824c-42f82df8d92b;689640783;1;10;2017-05-15;2025-09-29
40614240;1a5cfb61-9842-4ff8-8d3f-2889e4b25600;689783750;1;10;2019-07-10;2025-10-01
104942355;34571389-a1db-4331-adce-80c3e327c2ae;689640285;1;10;2022-07-08;2025-09-29
75003330;4796cc43-d4fd-4594-a9f7-0be86e4d924f;689712884;1;11;2017-03-13;2025-09-30
174895116;36dd339c-4e0c-4d51-af27-cfdfb5b5b37e;689644445;1;9;2025-09-26;2025-09-29
174912029;68089997-d388-4444-9d0b-96424d878632;689629663;1;9;2025-09-29;2025-09-29
174912079;71738fe2-419a-4306-8fe8-b84532b576b7;689629751;1;9;2025-09-29;2025-09-29
174912374;f5ca5a2d-461b-4a7f-9ee4-2f35a2e8d4e8;689630477;1;9;2025-09-29;2025-09-29
174912378;3892c010-cdae-4d22-81c5-4a979c8fbd0e;689630484;1;9;2025-09-29;2025-09-29
174912386;cd839ac9-9e2c-4ca7-b546-67ef3c95af7c;689630498;1;9;2025-09-29;2025-09-29
174912400;a0390d3a-a144-4b09-b69e-c323f959281a;689630519;1;9;2025-09-29;2025-09-29
174912410;5d640279-3eae-4e90-b769-4a47e662f4d9;689630578;1;9;2025-09-29;2025-09-29
174912411;dc5890dc-3a85-4187-aa72-1430a6263901;689630579;1;9;2025-09-29;2025-09-29
174912413;d27653cd-f396-4392-a6a0-d188767bf238;689630581;1;9;2025-09-29;2025-09-29
174912437;f152a66b-c7eb-4c64-bf5a-a1bff3269b89;689630610;1;9;2025-09-29;2025-09-29
174912443;d47883dc-a6ce-4930-9af2-98575fbe3261;689630619;1;9;2025-09-29;2025-09-29
174912448;85ea172a-bd3f-4b6d-a151-8611567dbb9e;689630628;1;9;2025-09-29;2025-09-29
174912459;7f0feee9-3d64-4a13-8e69-41e9ca096078;689630650;1;10;2025-09-29;2025-09-29
174912465;abd10369-c750-4021-ab2b-378e998906f2;689630662;1;10;2025-09-29;2025-09-29
174912757;8a39e4c6-a890-4529-8200-9d4d3d606847;689631580;1;9;2025-09-29;2025-09-29
43131689;8d6a45a0-b784-4a53-901f-dd99a1fec09b;689631583;0;11;2017-04-05;2025-09-29
174912759;4e345b3e-76d1-45e8-b7a9-3b6ed24aed50;689631588;1;9;2025-09-29;2025-09-29
174912810;1941a9e8-b353-4495-a851-1656e87b783e;689631668;1;9;2025-09-29;2025-09-29
174912824;63040f63-d927-4d5d-bf03-1722dccff899;689631686;1;9;2025-09-29;2025-09-29
174912900;8262b52c-29d5-4a1f-b77a-e701bfca4a0f;689631767;1;9;2025-09-29;2025-09-29
174912912;cf54a968-8417-455d-b3ca-6fe4f9856b8a;689631780;1;9;2025-09-29;2025-09-29
174912921;27a8f1b8-5bc4-4d42-8db7-dacbbb265609;689631790;1;9;2025-09-29;2025-09-29
174912969;a8cf3c60-7be6-43f6-af6f-e9e030ee827e;689631843;1;9;2025-09-29;2025-09-29
174912979;553d60a1-a957-441b-8601-d45c6efe11e3;689631854;1;9;2025-09-29;2025-09-29
174913006;fb92549a-5687-4404-bed1-38f36b8ea409;689631884;1;9;2025-09-29;2025-09-29
174913014;1197fb31-37cc-49c0-951c-536d177ccae9;689631896;1;9;2025-09-29;2025-09-29
174913020;8e75db5f-280f-4256-ad93-246a2e73ffc6;689631904;1;9;2025-09-29;2025-09-29
174913033;45b358a4-890d-455d-ad34-b35b0fc27fe7;689631921;1;9;2025-09-29;2025-09-29
174913041;2ee16714-f620-4df0-8f7b-33b9632f3583;689631932;1;9;2025-09-29;2025-09-29
174913045;d3e5fa14-66ea-4009-adcb-6a39a808fd3d;689631936;1;9;2025-09-29;2025-09-29
174913056;ee10a747-432f-4dd3-9d38-6ee44ddb4dc3;689712559;1;9;2025-09-29;2025-09-30
174913347;bad7a8df-5797-4a0a-ae27-ea7e2c86d8d0;689633161;1;9;2025-09-29;2025-09-29
174913351;78ed9c10-c006-4739-9287-da6abc2a5782;689633173;1;9;2025-09-29;2025-09-29
174913356;bfb614ec-dc4a-42d1-aab4-895fb2d47d7b;689633180;1;9;2025-09-29;2025-09-29
174913360;3c20c983-ef3e-43b3-8eed-604fcd3c1346;689633185;1;9;2025-09-29;2025-09-29
174913364;4c785425-6cbe-4ba5-b91e-75e6b328e0cd;689633190;1;9;2025-09-29;2025-09-29
174913386;5d86ce3d-b29f-4827-9601-34263e5fa514;689633215;1;9;2025-09-29;2025-09-29
174913397;cec9c765-5647-4699-b7d1-4a3f4238ae1c;689633230;1;9;2025-09-29;2025-09-29
174913411;3d703817-79f2-48b8-bdbd-9bd06c9a2a27;689633263;1;9;2025-09-29;2025-09-29
174913417;d7652e90-9aab-49df-ac44-11f9d99bd009;689633275;1;9;2025-09-29;2025-09-29
174913426;0d128d78-eff4-4414-b7c1-1c3ce3efdabe;689633287;1;9;2025-09-29;2025-09-29
174913433;0d55e49d-32ad-4b2a-b651-55183413f68f;689633299;1;9;2025-09-29;2025-09-29
174913437;8aae31e9-e952-4964-aece-24a361558c8b;689633307;1;9;2025-09-29;2025-09-29
174913460;5d24aca2-4c8d-4ce2-8a5f-64c98d80e410;689633335;1;9;2025-09-29;2025-09-29
174913488;719de67b-233b-49c3-abff-3a0ccf7d4407;689633384;1;9;2025-09-29;2025-09-29
174913493;756147b5-4f45-4349-a209-4ef140b0ce10;689633389;1;9;2025-09-29;2025-09-29
174913495;69f69798-79ef-4b9f-9515-c54e6b16f4d8;689633392;1;9;2025-09-29;2025-09-29
174914220;d55437ce-ba41-4bc9-9bed-a21a1ea7cbfb;689635078;1;9;2025-09-29;2025-09-29
174914242;c2963231-ec34-4101-bf53-91f27ce04978;689635106;1;9;2025-09-29;2025-09-29
174914256;24acaef9-bd6a-44a8-bf03-9428191c16be;689635123;1;9;2025-09-29;2025-09-29
174914281;41ca8ec2-f4f0-4666-b622-deedd3a9c04d;689635162;1;9;2025-09-29;2025-09-29
19379830;84621175-4051-4dd6-a3a0-06603593d756;689635179;1;10;2017-04-24;2025-09-29
174914307;9c2962f8-07ac-460b-bd62-9adad27ee395;689635198;1;9;2025-09-29;2025-09-29
174914318;223ad942-d293-4372-92b2-d6275fc32652;689635219;1;9;2025-09-29;2025-09-29
174915256;ac230ce7-033a-4060-8918-a6d18ccf970c;689637087;1;9;2025-09-29;2025-09-29
174915261;e753814a-6c60-42b4-874f-703816434233;689637184;1;9;2025-09-29;2025-09-29
174915267;6714da3a-47bd-4b01-90cf-0086e5d9ba35;689637212;1;9;2025-09-29;2025-09-29
