ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
73555048;169406708;4c75ca3a-4d40-4f10-ac3f-e3e4c8e48064;656361695;8;20;71156101;74164873;2025-09-29;2025-07-31;2025-09-29;0;0
74164520;174912029;68089997-d388-4444-9d0b-96424d878632;689629663;76;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164816;174912378;3892c010-cdae-4d22-81c5-4a979c8fbd0e;689630484;39;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164824;174912386;cd839ac9-9e2c-4ca7-b546-67ef3c95af7c;689630498;45/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164850;174912414;f3131e16-2da1-4b06-92ed-23bddf5e229c;689630582;34/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164871;174912443;d47883dc-a6ce-4930-9af2-98575fbe3261;689630619;32/11;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74161075;174905409;67221058-45a9-4871-a45a-7150df2e5ea3;689617660;21;10;0;74164881;2025-09-29;2025-09-26;2025-09-29;0;0
74164813;174912374;f5ca5a2d-461b-4a7f-9ee4-2f35a2e8d4e8;689630477;30;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164827;174912389;592f6d3f-3c32-4ae6-a723-9315d27c234b;689630505;50;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164842;174912405;5f3a6edf-c693-4b9e-a466-4d5e6ab2be9b;689630571;22;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164847;174912411;dc5890dc-3a85-4187-aa72-1430a6263901;689630579;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164869;174912437;f152a66b-c7eb-4c64-bf5a-a1bff3269b89;689630610;3/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164872;174912444;b25c477c-139d-47df-9ec2-17c7b7dda598;689630620;5а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164877;174912450;d57de9c0-db04-488a-a8f7-9711002afef6;689630632;32/3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
