ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
111795105;174916201;b10fef2a-fd1e-4ebe-89f1-e01a0ca9526a;689638668;135;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801186;174932284;9b477810-2815-4427-99b2-7e2426c5008a;689673008;XIII;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801193;174932434;858b2155-5950-4aa8-83f5-4644a6d7c407;689673220;113;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801187;174932345;dbee28bf-738f-45a6-adde-4c6d2bca416a;689673092;22;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801190;174932392;cf9d4463-ba53-4743-bdf1-5c108cd7174b;689673166;20;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111801192;174932422;1bbe525d-32bc-4702-be17-1c4e0050af2b;689673204;112;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111811307;174970354;63f0a989-bade-410f-ace7-c2bdcd7b4f6a;689758509;117;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111811314;174970377;03559c3e-162c-47e1-a7fa-0e7576b8eace;689758555;4;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111811317;174970408;7b101014-de90-47be-8def-4b801db6e14a;689758625;1;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111811318;174970413;1ff57b47-bb39-412c-916b-409129477324;689758659;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111811322;174970427;85662ad6-9d6a-45f6-ab11-0fd2af7d098e;689758774;4;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
