ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1334348331;60153975;464590669;689697570;8;46:31:010603:1382;2025-09-29;2022-11-11;2025-09-29
1644427591;174916201;689638668;0;8;46:29:102216:3589;2025-09-29;2025-09-29;2079-06-06
1644427593;174916201;689638668;0;13;387010000000000046040014000200000;2025-09-29;2025-09-29;2079-06-06
1644509500;174928131;689663719;0;13;386204481410000001340005000100000;2025-09-29;2025-09-29;2079-06-06
1644540598;174932284;689673008;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644541150;174932345;689673092;0;8;46:29:102257:984;2025-09-29;2025-09-29;2079-06-06
1644541152;174932345;689673092;0;13;387010000000000014740045002900000;2025-09-29;2025-09-29;2079-06-06
1644541303;174932364;689673120;0;15;30;2025-09-29;2025-09-29;2079-06-06
1644541398;174932374;689673140;0;8;46:29:102257:986;2025-09-29;2025-09-29;2079-06-06
1644541400;174932374;689673140;0;13;387010000000000014740045003100000;2025-09-29;2025-09-29;2079-06-06
1644541553;174932392;689673166;0;15;18;2025-09-29;2025-09-29;2079-06-06
1644541664;174932405;689673185;0;8;46:29:102018:3436;2025-09-29;2025-09-29;2079-06-06
1644541666;174932405;689673185;0;13;387010000000000116440009011300000;2025-09-29;2025-09-29;2079-06-06
1644541799;174932422;689673204;0;15;114;2025-09-29;2025-09-29;2079-06-06
1644541890;174932434;689673220;0;8;46:29:102018:3438;2025-09-29;2025-09-29;2079-06-06
1644541892;174932434;689673220;0;13;387010000000000116440009011500000;2025-09-29;2025-09-29;2079-06-06
1644541980;174932445;689673236;0;15;116;2025-09-29;2025-09-29;2079-06-06
1612173462;172352660;646322829;689674820;8;46:29:102066:48;2025-09-29;2025-05-22;2025-09-29
1465137512;156698182;568351660;689674920;8;46:29:1020224:5121;2025-09-29;2023-10-24;2025-09-29
1507484006;59286430;592377750;689684349;8;45:12:060111:384;2025-09-29;2024-03-22;2025-09-29
1334355625;60184315;464597748;689697554;8;46:31:010602:788;2025-09-29;2022-11-11;2025-09-29
1644628020;60153975;689697570;0;8;46:31:010602:325;2025-09-29;2025-09-29;2079-06-06
1644811871;65491287;689749064;0;8;46:06:120301:482;2025-09-30;2025-09-30;2079-06-06
1644847829;174970315;689758352;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644848237;174970354;689758509;0;8;46:29:102018:3442;2025-09-30;2025-09-30;2079-06-06
1644848239;174970354;689758509;0;13;387010000000000116440009011700000;2025-09-30;2025-09-30;2079-06-06
1644848288;174970361;689758517;0;15;118;2025-09-30;2025-09-30;2079-06-06
1644848317;174970365;689758522;0;8;46:29:102018:3440;2025-09-30;2025-09-30;2079-06-06
1644848319;174970365;689758522;0;13;387010000000000116440009011900000;2025-09-30;2025-09-30;2079-06-06
1644848430;174970377;689758555;0;15;2;2025-09-30;2025-09-30;2079-06-06
1644848588;174970392;689758589;0;8;46:29:102330:701;2025-09-30;2025-09-30;2079-06-06
1644848590;174970392;689758589;0;13;387010000000000035440126000100000;2025-09-30;2025-09-30;2079-06-06
1644848745;174970408;689758625;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644848808;174970413;689758659;0;8;46:29:101023:263;2025-09-30;2025-09-30;2079-06-06
1644848810;174970413;689758659;0;13;387010000000000085740006000200000;2025-09-30;2025-09-30;2079-06-06
1644848953;174970420;689758766;0;15;3;2025-09-30;2025-09-30;2079-06-06
1644849005;174970427;689758774;0;8;46:29:101023:265;2025-09-30;2025-09-30;2079-06-06
1644849007;174970427;689758774;0;13;387010000000000085740006000400000;2025-09-30;2025-09-30;2079-06-06
1644849403;172130557;689759052;0;8;46:11:111802:4582;2025-09-30;2025-09-30;2079-06-06
1644901462;172130556;689788635;0;8;46:11:111802:4593;2025-10-01;2025-10-01;2079-06-06
1644901489;172130554;689788641;0;8;46:11:111802:4615;2025-10-01;2025-10-01;2079-06-06
1644901502;172130549;689788647;0;8;46:11:111802:4431;2025-10-01;2025-10-01;2079-06-06
1644901508;172130544;689788653;0;8;46:11:111802:4486;2025-10-01;2025-10-01;2079-06-06
1644901490;172130553;689788642;0;8;46:11:111802:4626;2025-10-01;2025-10-01;2079-06-06
1644901501;172130550;689788646;0;8;46:11:111802:4420;2025-10-01;2025-10-01;2079-06-06
1644901505;172130546;689788650;0;8;46:11:111802:4464;2025-10-01;2025-10-01;2079-06-06
1644901509;172130543;689788654;0;8;46:11:111802:4497;2025-10-01;2025-10-01;2079-06-06
1644929967;174979878;689795815;0;15;2;2025-10-01;2025-10-01;2079-06-06
1644965396;8480347;689806560;0;8;46:31:010603:1382;2025-10-01;2025-10-01;2079-06-06
