CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689638668;174916201;b10fef2a-fd1e-4ebe-89f1-e01a0ca9526a;10;27409163;2025-09-29
689638684;174916207;0b6cc2f7-4b2b-4100-af38-999f9d4a9a74;10;27409163;2025-09-29
689638680;174916204;5626956f-9847-4e79-ae59-76f23409aaf1;10;27409163;2025-09-29
689642982;1899779;feaf86db-617d-4489-b6b1-54467e7cbe29;20;27409727;2025-09-29
689642998;42125072;e14bbe27-f51e-4dc2-b481-883f41096a6c;20;27409741;2025-09-29
689644433;174918902;15a5c919-2e2e-488a-b7db-805c6fff0678;10;27410072;2025-09-29
689646451;174920200;2bf70933-cb1a-4cde-b872-e782f3e4fc75;10;27410462;2025-09-29
689646596;174920279;a8bca170-87b1-4b59-9f5b-2844dec0357e;10;27410509;2025-09-29
689649412;174922014;3385255f-0c42-4a01-a2a2-f888ca5413bd;10;27410861;2025-09-29
689655778;174926099;33f00a8e-e631-46c8-9a8f-f7dc3f15aca3;10;27411635;2025-09-29
689663719;174928131;ec709831-50c2-442a-a0bb-ed8887bfa579;10;27411898;2025-09-29
689668969;174930200;6ebbca2f-f525-48f3-8f14-f135301903fb;10;27412704;2025-09-29
689669145;58405729;c5862e73-e1da-499e-a67b-b06be119edae;20;27412761;2025-09-29
689669584;174930453;f303196a-42b8-4fdd-b66b-c514955ab80e;10;27412866;2025-09-29
689669967;24665317;994b5a2b-9b48-42d0-be73-a30a3bebd7a6;20;27412941;2025-09-29
689670084;72266667;daeaf66a-dd0e-4fa7-b9f4-eba983d1f0e2;20;27412941;2025-09-29
689673008;174932284;9b477810-2815-4427-99b2-7e2426c5008a;10;27409163;2025-09-29
689673120;174932364;49c3d956-ff36-4552-992f-52d7355e5b97;10;27409163;2025-09-29
689673166;174932392;cf9d4463-ba53-4743-bdf1-5c108cd7174b;10;27409163;2025-09-29
689673204;174932422;1bbe525d-32bc-4702-be17-1c4e0050af2b;10;27409163;2025-09-29
689673236;174932445;cd1e1488-551b-43be-8e3c-bf02bf5e8d32;10;27409163;2025-09-29
689673312;174932505;3b6091df-d46f-498f-bff0-02cc81ffc82c;10;27413571;2025-09-29
689674780;72210271;2f15ce54-9cde-449b-9c22-b6c4ff36021c;20;27413945;2025-09-29
689674808;43844178;4c8e3c44-d2f5-472a-a130-192d3ab8b9f5;20;27413946;2025-09-29
689674887;44724590;f1070f95-739c-4fd9-a1f5-2a9a593194b8;20;27413946;2025-09-29
689674920;156698182;458b491c-9990-48c4-a8ac-d6175abf69cf;20;27413946;2025-09-29
689675425;100994478;6cdb5268-9530-485f-8889-b0c24f5d270a;20;27406244;2025-09-29
689679139;10463193;6c32b396-dd48-4f4e-9897-9101ca987457;20;27414607;2025-09-29
689683919;174937812;17298d01-01f2-4a07-b7dd-1f70fb9b83ce;10;27415368;2025-09-29
689684189;174937866;6ddbe451-50ab-44d6-8f26-85fe0220df30;10;27415385;2025-09-29
689686253;62813178;8c1fff2e-4b61-4526-b114-abc65d966aa5;20;27415515;2025-09-29
689687857;78271762;00c330ce-7e75-416c-a80d-9c6e5f047669;20;27415844;2025-09-29
689689288;161815879;3fc4947d-cf2c-44cd-b625-5f6589132dd9;20;27416141;2025-09-29
689690115;21572413;0250f97e-19dd-435c-8410-0fc6e077c98c;20;27416253;2025-09-29
689690783;69879481;861ae746-68ea-4fb3-b125-bad330e7717c;20;27416374;2025-09-29
