ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1334153230;1899779;464398452;689642982;8;46:09:010124:116;2025-09-29;2022-11-11;2025-09-29
1334194672;58405729;464439475;689669145;8;46:04:110811:17;2025-09-29;2022-11-11;2025-09-29
1478496568;19738959;572895115;689718234;8;46:04:010102:1350;2025-09-30;2023-11-14;2025-09-30
1476435923;72210271;571821126;689674780;8;46:27:900301:157;2025-09-29;2023-10-31;2025-09-29
1399880322;31625465;508365004;689692887;8;46:15:082101:243;2025-09-29;2023-08-24;2025-09-29
277617522;48732315;73228663;689756951;8;46:30:000019:903;2025-09-30;2017-10-09;2025-09-30
577125833;95469160;138723939;689692587;8;46:12:050505:353;2025-09-29;2020-02-05;2025-09-29
677532924;98935854;158300889;689756833;8;46:30:000018:361;2025-09-30;2020-11-03;2025-09-30
1484294335;13181798;574851161;689712656;8;46:04:010102:1159;2025-09-30;2023-11-21;2025-09-30
1484874618;35628756;575119709;689718476;8;46:04:010105:638;2025-09-30;2023-11-24;2025-09-30
1485225969;64001802;575312181;689712504;8;46:04:010105:713;2025-09-30;2023-11-28;2025-09-30
1485401544;70558303;575409507;689734645;8;46:04:010102:1078;2025-09-30;2023-11-30;2025-09-30
1485403017;47692199;575409932;689737054;8;46:04:010101:1011;2025-09-30;2023-11-30;2025-09-30
1485504054;49109380;575458537;689737548;8;46:04:010105:697;2025-09-30;2023-11-30;2025-09-30
1486704806;83042009;576068809;689732470;8;46:04:010105:838;2025-09-30;2023-12-07;2025-09-30
1491419264;15247405;579424673;689696674;8;46:20:100602:122;2025-09-29;2023-12-27;2025-09-29
1491434649;44201122;579453712;689758581;8;46:30:000003:515;2025-09-30;2023-12-27;2025-09-30
1491450679;66610999;579460605;689758794;8;46:30:000036:3324;2025-09-30;2023-12-27;2025-09-30
1491462983;44724590;579468179;689674887;8;46:29:102208:367;2025-09-29;2023-12-27;2025-09-29
1491469672;55233052;579474841;689652951;8;46:32:010101:6543;2025-09-29;2023-12-27;2025-09-29
1503570146;75910966;590350816;689758792;8;46:25:010157:26;2025-09-30;2024-02-13;2025-09-30
1507401095;66310618;592346946;689687579;8;46:22:090301:334;2025-09-29;2024-03-21;2025-09-29
1540455376;55903450;606040884;689679266;8;46:22:090401:334;2025-09-29;2024-11-01;2025-09-29
1476594123;42125072;571890669;689642998;8;46:22:090201:262;2025-09-29;2023-11-01;2025-09-29
1630963725;2972016;654972560;689644063;8;46:15:110301:263;2025-09-29;2025-07-03;2025-09-29
1644496994;174926099;689655778;0;1;4600;2025-09-29;2025-09-29;2079-06-06
1644496996;174926099;689655778;0;6;38206551000;2025-09-29;2025-09-29;2079-06-06
1644496998;174926099;689655778;0;15;18;2025-09-29;2025-09-29;2079-06-06
1644497000;174926099;689655778;0;21;38606151;2025-09-29;2025-09-29;2079-06-06
1644497977;58725643;689655931;0;13;386281510000000002320020000000010;2025-09-29;2025-09-29;2079-06-06
1465188781;24835950;568371269;689669491;8;46:04:010101:115;2025-09-29;2023-10-24;2025-09-29
1476443768;28561348;571823827;689669894;8;46:27:120101:266;2025-09-29;2023-10-31;2025-09-29
1476431958;72216772;571819823;689670009;8;46:27:090301:336;2025-09-29;2023-10-31;2025-09-29
1476431762;72223802;571819768;689670122;8;46:27:090301:222;2025-09-29;2023-10-31;2025-09-29
1644548170;43844178;689674808;0;13;387010000000000057120001000000020;2025-09-29;2025-09-29;2079-06-06
1644548350;157374047;689674902;0;8;46:29:103010:509;2025-09-29;2025-09-29;2079-06-06
1644551508;100994478;689675425;0;8;46:29:102341:238;2025-09-29;2025-09-29;2079-06-06
1644560915;10463193;689679139;0;8;46:22:110501:146;2025-09-29;2025-09-29;2079-06-06
1644575488;174937812;689683919;0;1;4600;2025-09-29;2025-09-29;2079-06-06
1644575490;174937812;689683919;0;6;38238828001;2025-09-29;2025-09-29;2079-06-06
1644575492;174937812;689683919;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644575494;174937812;689683919;0;21;38638428;2025-09-29;2025-09-29;2079-06-06
1644584374;66310618;689687579;0;8;46:22:090301:404;2025-09-29;2025-09-29;2079-06-06
1644585703;78271762;689687857;0;8;46:06:160104:134;2025-09-29;2025-09-29;2079-06-06
1644590811;78242851;689688855;0;8;46:06:160104:147;2025-09-29;2025-09-29;2079-06-06
1644592297;161815879;689689288;0;8;46:09:010101:357;2025-09-29;2025-09-29;2079-06-06
1644593694;1889140;689689801;0;8;46:09:010124:108;2025-09-29;2025-09-29;2079-06-06
1644594767;21572413;689690115;0;8;46:06:170201:183;2025-09-29;2025-09-29;2079-06-06
1644595336;56975924;689690344;0;8;46:09:010101:380;2025-09-29;2025-09-29;2079-06-06
1644597630;69879481;689690783;0;8;46:09:010104:41;2025-09-29;2025-09-29;2079-06-06
1644599003;1895321;689691025;0;8;46:09:010124:116;2025-09-29;2025-09-29;2079-06-06
1334131871;71344873;464377212;689691219;8;46:12:050202:195;2025-09-29;2022-11-11;2025-09-29
1491436590;81818712;579456761;689691249;8;46:12:050601:288;2025-09-29;2023-12-27;2025-09-29
1334185245;33603019;464430129;689691381;8;46:12:050402:329;2025-09-29;2022-11-11;2025-09-29
1334165448;33571582;464410517;689691920;8;46:12:050402:422;2025-09-29;2022-11-11;2025-09-29
1334179381;58207226;464424358;689692234;8;46:12:050102:4;2025-09-29;2022-11-11;2025-09-29
1334264389;55086838;464508007;689692361;8;46:12:050601:135;2025-09-29;2022-11-11;2025-09-29
1334131541;18763220;464376880;689692433;8;46:12:050505:304;2025-09-29;2022-11-11;2025-09-29
1644605551;95469160;689692587;0;8;46:12:050505:359;2025-09-29;2025-09-29;2079-06-06
1644605667;3352595;689692613;0;8;46:12:050501:542;2025-09-29;2025-09-29;2079-06-06
1644605941;40315858;689692679;0;8;46:12:050104:542;2025-09-29;2025-09-29;2079-06-06
1644606733;55723620;689692868;0;8;46:12:050503:166;2025-09-29;2025-09-29;2079-06-06
1644606868;40337515;689692900;0;8;46:12:050104:230;2025-09-29;2025-09-29;2079-06-06
1644614535;174942454;689694889;0;1;4600;2025-09-29;2025-09-29;2079-06-06
1644614537;174942454;689694889;0;3;4611;2025-09-29;2025-09-29;2079-06-06
1644614539;174942454;689694889;0;6;38220832018;2025-09-29;2025-09-29;2079-06-06
1644614541;174942454;689694889;0;8;46:11:080102:944;2025-09-29;2025-09-29;2079-06-06
1644614543;174942454;689694889;0;13;386204321860000000020219000000000;2025-09-29;2025-09-29;2079-06-06
1644617014;19608531;689695405;0;13;386214421010000000620001000000010;2025-09-29;2025-09-29;2079-06-06
1644617988;19611207;689695584;0;13;386214421010000000620004000000010;2025-09-29;2025-09-29;2079-06-06
