ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
43517140;79006367;759603;117427486;47;0;0;2025-09-29;1900-01-01;2079-06-06;0;749230.751333.754852.759603.79006367
43517332;79011469;759603;117435534;47;0;0;2025-09-29;1900-01-01;2079-06-06;0;749230.751333.754852.759603.79011469
43517683;79022548;759603;117451529;47;0;0;2025-09-29;1900-01-01;2079-06-06;0;749230.751333.754852.759603.79022548
43517974;79046314;759603;117486448;47;0;0;2025-09-29;1900-01-01;2079-06-06;0;749230.751333.754852.759603.79046314
43518369;79075004;759603;117527845;47;0;0;2025-09-29;1900-01-01;2079-06-06;0;749230.751333.754852.759603.79075004
73995351;16345274;759033;25938921;47;0;0;2025-09-30;2018-03-20;2079-06-06;0;749230.751333.759033.16345274
73996018;16359813;759033;25959520;47;0;0;2025-09-30;2018-03-20;2079-06-06;0;749230.751333.759033.16359813
73996297;16373303;759033;25979059;47;0;0;2025-09-30;2018-03-20;2079-06-06;0;749230.751333.759033.16373303
73996957;16367088;759033;25970105;47;0;0;2025-09-30;2018-03-20;2079-06-06;0;749230.751333.759033.16367088
73997780;16392504;759033;26005368;47;0;0;2025-09-30;2018-03-20;2079-06-06;0;749230.751333.759033.16392504
74000179;16419973;759033;26044317;47;0;0;2025-09-30;2018-03-20;2079-06-06;0;749230.751333.759033.16419973
78497287;15112420;766641;24102644;47;0;247076337;2025-09-30;1900-01-01;2025-09-30;0;749230.761884.766641.15112420
82047649;64178630;779697;95750644;47;0;0;2025-09-30;2017-05-26;2079-06-06;0;749230.772793.775705.779697.64178630
83692029;54797530;782682;81979629;47;0;0;2025-09-30;1900-01-01;2079-06-06;0;749230.776829.782682.54797530
83692167;54811880;782682;82001013;47;0;0;2025-09-30;1900-01-01;2079-06-06;0;749230.776829.782682.54811880
84041522;79838546;780332;118661428;47;0;0;2025-10-01;2018-05-15;2079-06-06;0;749230.783633.780332.79838546
84042174;79988588;780332;118878522;47;0;0;2025-10-01;2018-02-28;2079-06-06;0;749230.783633.780332.79988588
237561942;167060649;752372;606144549;47;0;0;2025-09-30;2024-11-02;2079-06-06;0;749230.754075.752372.167060649
246924759;174814110;756841;689385499;47;0;0;2025-10-01;2025-09-23;2079-06-06;0;749230.751333.756841.174814110
247031713;174918992;792560;689644694;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.789951.793448.792560.174918992
87156252;49147674;792882;73828405;47;0;0;2025-09-29;2018-06-21;2079-06-06;0;749230.793341.790915.792882.49147674
247034023;174921158;781802;689648187;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.776829.777093.781802.174921158
247035471;174922598;793270;689650382;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.789951.792465.793270.174922598
247035473;174922600;793270;689650384;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.789951.792465.793270.174922600
247036331;174923457;794409;689651676;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.794188.799117.794409.174923457
247040632;174927745;787932;689663242;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.789951.792180.787932.174927745
247040633;174927746;794477;689663243;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.789951.793412.794477.174927746
247040636;174927749;792876;689663246;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.789951.789752.792876.174927749
247042905;174929585;781330;689667742;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.776829.778489.781330.174929585
247042906;174929586;792117;689667743;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.789951.793007.792117.174929586
247042909;174929589;789063;689667747;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.789951.789063.174929589
247042916;174929596;96353602;689667755;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.751333.96353602.174929596
247042912;174929592;104937548;689667750;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.789951.790762.104937548.174929592
247042919;174929599;800208;689667759;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.794188.800208.174929599
247044268;174930910;760513;689670545;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.751333.754852.760513.174930910
247044273;174930915;760705;689670551;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.751333.753967.760705.174930915
247044271;174930913;169284673;689670548;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.751333.754852.169284673.174930913
247047418;174934037;760705;689675832;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.751333.753967.760705.174934037
247047420;174934039;158433212;689675834;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.751333.755355.158433212.174934039
247047423;174934042;782812;689675853;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.783633.785045.782812.174934042
247049041;174935638;174460845;689679959;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.751333.174460845.174935638
247049040;174935637;782812;689679958;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.783633.785045.782812.174935637
247049043;174935640;169450608;689679962;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.761884.761074.169450608.174935640
247049047;174935644;760498;689679966;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.751333.751576.753655.760498.174935644
247049051;174935648;786350;689679970;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.783633.780609.786350.174935648
247049046;174935643;781451;689679965;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.783633.785742.781451.174935643
247049050;174935647;781451;689679969;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.783633.785742.781451.174935647
234833829;164491683;96634608;598956245;47;0;0;2025-09-29;2024-07-31;2079-06-06;0;749230.754075.750069.96634608.164491683
247049055;104810827;158550087;689679975;47;123128051;0;2025-09-29;2025-09-29;2079-06-06;1;749230.761884.775803.158550087.104810827
247049056;104808680;158550087;689679976;47;123125899;0;2025-09-29;2025-09-29;2079-06-06;1;749230.761884.775803.158550087.104808680
247049059;174935654;785428;689679983;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.783633.781408.785428.174935654
247049058;174935653;785428;689679982;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.783633.781408.785428.174935653
247049067;174935662;758364;689679994;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.751333.754470.758364.174935662
247049069;174935664;105626354;689679998;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;749230.751333.763368.105626354.174935664
