ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
111796594;174921031;442257d7-1fcc-45eb-aba0-175c50629059;689648055;1;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802222;174935791;416cdf1c-3658-4022-a181-19563a30fcd6;689680276;20;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802224;174935793;6f505aaf-77e3-49fc-907c-878d9767c623;689680278;18;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802226;174935795;baf09d6f-6af1-4aa7-92bd-af029ee778f7;689680280;16;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802228;174935797;9099355a-2bf1-48ea-93b0-8c6a341fe1a5;689680282;13;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802230;174935799;69cc1db0-adc1-4b6f-890f-e7098e252e82;689680284;11;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802232;174935801;8d749a25-0347-4891-96fc-8bad60d73b08;689680286;9;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802234;174935803;b45f3db4-ed68-44f3-b6fe-cf6ac68f4602;689680288;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802236;174935805;f3381397-e3a1-46b1-9bb1-fff579bd974d;689680290;5;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802238;174935807;b13c29c8-4f32-4b73-83a1-15dfb49a57ee;689680292;3;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802240;174935809;a82b4d5f-0a43-4053-ab03-bf973c2a652e;689680294;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802242;174935818;85cc0bb7-e236-43f8-9207-cf6860e28fa7;689680318;40;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802244;174935820;119b0803-695f-4419-b2cd-74a84ed92863;689680320;38;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802246;174935822;0f8270da-9fd3-4368-9d2b-ab94a3dbcec4;689680322;36;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802248;174935824;4f90e9be-4cff-441e-aaf6-c8f796425fc2;689680324;34;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802250;174935826;2ce43d52-3115-4ead-939f-9ced22c4364c;689680326;32;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802252;174935828;26012f3f-2c50-4369-9b9d-28767b523c6f;689680328;29;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802254;174935830;6350e451-39c9-40ac-847c-72b355a27472;689680330;27;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
