ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
752724227;71875506;215850919;689820241;8;47:24:0102004:2383;2025-10-01;2021-09-14;2025-10-01
1644448165;174918992;689644694;0;1;4704;2025-09-29;2025-09-29;2079-06-06
1644448167;174918992;689644694;0;6;41239000071;2025-09-29;2025-09-29;2079-06-06
1644448169;174918992;689644694;0;8;47:03:1106001:554;2025-09-29;2025-09-29;2079-06-06
1644448171;174918992;689644694;0;13;416394081110000000220085000000000;2025-09-29;2025-09-29;2079-06-06
1644448173;174918993;689644696;0;1;4704;2025-09-29;2025-09-29;2079-06-06
1644448175;174918993;689644696;0;6;41239000071;2025-09-29;2025-09-29;2079-06-06
1644448177;174918993;689644696;0;8;47:03:1106001:552;2025-09-29;2025-09-29;2079-06-06
1644448179;174918993;689644696;0;13;416394081110000000220086000000000;2025-09-29;2025-09-29;2079-06-06
1644448181;174918994;689644697;0;1;4704;2025-09-29;2025-09-29;2079-06-06
1644448183;174918994;689644697;0;6;41239000071;2025-09-29;2025-09-29;2079-06-06
1644448185;174918994;689644697;0;8;47:03:1106001:553;2025-09-29;2025-09-29;2079-06-06
1644448187;174918994;689644697;0;13;416394081110000000220087000000000;2025-09-29;2025-09-29;2079-06-06
1644449115;49147674;689644923;0;20;15.01.2025;2025-09-29;2025-09-29;2079-06-06
1644464147;52479673;689648081;0;8;47:16:0101012:595;2025-09-29;2025-09-29;2079-06-06
1644464423;174921158;689648187;0;2;4706;2025-09-29;2025-09-29;2079-06-06
1644464425;174921158;689648187;0;7;41625101001;2025-09-29;2025-09-29;2079-06-06
1644464427;174921158;689648187;0;15;258;2025-09-29;2025-09-29;2079-06-06
1644464429;174921158;689648187;0;21;41625101;2025-09-29;2025-09-29;2079-06-06
1644464431;174921159;689648188;0;2;4706;2025-09-29;2025-09-29;2079-06-06
1644464433;174921159;689648188;0;7;41625101001;2025-09-29;2025-09-29;2079-06-06
1644464435;174921159;689648188;0;15;259;2025-09-29;2025-09-29;2079-06-06
1644464437;174921159;689648188;0;21;41625101;2025-09-29;2025-09-29;2079-06-06
