CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689646691;88304271;7e3e1e28-aa82-4fee-9b3a-13bb1c85fa57;20;27410543;2025-09-29
689648869;174921770;4e319397-7d08-4693-9c77-491b2503bd4c;10;27410690;2025-09-29
689649019;93182648;482654f8-5fa3-435f-8bff-b4854801635a;20;27410746;2025-09-29
689649034;174921843;464d22b3-0bb3-4657-bdf6-cfab4a6c50ae;10;27410753;2025-09-29
689649058;8759281;8ba0bafe-ff76-414b-ad60-9ac5f531425d;20;27410757;2025-09-29
689649078;99422957;2c45e88d-9944-4300-9a6e-cdbedd87cf08;30;27410762;2025-09-29
689649092;92763655;f0d2f5cc-7826-4475-a5ae-646ddab44798;42;27410764;2025-09-29
689649180;34782174;19399b82-1d3a-4a4f-a8a7-2ec6180ac77a;20;27410778;2025-09-29
689649366;88346712;31c0947a-aa37-43b1-b250-29e17a0c2422;20;27410837;2025-09-29
689649409;89065721;5f4ab62d-f28b-404a-b33c-93916ca082ff;20;27410837;2025-09-29
689652060;18865101;4438f713-d7ec-4c9a-b415-43bf95022184;20;27411176;2025-09-29
689652072;83872140;f9698d96-45e1-4576-a955-5787da3b4a5a;20;27411180;2025-09-29
689652082;92851246;d9cfefac-102a-4ece-90d9-6c149ab8be0c;20;27411185;2025-09-29
689652950;29128263;e089bdeb-e897-4005-a96e-2a0ff7f0f3f3;30;27411299;2025-09-29
689664203;51113219;aaa9fcab-c065-4c2b-afa8-048465491861;20;27411992;2025-09-29
689665337;174928555;b85e0e0b-7ead-49c3-9cf6-052f6f6b106e;10;27412107;2025-09-29
689665812;174928606;d59ad580-bb7c-44d6-a293-dfdaed2d5dc0;10;27412145;2025-09-29
689666564;103120093;998b53e8-21da-4f57-bcd3-68fe57d95b61;20;27381156;2025-09-29
689666936;19751184;b22d8b4a-3ae4-42bc-a033-9b250291fad4;20;27381156;2025-09-29
689667186;57615658;ce74b551-9e2b-45d4-9e26-3df1f6966a1a;30;27412323;2025-09-29
