ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
8230951;92764577;c4164d79-bed2-480d-a0bd-1265ef11c037;135603622;29;10;74169864;2025-09-29;2019-09-26;2025-09-29;0;0
74169303;174920451;9373489a-3ed6-4bf9-a903-18ba1f3e82d5;689646986;19;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169864;92764577;c4164d79-bed2-480d-a0bd-1265ef11c037;689649091;29;40;;2025-09-29;2025-09-29;2079-06-06;1;1
74169865;92763655;5c2a77e2-3d08-4523-ad41-fe7dd952b902;689649092;31;42;74169864;2025-09-29;2025-09-29;2079-06-06;1;0
74172238;174928583;bbb9e77c-7fba-43b3-9ddf-872c7ac287f1;689665760;24;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172676;174929397;cb7df5d1-87ea-493c-8f98-f4e71292aa9b;689667485;1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173344;174930427;2c934bd8-e283-4231-9388-2b89333f543b;689669551;101;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174157;174931907;d9cf6272-628b-4443-933f-f75a07a50192;689672486;32б;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74175226;162681607;bcd947d4-f23a-4e0d-97f3-26b1d8971cb1;689675683;2г;30;0;2025-09-29;2025-09-29;2079-06-06;1;0
74176347;174937339;e10d4b38-f6f8-4d6f-b848-ace94fa4d5c6;689683034;1/1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176349;174937341;0fd3f210-6503-45ff-bbb8-4743b718f817;689683036;7/4;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176351;174937343;f232ebe4-ca7c-454f-a476-bbf30ba5512a;689683038;5/2;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176353;174937345;b759e924-e37b-4572-86a6-4c55bb2185ad;689683040;13/1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176355;174937347;769fa837-2701-49a6-a228-e05c67b3e9fe;689683042;11/1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176357;174937349;dc9d1967-0e5c-4690-b8ed-1330426aed23;689683044;1/2;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176365;174937517;910257bd-5af5-4480-bea5-fef96ef5a9f1;689683343;49;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176367;174937519;d195e851-d104-4d68-bd9f-7f2861aac13a;689683345;26/1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176369;174937521;a239576c-b485-4768-b090-3a46c8433fba;689683347;21;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176371;174937523;e4afe97d-69c3-4d2e-ab41-1a3a507fbf71;689683349;23;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176373;174937525;da9aec15-e278-4aa7-9a3a-2dd79c0d7ca2;689683351;20/6;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
