ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
494718547;87007477;128964433;689748556;8;48:10:1150320:13;2025-09-30;2019-03-25;2025-09-30
525166825;90130737;132687806;689798663;8;48:10:1210109:2;2025-10-01;2019-03-29;2025-10-01
1644458841;88304271;689646691;0;8;48:02:0450401:24;2025-09-29;2025-09-29;2079-06-06
1644459821;174920451;689646986;0;1;4800;2025-09-29;2025-09-29;2079-06-06
1644459823;174920451;689646986;0;3;4802;2025-09-29;2025-09-29;2079-06-06
1644459825;174920451;689646986;0;6;42206868000;2025-09-29;2025-09-29;2079-06-06
1644459827;174920451;689646986;0;8;48:02:0450401:57;2025-09-29;2025-09-29;2079-06-06
1644459829;174920451;689646986;0;13;426064680000004000010111000000000;2025-09-29;2025-09-29;2079-06-06
555539464;93216618;136087511;689648990;8;48:09:1400102:4;2025-09-29;2019-12-25;2025-09-29
1644468518;93216618;689648990;0;13;426274041260000000210045000000010;2025-09-29;2025-09-29;2079-06-06
1644468791;93182648;689649019;0;8;48:09:1400102:28;2025-09-29;2025-09-29;2079-06-06
1644468898;174921843;689649034;0;1;4800;2025-09-29;2025-09-29;2079-06-06
1644468900;174921843;689649034;0;3;4828;2025-09-29;2025-09-29;2079-06-06
1644468902;174921843;689649034;0;6;42227000007;2025-09-29;2025-09-29;2079-06-06
1644468904;174921843;689649034;0;8;48:09:1400104:29;2025-09-29;2025-09-29;2079-06-06
1644468906;174921843;689649034;0;13;426274041260000000210080000000000;2025-09-29;2025-09-29;2079-06-06
551085721;92764577;135603622;689649091;8;48:13:1550301:4235;2025-09-29;2019-09-26;2025-09-29
1644469283;92764577;689649091;0;13;426404841160000002610003000000010;2025-09-29;2025-09-29;2079-06-06
1644470257;88346712;689649366;0;8;48:02:0450401:111;2025-09-29;2025-09-29;2079-06-06
514430877;89032451;131443682;689649389;8;48:02:0440124:8;2025-09-29;1992-12-05;2025-09-29
1644470393;89032451;689649389;0;13;426064681060000000510243000000010;2025-09-29;2025-09-29;2079-06-06
1644470470;89065721;689649409;0;8;48:02:0000000:8921;2025-09-29;2025-09-29;2079-06-06
1644482486;92851246;689652082;0;8;48:16:0710504:10;2025-09-29;2025-09-29;2079-06-06
1644498076;174926217;689655955;0;1;4800;2025-09-29;2025-09-29;2079-06-06
1644498078;174926217;689655955;0;3;4828;2025-09-29;2025-09-29;2079-06-06
1644498080;174926217;689655955;0;6;42218808001;2025-09-29;2025-09-29;2079-06-06
1644498082;174926217;689655955;0;8;48:06:1150211:11;2025-09-29;2025-09-29;2079-06-06
1644498084;174926217;689655955;0;13;426184081010000000310095000000000;2025-09-29;2025-09-29;2079-06-06
1644513825;174928583;689665760;0;1;4800;2025-09-29;2025-09-29;2079-06-06
1644513827;174928583;689665760;0;3;4818;2025-09-29;2025-09-29;2079-06-06
1644513829;174928583;689665760;0;6;42256836001;2025-09-29;2025-09-29;2079-06-06
1644513831;174928583;689665760;0;8;48:18:1560408:36;2025-09-29;2025-09-29;2079-06-06
1644513833;174928583;689665760;0;13;426564361010000000410053000000000;2025-09-29;2025-09-29;2079-06-06
1644514035;174928606;689665812;0;6;42215000024;2025-09-29;2025-09-29;2079-06-06
1644514037;174928606;689665812;0;8;48:05:0890108:1111;2025-09-29;2025-09-29;2079-06-06
1644514039;174928606;689665812;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644514041;174928606;689665812;0;4;4813;2025-09-29;2025-09-29;2079-06-06
1644514043;174928606;689665812;0;13;426154321010000007110003000000000;2025-09-29;2025-09-29;2079-06-06
1644520825;174929397;689667485;0;1;4800;2025-09-29;2025-09-29;2079-06-06
1644520827;174929397;689667485;0;3;4802;2025-09-29;2025-09-29;2079-06-06
1644520829;174929397;689667485;0;6;42212824008;2025-09-29;2025-09-29;2079-06-06
1644520831;174929397;689667485;0;8;48:04:1720204:278;2025-09-29;2025-09-29;2079-06-06
1644520833;174929397;689667485;0;13;426124241060001000010001000000000;2025-09-29;2025-09-29;2079-06-06
1644521410;174929458;689667567;0;1;4800;2025-09-29;2025-09-29;2079-06-06
1644521412;174929458;689667567;0;3;4802;2025-09-29;2025-09-29;2079-06-06
1644521414;174929458;689667567;0;6;42212824001;2025-09-29;2025-09-29;2079-06-06
1644521416;174929458;689667567;0;8;48:04:1720201:10;2025-09-29;2025-09-29;2079-06-06
1644521418;174929458;689667567;0;13;426124241010001000010001000000000;2025-09-29;2025-09-29;2079-06-06
1644527393;158027904;689669159;0;13;426064241010000001310221000000020;2025-09-29;2025-09-29;2079-06-06
1644528778;174930427;689669551;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644528780;174930427;689669551;0;4;4813;2025-09-29;2025-09-29;2079-06-06
1644528782;174930427;689669551;0;7;42540000163;2025-09-29;2025-09-29;2079-06-06
1644528784;174930427;689669551;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644528786;174930427;689669551;0;21;42540000;2025-09-29;2025-09-29;2079-06-06
1644537807;174931827;689672354;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644537809;174931827;689672354;0;4;4813;2025-09-29;2025-09-29;2079-06-06
1644537811;174931827;689672354;0;7;42515000101;2025-09-29;2025-09-29;2079-06-06
1644537813;174931827;689672354;0;15;9;2025-09-29;2025-09-29;2079-06-06
1644537815;174931827;689672354;0;21;42515000;2025-09-29;2025-09-29;2079-06-06
1644538554;174931907;689672486;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644538556;174931907;689672486;0;4;4802;2025-09-29;2025-09-29;2079-06-06
1644538558;174931907;689672486;0;7;42606440131;2025-09-29;2025-09-29;2079-06-06
1644538560;174931907;689672486;0;13;426064401310000000110154000000000;2025-09-29;2025-09-29;2079-06-06
1644551602;174933788;689675444;0;1;4800;2025-09-29;2025-09-29;2079-06-06
1644551604;174933788;689675444;0;6;42401365000;2025-09-29;2025-09-29;2079-06-06
1644551606;174933788;689675444;0;8;48:02:0940175:2;2025-09-29;2025-09-29;2079-06-06
1644551608;174933788;689675444;0;13;427010000000000078710132000000000;2025-09-29;2025-09-29;2079-06-06
1644552832;162681607;689675683;0;20;03.07.2025;2025-09-29;2025-09-29;2079-06-06
1644560985;174935186;689679154;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644560987;174935186;689679154;0;4;4813;2025-09-29;2025-09-29;2079-06-06
1644560989;174935186;689679154;0;7;42515000102;2025-09-29;2025-09-29;2079-06-06
1644560991;174935186;689679154;0;15;145;2025-09-29;2025-09-29;2079-06-06
1644560993;174935186;689679154;0;21;42515000;2025-09-29;2025-09-29;2079-06-06
1644573216;174937339;689683034;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573218;174937339;689683034;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573220;174937339;689683034;0;15;18;2025-09-29;2025-09-29;2079-06-06
1644573222;174937339;689683034;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573224;174937340;689683035;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573226;174937340;689683035;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573228;174937340;689683035;0;15;19;2025-09-29;2025-09-29;2079-06-06
1644573230;174937340;689683035;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573232;174937341;689683036;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573234;174937341;689683036;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573236;174937341;689683036;0;15;20;2025-09-29;2025-09-29;2079-06-06
1644573238;174937341;689683036;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573240;174937342;689683037;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573242;174937342;689683037;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573244;174937342;689683037;0;15;21;2025-09-29;2025-09-29;2079-06-06
1644573246;174937342;689683037;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573248;174937343;689683038;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573250;174937343;689683038;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573252;174937343;689683038;0;15;22;2025-09-29;2025-09-29;2079-06-06
1644573254;174937343;689683038;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573256;174937344;689683039;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573258;174937344;689683039;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573260;174937344;689683039;0;15;23;2025-09-29;2025-09-29;2079-06-06
1644573262;174937344;689683039;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573264;174937345;689683040;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573266;174937345;689683040;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573268;174937345;689683040;0;15;24;2025-09-29;2025-09-29;2079-06-06
1644573270;174937345;689683040;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573272;174937346;689683041;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573274;174937346;689683041;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573276;174937346;689683041;0;15;25;2025-09-29;2025-09-29;2079-06-06
1644573278;174937346;689683041;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573280;174937347;689683042;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573282;174937347;689683042;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573284;174937347;689683042;0;15;26;2025-09-29;2025-09-29;2079-06-06
1644573286;174937347;689683042;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573288;174937348;689683043;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573290;174937348;689683043;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573292;174937348;689683043;0;15;27;2025-09-29;2025-09-29;2079-06-06
1644573294;174937348;689683043;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573296;174937349;689683044;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573298;174937349;689683044;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573300;174937349;689683044;0;15;28;2025-09-29;2025-09-29;2079-06-06
1644573302;174937349;689683044;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573948;174937516;689683342;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573950;174937516;689683342;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573952;174937516;689683342;0;15;64;2025-09-29;2025-09-29;2079-06-06
1644573954;174937516;689683342;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573956;174937517;689683343;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573958;174937517;689683343;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573960;174937517;689683343;0;15;65;2025-09-29;2025-09-29;2079-06-06
1644573962;174937517;689683343;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573964;174937518;689683344;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573966;174937518;689683344;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573968;174937518;689683344;0;15;66;2025-09-29;2025-09-29;2079-06-06
1644573970;174937518;689683344;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573972;174937519;689683345;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573974;174937519;689683345;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573976;174937519;689683345;0;15;67;2025-09-29;2025-09-29;2079-06-06
1644573978;174937519;689683345;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573980;174937520;689683346;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573982;174937520;689683346;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573984;174937520;689683346;0;15;68;2025-09-29;2025-09-29;2079-06-06
1644573986;174937520;689683346;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573988;174937521;689683347;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573990;174937521;689683347;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644573992;174937521;689683347;0;15;69;2025-09-29;2025-09-29;2079-06-06
1644573994;174937521;689683347;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644573996;174937522;689683348;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644573998;174937522;689683348;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644574000;174937522;689683348;0;15;70;2025-09-29;2025-09-29;2079-06-06
1644574002;174937522;689683348;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644574004;174937523;689683349;0;2;4800;2025-09-29;2025-09-29;2079-06-06
1644574006;174937523;689683349;0;7;42503000105;2025-09-29;2025-09-29;2079-06-06
1644574008;174937523;689683349;0;15;71;2025-09-29;2025-09-29;2079-06-06
1644574010;174937523;689683349;0;21;42503000;2025-09-29;2025-09-29;2079-06-06
1644574012;174937524;689683350;0;2;4800;2025-09-29;2025-09-29;2079-06-06
