ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644879422;78367895;689781205;0;8;49:09:030124:598;2025-10-01;2025-10-01;2079-06-06
1644879424;174972388;689781206;0;15;2;2025-10-01;2025-10-01;2079-06-06
1644879426;174972389;689781207;0;8;49:09:030127:120;2025-10-01;2025-10-01;2079-06-06
1644879428;174972389;689781207;0;13;447010000010000004540021000300000;2025-10-01;2025-10-01;2079-06-06
1644879430;174972390;689781208;0;15;4;2025-10-01;2025-10-01;2079-06-06
1644879436;78565733;689781210;0;8;49:09:030127:169;2025-10-01;2025-10-01;2079-06-06
1644879440;174972391;689781213;0;15;3;2025-10-01;2025-10-01;2079-06-06
1644879442;174972392;689781214;0;8;49:09:030127:362;2025-10-01;2025-10-01;2079-06-06
1644879437;78318449;689781211;0;8;49:09:030127:336;2025-10-01;2025-10-01;2079-06-06
1644879444;174972392;689781214;0;13;447010000010000004540029000400000;2025-10-01;2025-10-01;2079-06-06
1644879446;174972393;689781215;0;15;5;2025-10-01;2025-10-01;2079-06-06
1644879448;174972394;689781216;0;8;49:09:030127:356;2025-10-01;2025-10-01;2079-06-06
1644879450;174972394;689781216;0;13;447010000010000004540029000600000;2025-10-01;2025-10-01;2079-06-06
1644879452;174972395;689781217;0;15;7;2025-10-01;2025-10-01;2079-06-06
1644879454;174972396;689781218;0;8;49:09:030127:353;2025-10-01;2025-10-01;2079-06-06
1644879456;174972396;689781218;0;13;447010000010000004540029000800000;2025-10-01;2025-10-01;2079-06-06
1644879458;174972397;689781219;0;15;9;2025-10-01;2025-10-01;2079-06-06
1644879460;174972398;689781220;0;8;49:09:030127:347;2025-10-01;2025-10-01;2079-06-06
1644879462;174972398;689781220;0;13;447010000010000004540029001000000;2025-10-01;2025-10-01;2079-06-06
1644879464;174972399;689781221;0;15;11;2025-10-01;2025-10-01;2079-06-06
1644879466;174972400;689781222;0;8;49:09:030127:340;2025-10-01;2025-10-01;2079-06-06
1644879468;174972400;689781222;0;13;447010000010000004540029001200000;2025-10-01;2025-10-01;2079-06-06
