CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689649768;102032963;60370e6f-7f05-4d0b-a52c-0fede1f51fb6;20;27295079;2025-09-29
689701199;174945128;cc8b04a7-862d-4c62-954c-50e04ce36844;10;27418120;2025-09-30
689702878;174945969;b3b20594-b2b4-4f26-a6fe-b8c9c71cd25e;10;27418378;2025-09-30
689777403;174970788;452f3880-3138-424c-9ed5-d7080fb54111;10;27429556;2025-10-01
689777402;174970787;d0aa71e4-5f20-47d5-be9f-f00bed3e005d;10;27429555;2025-10-01
689781207;174972389;1c45bad7-8cce-4c18-b7e5-fbb28ee49a06;10;27430314;2025-10-01
689781210;78565733;db56568a-8d8c-404d-8c7e-f895e99474a2;20;27430316;2025-10-01
689781209;78476349;3d1de58f-ae8b-4206-a69a-6d9a77bc8d79;20;27430315;2025-10-01
689781212;78318674;93bfec07-c4fc-4bf3-a630-b75b82ea10b4;24;27430317;2025-10-01
689781213;174972391;4e07158a-123d-4118-8f60-45616a5e4b56;10;27430318;2025-10-01
689781215;174972393;d9958e20-12de-4c89-b315-c2e52576b851;10;27430318;2025-10-01
689781217;174972395;b9e79342-09df-45a4-b90d-acdcb059f864;10;27430318;2025-10-01
689781219;174972397;7cb28aa6-a425-454f-a0e5-08232833fc0f;10;27430318;2025-10-01
689781221;174972399;a33d043b-54fd-431a-afb7-d1e3131a4077;10;27430318;2025-10-01
689781223;174972401;e7b00b2a-e30e-430e-9dd2-8907c1503553;10;27430318;2025-10-01
689781225;174972403;27af621d-92e6-4e07-a1a8-a6e8c1e6e71c;10;27430318;2025-10-01
689781227;174972405;9321fc3f-7150-41fc-a8a4-698b990bc8d1;10;27430318;2025-10-01
689781229;174972407;390bdab3-bca2-4c53-965e-3470b605f96e;10;27430318;2025-10-01
689786894;78349148;d5e4b3c4-0616-419d-a49d-6432678f367b;20;27431492;2025-10-01
689786953;78477204;2bf0a15a-d634-4154-b684-69afbff89bf7;20;27431495;2025-10-01
689789761;78477415;9af3d3f5-25e2-4ba1-a8a1-d6e46b7172b5;24;27432034;2025-10-01
689789763;78477653;e26eaff5-9a40-4b9c-8755-4fdd170b97e8;24;27432034;2025-10-01
689789765;78477669;a74f8b82-b8f3-4459-aa12-12a7e9b5bf5e;24;27432034;2025-10-01
689789767;78477685;cce0e423-623a-48c8-9a87-bd5daa8e396d;24;27432034;2025-10-01
689789769;78477696;4ab3f48e-2e92-44d0-b284-7775a5419cc1;24;27432034;2025-10-01
689789771;78477715;ccaf9941-3e40-4e04-94f0-69934e286557;24;27432034;2025-10-01
689789773;78477736;9a35d03d-d7de-45ff-a4bc-bfcf7c156fb9;24;27432034;2025-10-01
689789775;78477752;46d65c41-9046-4f25-b31b-231fa5a34f3d;24;27432034;2025-10-01
689789777;78477763;25fa7c97-9dd3-4228-b734-bd369b89436f;24;27432034;2025-10-01
689789779;78477771;7bb892a4-1455-47b9-bfda-2c745adb6e5b;24;27432034;2025-10-01
689789781;78477784;5f7d83de-762e-4751-9880-61f5b881bc35;24;27432034;2025-10-01
689789783;78477845;e00db045-ed6a-4f4a-9745-2a011ff1b175;24;27432034;2025-10-01
689789785;78477861;0c83636e-faab-497c-90e3-d2f4e275db41;24;27432034;2025-10-01
689789787;78477879;e1cc784c-2225-4e0d-a099-b3c32f4747ba;24;27432034;2025-10-01
689789789;78477892;593112c0-1475-42e5-b898-12ae66046ace;24;27432034;2025-10-01
689789791;78477904;55929b98-43f7-4ea6-946d-bc3dad041d37;24;27432034;2025-10-01
