ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644636237;174945128;689701199;0;1;4900;2025-09-30;2025-09-30;2079-06-06
1644636239;174945128;689701199;0;6;44210551000;2025-09-30;2025-09-30;2079-06-06
1644636241;174945128;689701199;0;8;49:04:000000:120;2025-09-30;2025-09-30;2079-06-06
1644636243;174945128;689701199;0;4;4909;2025-09-30;2025-09-30;2079-06-06
1644636245;174945128;689701199;0;13;447100000510000000720015000000000;2025-09-30;2025-09-30;2079-06-06
1644638118;174945452;689701594;0;1;4900;2025-09-30;2025-09-30;2079-06-06
1644638120;174945452;689701594;0;3;4909;2025-09-30;2025-09-30;2079-06-06
1644638122;174945452;689701594;0;6;44401000000;2025-09-30;2025-09-30;2079-06-06
1644638124;174945452;689701594;0;8;49:09:000000:9210;2025-09-30;2025-09-30;2079-06-06
1644638126;174945452;689701594;0;13;447010000010000001220126000000000;2025-09-30;2025-09-30;2079-06-06
1644866173;174970786;689777401;0;1;4900;2025-10-01;2025-10-01;2079-06-06
1644866175;174970786;689777401;0;6;44401000000;2025-10-01;2025-10-01;2079-06-06
1644866177;174970786;689777401;0;8;49:09:030910:307;2025-10-01;2025-10-01;2079-06-06
1644866179;174970786;689777401;0;4;4909;2025-10-01;2025-10-01;2079-06-06
1644866181;174970786;689777401;0;13;447010000010000057820025000000000;2025-10-01;2025-10-01;2079-06-06
1644866193;174970788;689777403;0;1;4900;2025-10-01;2025-10-01;2079-06-06
1644866195;174970788;689777403;0;6;44401000000;2025-10-01;2025-10-01;2079-06-06
1644866197;174970788;689777403;0;8;49:09:030918:340;2025-10-01;2025-10-01;2079-06-06
1644866199;174970788;689777403;0;4;4909;2025-10-01;2025-10-01;2079-06-06
1644866201;174970788;689777403;0;13;447010000010000057420020000000000;2025-10-01;2025-10-01;2079-06-06
1335413443;78476349;465631086;689781209;8;49:09:030127:827;2025-10-01;2022-11-11;2025-10-01
1644879433;78476349;689781209;0;4;4909;2025-10-01;2025-10-01;2079-06-06
1644879435;78476349;689781209;0;13;447010000010000004520025000000010;2025-10-01;2025-10-01;2079-06-06
1644879494;78560401;689781231;0;4;4909;2025-10-01;2025-10-01;2079-06-06
1644879496;78560401;689781231;0;13;447010000010000004520031000000010;2025-10-01;2025-10-01;2079-06-06
1644895479;78349148;689786894;0;4;4909;2025-10-01;2025-10-01;2079-06-06
1644895481;78349148;689786894;0;13;447010000010000004520023000000010;2025-10-01;2025-10-01;2079-06-06
