ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644641972;174945969;689702878;0;1;4900;2025-09-30;2025-09-30;2079-06-06
1644641974;174945969;689702878;0;6;44201551000;2025-09-30;2025-09-30;2079-06-06
1644641976;174945969;689702878;0;8;49:01:020108:54;2025-09-30;2025-09-30;2079-06-06
1644641978;174945969;689702878;0;4;4909;2025-09-30;2025-09-30;2079-06-06
1644641980;174945969;689702878;0;13;447020000510000001510001000000000;2025-09-30;2025-09-30;2079-06-06
1644866163;174970785;689777400;0;1;4900;2025-10-01;2025-10-01;2079-06-06
1644866165;174970785;689777400;0;6;44401000000;2025-10-01;2025-10-01;2079-06-06
1644866167;174970785;689777400;0;8;49:09:030910:87;2025-10-01;2025-10-01;2079-06-06
1644866169;174970785;689777400;0;4;4909;2025-10-01;2025-10-01;2079-06-06
1644866171;174970785;689777400;0;13;447010000010000057810035000000000;2025-10-01;2025-10-01;2079-06-06
1644866183;174970787;689777402;0;1;4900;2025-10-01;2025-10-01;2079-06-06
1644866185;174970787;689777402;0;6;44401000000;2025-10-01;2025-10-01;2079-06-06
1644866187;174970787;689777402;0;8;49:09:030918:63;2025-10-01;2025-10-01;2079-06-06
1644866189;174970787;689777402;0;4;4909;2025-10-01;2025-10-01;2079-06-06
1644866191;174970787;689777402;0;13;447010000010000057410025000000000;2025-10-01;2025-10-01;2079-06-06
