ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1335927142;2935420;466142897;689695002;8;50:04:0240304:137;2025-09-29;2022-11-11;2025-09-29
1335941682;11504299;466157439;689675712;8;50:04:0010124:115;2025-09-29;2022-11-11;2025-09-29
1335947924;42573046;466163681;689793796;8;50:09:0050448:915;2025-10-01;2022-11-11;2025-10-01
1335974727;8675131;466190481;689718115;8;50:28:0000000:16303;2025-09-30;2022-11-11;2025-09-30
1337948935;11494940;468164694;689675494;8;50:04:0010122:47;2025-09-29;2022-11-11;2025-09-29
1337950530;42077097;468166289;689697424;8;50:04:0220401:5192;2025-09-29;2022-11-11;2025-09-29
1337950834;24471909;468166593;689712444;8;50:08:0000000:117111;2025-09-30;2022-11-11;2025-09-30
1337952219;4421246;468167976;689675635;8;50:04:0000000:70682;2025-09-29;2022-11-11;2025-09-29
1337952199;17987605;468167958;689675741;8;50:04:0010339:83;2025-09-29;2022-11-11;2025-09-29
1337952952;24291584;468168711;689690775;8;50:31:0050448:1328;2025-09-29;2022-11-11;2025-09-29
1337952549;79789619;468168308;689695878;8;50:31:0030240:119;2025-09-29;2022-11-11;2025-09-29
1337954604;76886097;468170365;689695558;8;50:31:0030602:436;2025-09-29;2022-11-11;2025-09-29
1337954522;5526618;468170281;689799516;8;50:09:0000000:72961;2025-10-01;2022-11-11;2025-10-01
643351152;27462519;139777288;689695017;8;50:31:0050702:279;2025-09-29;2020-03-03;2025-09-29
313531917;55512603;83035173;689673036;15;257;2025-09-29;2018-04-23;2025-09-29
758626832;102577225;218910166;689670001;15;186;2025-09-29;2021-10-01;2025-09-29
666848302;97754583;154173555;689777280;15;32;2025-09-30;2020-08-03;2025-09-30
844874152;69355809;287859542;689695338;8;50:31:0020510:707;2025-09-29;2022-08-08;2025-09-29
1487539524;161726639;576446952;689697497;8;50:42:0030109:509;2025-09-29;2023-12-12;2025-09-29
1493511909;54131262;581694500;689742638;8;50:39:0050602:246;2025-09-30;2023-12-30;2025-09-30
1493563194;54044327;581745787;689742570;8;50:39:0050601:91;2025-09-30;2023-12-30;2025-09-30
1493589971;25646520;581772562;689712649;8;50:28:0000000:47103;2025-09-30;2023-12-30;2025-09-30
1493640936;158563190;581823529;689672734;8;50:09:0000000:18010;2025-09-29;2023-12-30;2025-09-29
1493654704;10249399;581837296;689806712;8;50:29:0072507:1266;2025-10-01;2023-12-30;2025-10-01
1512080140;21462135;594953634;689718714;8;50:31:0040119:843;2025-09-30;2024-05-07;2025-09-30
1512239738;45021076;595113235;689695892;8;50:31:0020520:849;2025-09-29;2024-05-07;2025-09-29
1512257046;82172465;595130545;689743011;8;50:39:0050507:119;2025-09-30;2024-05-07;2025-09-30
1512267158;12845028;595140654;689696304;8;50:31:0010104:4648;2025-09-29;2024-05-07;2025-09-29
1518058985;65574668;597976097;689695096;8;50:31:0000000:45800;2025-09-29;2024-07-08;2025-09-29
1592746469;70918734;639071450;689695918;7;46584000706;2025-09-29;2025-02-13;2025-09-29
1644428038;174916313;689638802;0;2;5001;2025-09-29;2025-09-29;2079-06-06
1644428040;174916313;689638802;0;7;46704000001;2025-09-29;2025-09-29;2079-06-06
1644428042;174916313;689638802;0;13;467040000010000000020323000000000;2025-09-29;2025-09-29;2079-06-06
1644428992;174916561;689639108;0;1;5017;2025-09-29;2025-09-29;2079-06-06
1644428994;174916561;689639108;0;6;46433000094;2025-09-29;2025-09-29;2079-06-06
1644428996;174916561;689639108;0;8;50:08:0000000:164457;2025-09-29;2025-09-29;2079-06-06
1644428998;174916561;689639108;0;13;467330001940000001930029000000000;2025-09-29;2025-09-29;2079-06-06
1644429626;174916650;689639219;0;1;5024;2025-09-29;2025-09-29;2079-06-06
1644429628;174916650;689639219;0;6;46439556000;2025-09-29;2025-09-29;2079-06-06
1644429630;174916650;689639219;0;15;49;2025-09-29;2025-09-29;2079-06-06
1644429632;174916650;689639219;0;21;46744000;2025-09-29;2025-09-29;2079-06-06
1644430318;174916722;689639291;0;2;5043;2025-09-29;2025-09-29;2079-06-06
1644430320;174916722;689639291;0;7;46770000186;2025-09-29;2025-09-29;2079-06-06
1644430322;174916722;689639291;0;13;467700001860000000020196000000000;2025-09-29;2025-09-29;2079-06-06
1644430324;174916723;689639302;0;1;5003;2025-09-29;2025-09-29;2079-06-06
1644430326;174916723;689639302;0;6;46407000176;2025-09-29;2025-09-29;2079-06-06
1644430328;174916723;689639302;0;15;54;2025-09-29;2025-09-29;2079-06-06
1644430330;174916723;689639302;0;21;46707000;2025-09-29;2025-09-29;2079-06-06
1644430348;174916726;689639308;0;2;5017;2025-09-29;2025-09-29;2079-06-06
1644430350;174916726;689639308;0;4;5004;2025-09-29;2025-09-29;2079-06-06
1644430352;174916726;689639308;0;7;46508000488;2025-09-29;2025-09-29;2079-06-06
1644430354;174916726;689639308;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644430356;174916726;689639308;0;21;46508000;2025-09-29;2025-09-29;2079-06-06
1644431106;174916798;689639507;0;2;5017;2025-09-29;2025-09-29;2079-06-06
1644431108;174916798;689639507;0;7;46533000344;2025-09-29;2025-09-29;2079-06-06
1644431110;174916798;689639507;0;15;42;2025-09-29;2025-09-29;2079-06-06
1644431112;174916798;689639507;0;21;46533000;2025-09-29;2025-09-29;2079-06-06
1644431130;174916801;689639510;0;2;5017;2025-09-29;2025-09-29;2079-06-06
1644431132;174916801;689639510;0;7;46533000146;2025-09-29;2025-09-29;2079-06-06
1644431134;174916801;689639510;0;15;54;2025-09-29;2025-09-29;2079-06-06
1644431136;174916801;689639510;0;21;46533000;2025-09-29;2025-09-29;2079-06-06
1644444703;169510543;689643934;0;8;50:16:0602001:3922;2025-09-29;2025-09-29;2079-06-06
1644444753;37967964;689643942;0;15;252;2025-09-29;2025-09-29;2079-06-06
220379194;37967964;57570658;689643942;6;46451556000;2025-09-29;2019-04-12;2025-09-29
1644444721;174918562;689643937;0;2;5031;2025-09-29;2025-09-29;2079-06-06
1644444723;174918562;689643937;0;7;46751000;2025-09-29;2025-09-29;2079-06-06
1644444725;174918562;689643937;0;15;9;2025-09-29;2025-09-29;2079-06-06
1644444727;174918562;689643937;0;21;46751000;2025-09-29;2025-09-29;2079-06-06
1644444755;37967964;689643942;0;7;46751000;2025-09-29;2025-09-29;2079-06-06
1644444757;37967964;689643942;0;13;467510000000366000020252000000010;2025-09-29;2025-09-29;2079-06-06
1644444761;174918566;689643944;0;2;5031;2025-09-29;2025-09-29;2079-06-06
1644444763;174918566;689643944;0;7;46751000;2025-09-29;2025-09-29;2079-06-06
1644444765;174918566;689643944;0;15;253;2025-09-29;2025-09-29;2079-06-06
1644444767;174918566;689643944;0;21;46751000;2025-09-29;2025-09-29;2079-06-06
1644444878;174918580;689643969;0;2;5009;2025-09-29;2025-09-29;2079-06-06
1644444880;174918580;689643969;0;7;46709000746;2025-09-29;2025-09-29;2079-06-06
1644444882;174918580;689643969;0;13;467090000010101000020087000000000;2025-09-29;2025-09-29;2079-06-06
1644444846;174918576;689643964;0;1;5009;2025-09-29;2025-09-29;2079-06-06
1644444848;174918576;689643964;0;6;46409000000;2025-09-29;2025-09-29;2079-06-06
1644444850;174918576;689643964;0;15;216;2025-09-29;2025-09-29;2079-06-06
1644444852;174918576;689643964;0;21;46709000;2025-09-29;2025-09-29;2079-06-06
1644444885;174918581;689643970;0;2;5024;2025-09-29;2025-09-29;2079-06-06
1644444887;174918581;689643970;0;7;46744000001;2025-09-29;2025-09-29;2079-06-06
1644444889;174918581;689643970;0;13;467440000010159024220121000000000;2025-09-29;2025-09-29;2079-06-06
1644444892;174918582;689643972;0;1;5031;2025-09-29;2025-09-29;2079-06-06
1644444894;174918582;689643972;0;6;46451000296;2025-09-29;2025-09-29;2079-06-06
1644444896;174918582;689643972;0;8;50:16:0104013:702;2025-09-29;2025-09-29;2079-06-06
1644444898;174918582;689643972;0;13;467510004010000001120009000000000;2025-09-29;2025-09-29;2079-06-06
1644444965;7264458;689643982;0;8;50:24:0010608:183;2025-09-29;2025-09-29;2079-06-06
1644444958;174918590;689643981;0;2;5009;2025-09-29;2025-09-29;2079-06-06
1644444960;174918590;689643981;0;7;46709000161;2025-09-29;2025-09-29;2079-06-06
1644444962;174918590;689643981;0;15;71;2025-09-29;2025-09-29;2079-06-06
