OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
43605655;d033fb67-c3ad-4f09-92d4-80f19768072a;689743485;1;10;2017-04-23;2025-09-30
161912193;80c5ff7f-f132-425a-815e-6f40c0afa136;689674813;1;11;2023-12-25;2025-09-29
25928332;c5bc5d88-59ed-4ab3-a12b-b12d0f6fd5dd;689679636;1;11;2017-05-28;2025-09-29
158026784;67661ea9-557d-4324-9e8e-fd83424d4c74;689699673;1;11;2023-02-08;2025-09-29
43230369;c8c07d12-66da-48b5-a396-85688de821e7;689695116;1;10;2019-07-10;2025-09-29
100524410;358afd1d-94f2-45f3-a67d-29daa0e01893;689777294;1;11;2021-03-10;2025-09-30
61259418;ce7011e1-02da-49f4-b75f-72ec4b0b0b38;689678971;1;10;2019-05-07;2025-09-29
3400651;46a953c8-45aa-4d5c-8036-b5d96c5eaa71;689777330;1;11;2019-07-14;2025-09-30
6636941;8c46dd9d-c56c-4c3e-b10d-65352c846284;689718021;1;10;2019-07-10;2025-09-30
173873997;7b64767c-5e6f-4259-940a-0e9f93a88416;689731472;1;10;2025-08-07;2025-09-30
2123609;c2e74bc7-4477-4501-9f0a-c0f74364adbf;689777351;1;11;2019-07-19;2025-09-30
65477926;1e2639a0-2d8d-4caa-84e9-c5e49d46f4c8;689717940;0;12;2019-07-19;2025-09-30
102481714;690b53d4-5014-483d-b328-13d64004fa51;689777292;0;9;2021-09-20;2025-09-30
157288546;be3f788e-f32b-4597-b1c2-cd55aa9e20ef;689756180;1;9;2022-11-24;2025-09-30
160329054;c54f4ddd-5765-43ad-a78f-6c4a45dea8a7;689699797;1;9;2023-09-13;2025-09-29
31459406;acfa6ec0-046f-41c8-8681-e7bdca4f4128;689799308;0;10;2019-04-01;2025-10-01
52843938;cb68ecb7-bb06-438b-857d-10049a344be4;689799289;0;10;2019-03-01;2025-10-01
90023459;c509ce99-32c3-4383-ae25-a8f50f32efa5;689700624;1;9;2018-03-30;2025-09-29
43217275;8e129df9-cb3d-4951-892d-2bd483353615;689695106;1;10;2019-07-10;2025-09-29
35136824;a8e36068-1e77-4413-b9c8-2c703300eef1;689674619;1;11;2018-02-05;2025-09-29
