ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644526567;174930185;689668939;0;8;50:30:0010206:4642;2025-09-29;2025-09-29;2079-06-06
1644526569;174930185;689668939;0;13;467220000010000026440013000003000;2025-09-29;2025-09-29;2079-06-06
1644531996;60591313;689670230;0;13;467780000660000000240005000000010;2025-09-29;2025-09-29;2079-06-06
1644541484;174932384;689673155;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644541629;174932400;689673180;0;8;50:03:0010322:467;2025-09-29;2025-09-29;2079-06-06
1644541631;174932400;689673180;0;13;467370000010000000840043000002000;2025-09-29;2025-09-29;2079-06-06
1644541802;174932423;689673205;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644634962;174944967;689700611;0;8;50:50:0040401:1225;2025-09-29;2025-09-29;2079-06-06
1644634964;174944967;689700611;0;13;467040000010610063840024000001000;2025-09-29;2025-09-29;2079-06-06
1644750028;174958825;689732787;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644750185;174958842;689732824;0;8;50:03:0010322:409;2025-09-30;2025-09-30;2079-06-06
1644750187;174958842;689732824;0;13;467370000010000000840043000002000;2025-09-30;2025-09-30;2079-06-06
1644750273;174958851;689732846;0;15;3;2025-09-30;2025-09-30;2079-06-06
1644750559;174958886;689732897;0;8;50:03:0010322:512;2025-09-30;2025-09-30;2079-06-06
1644750561;174958886;689732897;0;13;467370000010000000840043000004000;2025-09-30;2025-09-30;2079-06-06
1644750787;174958916;689732954;0;15;5;2025-09-30;2025-09-30;2079-06-06
1644826234;174967896;689752960;0;8;50:48:0030203:7317;2025-09-30;2025-09-30;2079-06-06
1644826236;174967896;689752960;0;13;467640000010000003840044000001000;2025-09-30;2025-09-30;2079-06-06
1644826712;174967948;689753054;0;15;2;2025-09-30;2025-09-30;2079-06-06
1644846000;174969919;689757693;0;8;50:08:0000000:114222;2025-09-30;2025-09-30;2079-06-06
1644846002;174969919;689757693;0;13;467330000010000003640122000001000;2025-09-30;2025-09-30;2079-06-06
1644846603;174970203;689757988;0;15;2;2025-09-30;2025-09-30;2079-06-06
1644846722;174970216;689758019;0;8;50:08:0000000:138254;2025-09-30;2025-09-30;2079-06-06
1644846724;174970216;689758019;0;13;467330000010000003640122000001000;2025-09-30;2025-09-30;2079-06-06
1644846726;174970217;689758020;0;15;2;2025-09-30;2025-09-30;2079-06-06
1644847069;174970246;689758113;0;8;50:08:0000000:114459;2025-09-30;2025-09-30;2079-06-06
1644847071;174970246;689758113;0;13;467330000010000003640122000001000;2025-09-30;2025-09-30;2079-06-06
1644847244;174970254;689758235;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644847246;174970255;689758236;0;8;50:08:0000000:114212;2025-09-30;2025-09-30;2079-06-06
1644847248;174970255;689758236;0;13;467330000010000003640122000002000;2025-09-30;2025-09-30;2079-06-06
1644949834;174982665;689801766;0;15;1;2025-10-01;2025-10-01;2079-06-06
1644949958;174982682;689801788;0;8;50:03:0010322:462;2025-10-01;2025-10-01;2079-06-06
1644949960;174982682;689801788;0;13;467370000010000000840043000002000;2025-10-01;2025-10-01;2079-06-06
1644950018;174982691;689801804;0;15;3;2025-10-01;2025-10-01;2079-06-06
1644950053;174982696;689801810;0;8;50:03:0010322:524;2025-10-01;2025-10-01;2079-06-06
1644950055;174982696;689801810;0;13;467370000010000000840043000004000;2025-10-01;2025-10-01;2079-06-06
1644950270;174982722;689801841;0;15;5;2025-10-01;2025-10-01;2079-06-06
1644969242;174985110;689807529;0;8;50:55:0030902:46;2025-10-01;2025-10-01;2079-06-06
1644969244;174985110;689807529;0;13;467600000010000035440039000001000;2025-10-01;2025-10-01;2079-06-06
