ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
111797683;174924210;d9b51c54-3d9c-44ca-a171-6ff6f402e7cd;689652710;34;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797685;174924212;c1cb07b8-7586-460d-be65-1a4ed89daf70;689652712;32;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797687;174924214;b3a849f6-4fa1-4899-9b1b-fec13154a982;689652714;30;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797689;174924216;e0fb94f5-305d-40dd-92bc-3c2cd5fb395e;689652716;28;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797691;174924218;c6b76ec2-ce6d-4549-a0c7-15d6b52fc45e;689652718;26;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797693;174924220;d892e742-3a58-4d76-a755-25b0023adc7c;689652720;24;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797695;174924222;9d3a546a-2b80-4c6b-874a-3dd3b05bdf9f;689652722;22;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797697;174924224;5140f8b2-f2d3-4f66-b56d-93f17fb16b9c;689652724;20;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797699;174924226;ce390e6c-7ca4-4d48-863a-bae2b1649797;689652726;18;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797701;174924228;411582d5-cb2c-49e1-b828-b289cd939652;689652728;16;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797703;174924230;76697318-0f71-4fb9-a7e6-4e90437a3a57;689652730;14;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797705;174924232;f86ddd7f-34b1-4900-a961-6437cd342de7;689652732;12;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797707;174924234;bf2d1899-057e-4c5e-902a-c91f780d971e;689652734;6;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797709;174924236;98f1318a-17be-46a4-ba04-2101a92ce046;689652736;4;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797711;174924238;90d79436-3226-4a04-bdeb-d9f43180bd8f;689652738;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797713;174924240;ce22ced3-f07b-4078-81c6-5fc6ff13217f;689652740;36;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797715;174924242;e7921c54-788f-406c-933c-b8b63ef8cb3b;689652742;11;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797717;174924244;88b2fbb6-717d-40fe-86cc-636ad0ae1df1;689652744;9;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800530;174930221;be85b489-39f4-42f2-b9fb-3839aab31b04;689669020;6;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803770;174939578;a01b36bd-6f2f-4108-846b-4fa58510c142;689688781;6;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803800;174939626;526b8c09-a122-4390-a7ec-4ccaf3235fe2;689688852;8;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
46056057;77066156;846572a4-c26d-486f-8e35-4ac130b644e8;114629523;19;2;10;0;111811313;2025-09-30;2017-07-13;2025-09-30;0;0
9014468;16384217;377d7957-4db8-49b9-a0de-aca48922fd64;25993796;14;2;10;0;111811432;2025-09-30;2017-12-09;2025-09-30;0;0
111813082;174975212;68d03f95-4e1e-4f1a-b861-c095b64e1993;689787356;14;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
