ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
833440487;42745107;281273085;689790330;8;51:06:0030107:665;2025-10-01;2022-04-15;2025-10-01
1644485782;174924210;689652710;0;15;19;2025-09-29;2025-09-29;2079-06-06
1644485784;174924211;689652711;0;8;51:06:0030111:3131;2025-09-29;2025-09-29;2079-06-06
1644485786;174924211;689652711;0;13;477300000000000003140024002000000;2025-09-29;2025-09-29;2079-06-06
1644485788;174924212;689652712;0;15;21;2025-09-29;2025-09-29;2079-06-06
1644485790;174924213;689652713;0;8;51:06:0030111:3151;2025-09-29;2025-09-29;2079-06-06
1644485792;174924213;689652713;0;13;477300000000000003140024002200000;2025-09-29;2025-09-29;2079-06-06
1644485794;174924214;689652714;0;15;23;2025-09-29;2025-09-29;2079-06-06
1644485796;174924215;689652715;0;8;51:06:0030111:3139;2025-09-29;2025-09-29;2079-06-06
1644485798;174924215;689652715;0;13;477300000000000003140024002400000;2025-09-29;2025-09-29;2079-06-06
1644485800;174924216;689652716;0;15;25;2025-09-29;2025-09-29;2079-06-06
1644485802;174924217;689652717;0;8;51:06:0030111:3149;2025-09-29;2025-09-29;2079-06-06
1644485804;174924217;689652717;0;13;477300000000000003140024002600000;2025-09-29;2025-09-29;2079-06-06
1644485806;174924218;689652718;0;15;27;2025-09-29;2025-09-29;2079-06-06
1644485808;174924219;689652719;0;8;51:06:0030111:3137;2025-09-29;2025-09-29;2079-06-06
1644485810;174924219;689652719;0;13;477300000000000003140024002800000;2025-09-29;2025-09-29;2079-06-06
1644485812;174924220;689652720;0;15;29;2025-09-29;2025-09-29;2079-06-06
1644485814;174924221;689652721;0;8;51:06:0030111:3123;2025-09-29;2025-09-29;2079-06-06
1644485816;174924221;689652721;0;13;477300000000000003140024003000000;2025-09-29;2025-09-29;2079-06-06
1644485818;174924222;689652722;0;15;31;2025-09-29;2025-09-29;2079-06-06
1644485820;174924223;689652723;0;8;51:06:0030111:3143;2025-09-29;2025-09-29;2079-06-06
1644485822;174924223;689652723;0;13;477300000000000003140024003200000;2025-09-29;2025-09-29;2079-06-06
1644485824;174924224;689652724;0;15;33;2025-09-29;2025-09-29;2079-06-06
1644485826;174924225;689652725;0;8;51:06:0030111:3133;2025-09-29;2025-09-29;2079-06-06
1644485828;174924225;689652725;0;13;477300000000000003140024003400000;2025-09-29;2025-09-29;2079-06-06
1644485830;174924226;689652726;0;15;35;2025-09-29;2025-09-29;2079-06-06
1644485832;174924227;689652727;0;8;51:06:0030111:3147;2025-09-29;2025-09-29;2079-06-06
1644485834;174924227;689652727;0;13;477300000000000003140024003600000;2025-09-29;2025-09-29;2079-06-06
1644485836;174924228;689652728;0;15;37;2025-09-29;2025-09-29;2079-06-06
1644485838;174924229;689652729;0;8;51:06:0030111:3129;2025-09-29;2025-09-29;2079-06-06
1644485840;174924229;689652729;0;13;477300000000000003140024003800000;2025-09-29;2025-09-29;2079-06-06
1644485842;174924230;689652730;0;15;39;2025-09-29;2025-09-29;2079-06-06
1644485844;174924231;689652731;0;8;51:06:0030111:3145;2025-09-29;2025-09-29;2079-06-06
1644485846;174924231;689652731;0;13;477300000000000003140024004000000;2025-09-29;2025-09-29;2079-06-06
1644485848;174924232;689652732;0;15;41;2025-09-29;2025-09-29;2079-06-06
1644485850;174924233;689652733;0;8;51:06:0030111:3125;2025-09-29;2025-09-29;2079-06-06
1644485852;174924233;689652733;0;13;477300000000000003140024004200000;2025-09-29;2025-09-29;2079-06-06
1644485854;174924234;689652734;0;15;43;2025-09-29;2025-09-29;2079-06-06
1644485856;174924235;689652735;0;8;51:06:0030111:3119;2025-09-29;2025-09-29;2079-06-06
1644485858;174924235;689652735;0;13;477300000000000003140024004400000;2025-09-29;2025-09-29;2079-06-06
1644485860;174924236;689652736;0;15;45;2025-09-29;2025-09-29;2079-06-06
1644485862;174924237;689652737;0;8;51:06:0030111:3121;2025-09-29;2025-09-29;2079-06-06
1644485864;174924237;689652737;0;13;477300000000000003140024004600000;2025-09-29;2025-09-29;2079-06-06
1644485866;174924238;689652738;0;15;47;2025-09-29;2025-09-29;2079-06-06
1644485868;174924239;689652739;0;8;51:06:0030111:3117;2025-09-29;2025-09-29;2079-06-06
1644485870;174924239;689652739;0;13;477300000000000003140024004800000;2025-09-29;2025-09-29;2079-06-06
1644485872;174924240;689652740;0;15;49;2025-09-29;2025-09-29;2079-06-06
1644485874;174924241;689652741;0;8;51:06:0030111:3127;2025-09-29;2025-09-29;2079-06-06
1644485876;174924241;689652741;0;13;477300000000000003140024005000000;2025-09-29;2025-09-29;2079-06-06
1644485878;174924242;689652742;0;15;51;2025-09-29;2025-09-29;2079-06-06
1644485880;174924243;689652743;0;8;51:06:0030111:3136;2025-09-29;2025-09-29;2079-06-06
