ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
13796443;891470;2464658;689822437;10;52000005011001051;2025-10-01;2017-10-20;2025-10-01
14125157;912352;2522980;689793685;10;52027000074000451;2025-10-01;2014-01-05;2025-10-01
14125141;912352;2522901;689793685;15;0004;2025-10-01;1900-01-01;2025-10-01
1644921309;912352;689793685;0;13;225370002660006000011;2025-10-01;2025-10-01;2079-06-06
1645022460;174992501;689822104;0;2;5248;2025-10-01;2025-10-01;2079-06-06
1645022462;174992501;689822104;0;7;22505000053;2025-10-01;2025-10-01;2079-06-06
1645022483;174992501;689822104;0;15;103;2025-10-01;2025-10-01;2079-06-06
1645022485;174992501;689822104;0;21;22505000;2025-10-01;2025-10-01;2079-06-06
1645023198;897840;689822432;0;10;52000005000067900;2025-10-01;2025-10-01;2079-06-06
1645023199;890417;689822433;0;10;52000005000068000;2025-10-01;2025-10-01;2079-06-06
1645023200;890615;689822434;0;10;52000005000068100;2025-10-01;2025-10-01;2079-06-06
1645023201;890302;689822435;0;10;52000005000068200;2025-10-01;2025-10-01;2079-06-06
1645023202;891198;689822436;0;10;52000005000068300;2025-10-01;2025-10-01;2079-06-06
13798554;891554;2464846;689822438;10;52000005011000251;2025-10-01;1900-01-01;2025-10-01
13816043;892743;2468546;689822439;10;52000005011002351;2025-10-01;2017-10-20;2025-10-01
13826297;893378;2470600;689822440;10;52000005011000651;2025-10-01;1900-01-01;2025-10-01
13825200;893301;2470391;689822441;10;52000005011000551;2025-10-01;2017-10-20;2025-10-01
13838402;894080;2473031;689822442;10;52000005011001351;2025-10-01;2017-10-20;2025-10-01
13839822;894208;2473229;689822443;10;52000005011001651;2025-10-01;1900-01-01;2025-10-01
13843433;894459;2474016;689822444;10;52000005011001251;2025-10-01;2017-10-20;2025-10-01
13852079;894981;2475676;689822445;10;52000005011000751;2025-10-01;1900-01-01;2025-10-01
13866154;895850;2478526;689822446;10;52000005011002151;2025-10-01;1900-01-01;2025-10-01
13869264;896048;2479147;689822447;10;52000005011002451;2025-10-01;1900-01-01;2025-10-01
13869713;896065;2479240;689822448;10;52000005011001151;2025-10-01;2017-10-20;2025-10-01
13870078;896077;2479319;689822449;10;52000005011000851;2025-10-01;2017-10-20;2025-10-01
13871149;896115;2479501;689822450;10;52000005011000451;2025-10-01;2017-10-20;2025-10-01
13876063;896489;2480453;689822451;10;52000005011000351;2025-10-01;1900-01-01;2025-10-01
13892324;897492;2483573;689822452;10;52000005011000951;2025-10-01;1900-01-01;2025-10-01
13889329;897305;2483020;689822453;10;52000005011001851;2025-10-01;2017-10-20;2025-10-01
1645023220;898356;689822454;0;10;52000005000070100;2025-10-01;2025-10-01;2079-06-06
1645023221;162530050;689822455;0;10;52000005000070200;2025-10-01;2025-10-01;2079-06-06
1645023223;897840;689822432;0;13;227120000000661000011;2025-10-01;2025-10-01;2079-06-06
