ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
49115813;82113510;661a9420-db58-43eb-9569-9a68f5812c13;122008253;1;2;10;0;111800836;2025-09-29;2019-01-24;2025-09-29;0;0
8116181;14854287;b4d32768-e1a7-40e8-9c2c-6edf866382a6;23709331;16;2;10;0;111807067;2025-09-30;2019-05-30;2025-09-30;0;0
41933795;70288700;637f201d-47b4-492e-935f-d464377382e5;104733036;1;2;10;0;111814725;2025-10-01;2017-06-06;2025-10-01;0;0
111794790;174915397;f39b2fcc-bc1d-4cde-a7d3-45ec7b4cb24f;689637386;1;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794792;174915399;05b9c853-fbd5-4a2b-b02e-1c8d664feb12;689637388;53;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794794;174915401;2ff74dd2-3583-483f-a38a-ebb53add5d45;689637390;51;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794796;174915403;92d3f194-2e97-4b55-af1b-e34e841515ee;689637392;49;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794798;174915405;ff28cf02-e8d4-42e5-b990-28d8423ccf78;689637394;47;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794800;174915407;097cb75a-cfd0-4d92-97ed-88819ad67c91;689637396;45;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794802;174915409;a0b9ec11-dab5-4632-9562-a6f5702291cd;689637398;41;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794804;174915411;16389b6b-4234-4a79-a308-f9f6fd470ce5;689637400;39;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794806;174915413;4356f5aa-6de1-47ce-8c21-5eeadb40fb2a;689637402;37;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794808;174915415;044d6eb0-46c9-4f5f-ba76-ac1c38f76d07;689637404;35;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794810;174915417;b7303c89-4e01-46bf-9c3e-5ecd4247f2b6;689637406;30;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794812;174915419;a50c81e8-107b-41fa-bfdb-264e8911916d;689637408;28;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794814;174915421;15c1e491-e88b-4964-a017-a9eafc22bb96;689637410;26;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794816;174915423;de0c4b58-0cbc-49f4-9867-ff79f4a3101c;689637412;24;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794818;174915425;ace6f698-cade-4e8e-8caa-646ed74911f3;689637414;22;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794820;174915427;837340ef-dbbc-4402-aaf8-f42011470268;689637416;20;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794822;174915429;dc3422b3-9a7b-4fb0-af40-8d4e4081a11b;689637418;18;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794824;174915431;be074e1b-c165-45e1-bc5e-00b803eaf692;689637420;16;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794826;174915433;47abe3d1-9d3d-412f-844e-6212a35ff344;689637422;14;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794828;174915435;5b1f7f0f-09b9-447e-b4c1-630460bfbce6;689637424;12;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794830;174915437;0f104e02-5b7a-4de9-a534-f7f0e3764163;689637426;10;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794832;174915439;cc2063f5-e29f-4d3f-89c9-8ebe38b324c9;689637428;44;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794834;174915441;e2e363d9-1492-430c-83fe-e8294366c9fb;689637430;34;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794836;174915443;a19885fd-9009-4b94-97c2-48185f8ab9c6;689637432;32;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794838;174915445;762c1bd3-db2d-4b3d-8000-1221b154a34c;689637434;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794840;174915447;68821995-6db7-4ef1-843b-955fbc706d32;689637436;5;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794842;174915449;20583b42-1309-4e8a-a902-f4d96c755834;689637438;3;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794844;174915451;d4c9c3f8-b814-49cb-aced-f9e1892df6eb;689637440;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797810;5698673;9ebe50d8-9d46-45eb-89ba-57ea8900c285;689652941;1;2;55;2597383;129168861;2025-09-29;2025-09-29;2079-06-06;1;0
111797862;15930426;581d8e60-1e39-4bc5-bc32-75e3315593c0;689653027;1;2;55;8744321;129168874;2025-09-29;2025-09-29;2079-06-06;1;0
111803801;7102172;0e85954f-860c-4327-bbf6-e608fd9f18f4;689688858;1;2;30;3455513;0;2025-09-29;2025-09-29;2079-06-06;1;0
105416628;159132119;f2456dd0-3425-4be7-9bc4-56eb450f7f7d;506183618;2;2;10;0;111803802;2025-09-29;2023-06-14;2025-09-29;0;0
7876117;14442961;1400cff5-61e1-482d-b065-115ea2e69e8e;23090935;2;2;10;0;111803817;2025-09-29;2019-03-01;2025-09-29;0;0
53305814;102979528;9a13cd6e-6aec-4637-ba8a-de5fdb7475e1;228400755;1;2;10;0;111804022;2025-09-29;2021-11-22;2025-09-29;0;0
111679721;174602557;4618eb1d-aef5-4c3b-82ba-e3ad642f616b;688949614;2;2;10;0;111804023;2025-09-29;2025-09-12;2025-09-29;0;0
111807067;14854287;b4d32768-e1a7-40e8-9c2c-6edf866382a6;689718391;П16;1;20;8116181;;2025-09-30;2025-09-30;2079-06-06;1;1
111808748;174959317;d530bdb3-b517-4213-8eb5-3f606352be2f;689733877;П4;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111809070;174960280;6e1f12e3-0939-426b-9414-ac881ca512d6;689735462;1;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111810905;174968937;0b1b03e7-6250-4fe8-bc32-071ea0ea052e;689755489;2;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111814725;70288700;637f201d-47b4-492e-935f-d464377382e5;689799099;1;2;55;41933795;129187244;2025-10-01;2025-10-01;2079-06-06;1;0
