CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689636714;174915041;be830856-2d88-4a25-8a91-36380acd11d1;10;27399213;2025-09-29
689637055;174915230;35e89ad6-7385-4443-ab3e-a2286a8959c0;10;27408724;2025-09-29
689637072;174915243;b84c253e-876f-4b13-86cd-52fdfea429fb;10;27408727;2025-09-29
689637085;174915255;ef901c54-5009-45b2-ad65-9d9490ecc920;10;27408732;2025-09-29
689637387;174915398;3c4ab870-4830-4d5c-9e66-b970d8201129;10;27403489;2025-09-29
689637389;174915400;5c3adf6f-5f07-4f70-90d8-f877f41bd5c3;10;27403489;2025-09-29
689637391;174915402;0fe39660-997f-4546-95d5-18e385df7658;10;27403489;2025-09-29
689637393;174915404;bbfeda94-f109-4960-95cf-e3e70b3675ba;10;27403489;2025-09-29
689637395;174915406;35072e63-abe8-4a34-b053-e18c28015ff2;10;27403489;2025-09-29
689637397;174915408;feb435dd-d3ab-4adc-92e8-1ba7013b8cc9;10;27403489;2025-09-29
689637399;174915410;1cf03ed7-ea14-4d6f-99d1-367d84b47ff4;10;27403489;2025-09-29
689637401;174915412;a0703aef-14eb-4c8f-8c4a-25df5e510cc8;10;27403489;2025-09-29
689637403;174915414;9a1a1c20-a143-467a-a53e-af101fe00d43;10;27403489;2025-09-29
689637405;174915416;d37e2b1c-08fa-46fa-8e69-602ab9340512;10;27403489;2025-09-29
689637407;174915418;ba984edc-ae59-4380-b5d6-a7c1ce1937b6;10;27403489;2025-09-29
689637409;174915420;a4e21f68-34ac-4f8b-a0aa-cd793694385b;10;27403489;2025-09-29
689637411;174915422;707eedcb-ae65-4082-b344-7e9845ff4d70;10;27403489;2025-09-29
689637413;174915424;db2664c2-23e1-45c0-8f2d-0289d3eed164;10;27403489;2025-09-29
689637415;174915426;105df2c6-a1b4-484f-ad12-5376f79a7fd4;10;27403489;2025-09-29
689637417;174915428;3bd3f296-28fb-4b05-b077-924f3379a47d;10;27403489;2025-09-29
689637419;174915430;da76dece-e5cd-4038-b022-148735daedd6;10;27403489;2025-09-29
689637421;174915432;87ffdbc0-38b2-410b-aa3c-fc436610d9fd;10;27403489;2025-09-29
689637423;174915434;44e24ea6-855f-4ee0-ac9b-9b15c07b3d4b;10;27403489;2025-09-29
689637425;174915436;3dbc68ed-9e6d-469f-bd44-9330c3caaf13;10;27403489;2025-09-29
689637427;174915438;a4bd8544-6187-4bb8-ae5b-87d16de2a7cb;10;27403489;2025-09-29
689637429;174915440;3389b659-b55b-47ab-b49d-dc6dd438ba82;10;27403489;2025-09-29
689637431;174915442;378f7eed-43a6-431a-9f04-d704ed7537da;10;27403489;2025-09-29
689637433;174915444;68ddc231-7214-4400-b128-d9cb7e63b639;10;27403489;2025-09-29
689637435;174915446;c61ecb72-65d3-4efa-9eae-15d06f6e01c4;10;27403489;2025-09-29
689637437;174915448;7bb902d3-c088-4cdb-94f3-607ddb02d48d;10;27403489;2025-09-29
689637439;174915450;01ba12e6-b388-4b13-90d7-c0c98790511a;10;27403489;2025-09-29
689637461;174915469;199624d9-adb8-4af3-a1c0-364b483010ea;10;27408840;2025-09-29
689637499;174915498;5b0cac2e-4785-4548-b7f6-69c8745281b3;10;27408854;2025-09-29
689637566;174915533;84efd600-dd71-4a22-b0af-0fa1b5d2b8f4;10;27408854;2025-09-29
689638582;95761154;8fb07196-8f48-4bcc-a180-57708abc4bbe;60;27409146;2025-09-29
689638584;174916148;f6678a90-431c-4f24-a0ac-283a579176ff;61;27409146;2025-09-29
689640585;174917256;85f13b07-61d6-4a89-959b-508d1386a012;10;27409473;2025-09-29
689644400;22309107;33e88dcf-1d10-4e76-b84f-e7c0702fd280;20;27410059;2025-09-29
689646413;174920174;8fde509c-e73e-4685-bb80-e6cc96069663;10;27404251;2025-09-29
689646498;174920212;1c9bce14-5f3b-4b82-9876-a360463771a1;10;27410469;2025-09-29
689646566;174920261;1af2de5a-8779-4a7a-b433-f0cecea95160;10;27410497;2025-09-29
689646602;174920283;ac5b3cdb-57a4-4530-992f-ffa8dba1ff7b;10;27410514;2025-09-29
689646704;174920361;0ec9a086-2a01-471d-9959-38c4b0d7085d;10;27410547;2025-09-29
689646762;27787474;aa9285de-be43-45f8-ab24-7e1ee4305227;30;27410558;2025-09-29
689646768;174920389;43b77713-798d-4678-bdf1-4b072116b9a5;10;27410547;2025-09-29
689646792;174920408;96a3b20f-86d2-4b29-adff-924e7c176a0e;10;27410565;2025-09-29
689649306;83604716;45977116-541d-4f59-82ea-e8cd823568c8;30;27410558;2025-09-29
689649309;96537336;8ceff859-cd1f-4d02-a3dc-35aac05a9879;30;27408721;2025-09-29
689649341;96537310;ca4e06b9-fa6d-4daa-a0bc-c895c7aa3ef4;30;27408721;2025-09-29
689649368;95353919;7251103c-7344-42ab-9c89-649a423b9d1b;30;27408721;2025-09-29
689649386;90916604;d9ca3751-6db5-4c3f-9465-621254c93c1e;30;27408721;2025-09-29
689649418;100019036;22ba5c42-1cb0-4e72-966a-406d9f4b00ef;30;27408721;2025-09-29
689649504;174922068;4e447011-e229-4867-9537-93672a68e6fc;10;27410902;2025-09-29
689649958;174922313;170eab58-564e-4d10-9c6e-afad94820eeb;10;27411041;2025-09-29
689652942;174924405;02e0f2fc-c5fc-4c14-8c06-3e0fe3e3ea23;54;27411296;2025-09-29
689653027;15930426;745fadda-3b10-48d7-b69f-f45e4f963308;55;27410842;2025-09-29
689655944;174926211;2b15afbc-6b7d-42ff-972a-bc76cad50aad;10;27411691;2025-09-29
689655946;174926213;34c405a9-e80d-4b1f-b287-33db7ec54a85;10;27411691;2025-09-29
689664289;99403368;64818215-5e19-4d33-a283-fb93f3d04381;30;27408721;2025-09-29
689664632;174928530;926ebd7a-3e3e-4b0c-8afd-117ae8451d98;10;27411691;2025-09-29
689664634;174928532;7fcd52ee-9436-402d-b4d7-f09c12e09bad;10;27411691;2025-09-29
689666014;174928717;a7bce418-fdd5-4297-b261-17ffaa71c688;10;27412177;2025-09-29
689666573;99409474;646346be-c80e-4ec6-9b43-fcba871a2691;30;27408721;2025-09-29
689666867;94162131;e46920f0-142e-4bdc-8f2d-59658efce9c5;30;27408721;2025-09-29
689666888;174929066;842810a3-e4da-44ae-a1ab-47eb5627418d;10;27412262;2025-09-29
689666903;100034130;075ea025-9435-4e85-a76b-670078be7734;30;27408721;2025-09-29
689667177;92684523;cc430a45-1b8f-41d0-82b1-8f4b5a06edb6;30;27408721;2025-09-29
689667201;99409693;3b14b71e-fc8a-475d-8918-f268707c95a7;30;27408721;2025-09-29
689667597;100981651;6ba572c9-7575-4f26-adb9-deacc637c0ac;30;27408721;2025-09-29
689668820;157924345;93c3f2fc-6282-4104-b74e-755d90f22062;24;27412654;2025-09-29
689668822;160356690;9a2405d0-b92f-4878-8ecc-df59a51b4bf5;24;27412654;2025-09-29
689668824;160356692;8b991c44-6f2a-4010-8341-5b5db825f086;24;27412654;2025-09-29
689668826;160356694;adfb7cab-0a5e-428d-bf3c-d19b866c68c7;24;27412654;2025-09-29
689668828;160356696;be20383b-0055-440a-9a09-9bd6e950266b;24;27412654;2025-09-29
689668830;160356698;7c461281-c33e-4077-9424-afde3b72ae78;24;27412654;2025-09-29
689668832;160356700;2a8c9cd4-a17b-40ae-819d-8f7f914e5619;24;27412654;2025-09-29
689668876;100038152;024c96a2-f313-489f-a239-c4a5d7f13d03;30;27408721;2025-09-29
689668974;174930204;358a546e-6586-475c-9253-ed5d37056e68;10;27412708;2025-09-29
689669218;94621863;ff83b818-54c8-4594-ba4e-5d90d0f563bc;30;27408721;2025-09-29
689669320;99409595;982030de-dd6c-42e7-914f-c4863d2ec0d7;30;27408721;2025-09-29
689669358;100035088;0d564216-2442-450b-930e-ab569526f8b3;30;27408721;2025-09-29
689669501;95398322;54bbec0f-d904-488a-8653-7d42caa0c429;50;27412855;2025-09-29
689669626;83060190;34b5be02-0e6a-42d6-a418-177636eefd77;20;27412882;2025-09-29
689669780;174930512;fd9f1c92-ab04-4e3e-82f8-24afcab6df80;10;27412894;2025-09-29
689669886;97933904;9b02d29d-c7ce-441a-b12a-711a7ffc6c11;30;27408721;2025-09-29
689669904;99409284;fd0b6e9c-46b4-4c54-a19f-2bc23fbcc956;30;27408721;2025-09-29
689669961;94001792;338612f4-539c-43a2-a7b2-9bb5e1ea14b7;30;27408721;2025-09-29
689670004;100034168;99101ba4-9079-44a1-b498-531423556006;30;27408721;2025-09-29
689640225;174917100;25f98146-5e2f-4b36-8624-de4af24b1880;10;27403503;2025-09-29
689672469;95061084;57d96a76-e6ca-4e1b-861a-23f7db4c6f1f;30;27408721;2025-09-29
689672698;93738991;6585589a-12ff-43c5-aed2-2a51e0a6e836;30;27408721;2025-09-29
689672763;91995618;90224f37-0406-430b-bf7b-33e0fe38cbff;30;27408721;2025-09-29
689672785;92673864;fce41cf3-7238-4035-856f-2cd36738f0a2;30;27408721;2025-09-29
689672809;92104933;6cbe25c0-40c3-4730-839f-d0179e665511;30;27408721;2025-09-29
689672855;93962098;01a23a87-c33d-4038-bb7e-e0e436a41668;30;27408721;2025-09-29
689673281;92680644;c4c547ce-c768-48f8-b213-084b511a79b8;30;27413541;2025-09-29
689679287;96217982;d838649c-2cc6-4877-98ee-0cfeda661f46;20;27414650;2025-09-29
689686825;92660630;c24c655d-92ea-4045-9167-2d7f68fa55f7;30;27413541;2025-09-29
689686883;169272982;98839f9a-d861-4b6a-80f8-e237bdd4bff8;30;27413541;2025-09-29
689686931;96583828;34c487ff-ac0f-4a43-8a05-3ea8495c149d;30;27413541;2025-09-29
689686993;97271505;0949dd61-841c-4be0-b6c2-8edd49b82b1e;30;27413541;2025-09-29
689687566;174938869;eecce66b-7fda-46be-922d-538a4395d9f9;10;27415749;2025-09-29
689687648;174938918;4220ab32-5529-4326-998d-6ed4600cb44c;10;27415781;2025-09-29
689688301;43998637;e696f5fc-ead6-4a90-83c8-1455493544ad;20;27415951;2025-09-29
689688721;85922014;685ed6bb-a290-49e8-8d1e-f13fd3a12f9a;20;27416064;2025-09-29
689688859;159132119;5b8c4720-5dd4-439a-8cae-43ee74c58ced;30;27416105;2025-09-29
