ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
245671516;96228110;907811;643337638;22528000185;104237283;249653981;2025-09-30;2025-03-27;2025-09-30;0;889307.157689412.907811.96228110
32034960;896489;897840;2480453;22712000001;0;249700268;2025-10-01;1900-01-01;2025-10-01;0;889307.95244792.897840.896489
32042644;25487568;897840;39431592;22712000001;0;249700795;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25487568
32042657;25489551;897840;39434543;22712000001;0;249700797;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25489551
32042731;25490776;897840;39436284;22712000001;0;249700799;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25490776
32042782;25492415;897840;39438650;22712000001;0;249700801;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25492415
32042829;25499176;897840;39448473;22712000001;0;249700807;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25499176
32042884;25500163;897840;39449855;22712000001;0;249700809;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25500163
32042932;25500904;897840;39450834;22712000001;0;249700811;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25500904
32042974;25502628;897840;39453182;22712000001;0;249700813;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25502628
32043125;25497081;897840;39445335;22712000001;0;249700804;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25497081
32043137;25498610;897840;39447605;22712000001;0;249700806;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25498610
32043153;25503375;897840;39454417;22712000001;0;249700815;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25503375
32043212;25507883;897840;39460544;22712000001;0;249700822;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25507883
32043257;25508544;897840;39461482;22712000001;0;249700824;2025-10-01;2019-08-29;2025-10-01;0;889307.95244792.897840.25508544
32043321;25553427;897840;39525560;22712000001;0;249700832;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25553427
32043494;25548583;897840;39519457;22712000001;0;249700829;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25548583
32043556;25549127;897840;39520313;22712000001;0;249700831;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25549127
32043570;25555663;897840;39529011;22712000001;0;249700835;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25555663
32043616;25547763;897840;39518196;22712000001;0;249700826;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25547763
32043631;25548220;897840;39518903;22712000001;0;249700828;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25548220
32043732;25562404;897840;39538575;22712000001;0;249700838;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25562404
32043886;25570453;897840;39551189;22712000001;0;249700844;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25570453
32043893;25574094;897840;39557054;22712000001;0;249700846;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25574094
32043958;25574621;897840;39557845;22712000001;0;249700848;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25574621
32043967;25575184;897840;39558691;22712000001;0;249700850;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25575184
32043977;25576267;897840;39560192;22712000001;0;249700852;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25576267
32043992;25577830;897840;39562095;22712000001;0;249700854;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25577830
32044006;25582045;897840;39568270;22712000001;0;249700860;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25582045
32044054;25582695;897840;39569281;22712000001;0;249700862;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25582695
32044072;25583440;897840;39570467;22712000001;0;249700864;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25583440
32044132;25579569;897840;39564769;22712000001;0;249700856;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25579569
32044177;25581485;897840;39567320;22712000001;0;249700858;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25581485
32044191;25583842;897840;39571150;22712000001;0;249700866;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25583842
32044210;25584224;897840;39571771;22712000001;0;249700868;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25584224
32044224;25585205;897840;39573271;22712000001;0;249700870;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25585205
32044237;25585794;897840;39574217;22712000001;0;249700872;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25585794
32044253;25587153;897840;39576290;22712000001;0;249700874;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25587153
32044313;25587943;897840;39577519;22712000001;0;249700876;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25587943
32044969;25622703;897840;39627853;22712000001;0;249700910;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25622703
32045017;25623758;897840;39629541;22712000001;0;249700912;2025-10-01;2019-08-23;2025-10-01;0;889307.95244792.897840.25623758
