ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
14304566;923975;2553447;689805323;10;5300800025499;2025-10-01;2014-01-05;2079-06-06
14386312;929297;2566427;689805326;10;5300800030599;2025-10-01;2014-01-05;2079-06-06
14478513;935301;2580906;689805328;10;5300800030699;2025-10-01;2014-01-05;2079-06-06
1644497003;174926100;689655781;0;7;49606449;2025-09-29;2025-09-29;2079-06-06
1644497005;174926100;689655781;0;2;5300;2025-09-29;2025-09-29;2079-06-06
1644497007;174926100;689655781;0;15;45;2025-09-29;2025-09-29;2079-06-06
1644497009;174926100;689655781;0;21;49606449;2025-09-29;2025-09-29;2079-06-06
1644753500;174959218;689733644;0;7;49650421;2025-09-30;2025-09-30;2079-06-06
1644753502;174959218;689733644;0;2;5300;2025-09-30;2025-09-30;2079-06-06
1644753504;174959218;689733644;0;15;11;2025-09-30;2025-09-30;2079-06-06
1644753506;174959218;689733644;0;21;49650421;2025-09-30;2025-09-30;2079-06-06
1644757854;174959767;689734685;0;2;5300;2025-09-30;2025-09-30;2079-06-06
1644757856;174959767;689734685;0;7;49606449;2025-09-30;2025-09-30;2079-06-06
1644757858;174959767;689734685;0;15;46;2025-09-30;2025-09-30;2079-06-06
1644757860;174959767;689734685;0;21;49606449;2025-09-30;2025-09-30;2079-06-06
1644758065;174959795;689734723;0;2;5300;2025-09-30;2025-09-30;2079-06-06
1644758067;174959795;689734723;0;7;49606449;2025-09-30;2025-09-30;2079-06-06
1644758069;174959795;689734723;0;15;47;2025-09-30;2025-09-30;2079-06-06
1644758071;174959795;689734723;0;21;49606449;2025-09-30;2025-09-30;2079-06-06
1644758198;174959808;689734770;0;2;5300;2025-09-30;2025-09-30;2079-06-06
1644758200;174959808;689734770;0;7;49606449;2025-09-30;2025-09-30;2079-06-06
1644758202;174959808;689734770;0;15;48;2025-09-30;2025-09-30;2079-06-06
1644758204;174959808;689734770;0;21;49606449;2025-09-30;2025-09-30;2079-06-06
1644758812;174959945;689734954;0;7;49606449;2025-09-30;2025-09-30;2079-06-06
1644758814;174959945;689734954;0;2;5300;2025-09-30;2025-09-30;2079-06-06
1644758816;174959945;689734954;0;15;49;2025-09-30;2025-09-30;2079-06-06
1644758818;174959945;689734954;0;21;49606449;2025-09-30;2025-09-30;2079-06-06
1644789770;174963535;689742647;0;7;49608410;2025-09-30;2025-09-30;2079-06-06
1644789772;174963535;689742647;0;2;5300;2025-09-30;2025-09-30;2079-06-06
1644789774;174963535;689742647;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644789776;174963535;689742647;0;21;49608410;2025-09-30;2025-09-30;2079-06-06
1644941588;174981504;689799636;0;7;49639437;2025-10-01;2025-10-01;2079-06-06
1644941590;174981504;689799636;0;2;5300;2025-10-01;2025-10-01;2079-06-06
1644941671;174981504;689799636;0;15;8;2025-10-01;2025-10-01;2079-06-06
1644941673;174981504;689799636;0;21;49639437;2025-10-01;2025-10-01;2079-06-06
1644941675;174981521;689799674;0;7;49639437;2025-10-01;2025-10-01;2079-06-06
1644941677;174981521;689799674;0;2;5300;2025-10-01;2025-10-01;2079-06-06
1644941723;174981521;689799674;0;15;9;2025-10-01;2025-10-01;2079-06-06
1644941725;174981521;689799674;0;21;49639437;2025-10-01;2025-10-01;2079-06-06
14271635;921911;2547910;689805006;10;5300300029899;2025-10-01;2015-07-09;2079-06-06
14355086;927280;2561586;689805008;10;5300300038099;2025-10-01;2015-07-09;2079-06-06
14373657;928512;2564499;689805055;10;5300600021199;2025-10-01;2015-07-09;2079-06-06
14381142;928960;2565649;689805325;10;5300800030499;2025-10-01;2014-01-05;2079-06-06
14431175;932247;2573313;689805351;10;5300800028699;2025-10-01;2014-01-05;2079-06-06
1644977769;174986043;689809602;0;7;49514000;2025-10-01;2025-10-01;2079-06-06
1644977771;174986043;689809602;0;2;5300;2025-10-01;2025-10-01;2079-06-06
1644977773;174986043;689809602;0;15;46;2025-10-01;2025-10-01;2079-06-06
1644977775;174986043;689809602;0;21;49514000;2025-10-01;2025-10-01;2079-06-06
1645001148;174989696;689815503;0;7;49639437;2025-10-01;2025-10-01;2079-06-06
1645001150;174989696;689815503;0;2;5300;2025-10-01;2025-10-01;2079-06-06
1645001152;174989696;689815503;0;15;10;2025-10-01;2025-10-01;2079-06-06
1645001154;174989696;689815503;0;21;49639437;2025-10-01;2025-10-01;2079-06-06
1645002112;174989778;689815935;0;7;49639437;2025-10-01;2025-10-01;2079-06-06
1645002114;174989778;689815935;0;2;5300;2025-10-01;2025-10-01;2079-06-06
1645002116;174989778;689815935;0;15;11;2025-10-01;2025-10-01;2079-06-06
1645002118;174989778;689815935;0;21;49639437;2025-10-01;2025-10-01;2079-06-06
1645007606;174990524;689817323;0;2;5300;2025-10-01;2025-10-01;2079-06-06
1645007608;174990524;689817323;0;7;49628404;2025-10-01;2025-10-01;2079-06-06
1645007610;174990524;689817323;0;15;3;2025-10-01;2025-10-01;2079-06-06
1645007612;174990524;689817323;0;21;49628404;2025-10-01;2025-10-01;2079-06-06
1645008416;174990631;689817527;0;2;5300;2025-10-01;2025-10-01;2079-06-06
1645008418;174990631;689817527;0;7;49514000;2025-10-01;2025-10-01;2079-06-06
1645008420;174990631;689817527;0;15;47;2025-10-01;2025-10-01;2079-06-06
1645008422;174990631;689817527;0;21;49514000;2025-10-01;2025-10-01;2079-06-06
