ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;AREACODE;CITYCODE;PLACECODE;PLANCODE;STREETCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
243538941;171606059;928063;644192351;53;3;0;334;0;0;0;0;2025-09-30;2025-04-10;2079-06-06;0;925160.925792.928063.171606059
48563993;43019362;927362;64948482;53;;;;;;0;0;2025-09-30;2015-11-16;2079-06-06;0;925160.927723.927780.927362.43019362
48665524;4695428;937058;8734410;53;;;;;;0;0;2025-09-30;2015-11-13;2079-06-06;0;925160.927723.927780.937058.4695428
49970440;51016790;933143;76505031;53;;;;;;0;247071219;2025-09-30;2018-12-14;2025-09-30;0;925160.930581.933143.51016790
50162786;928512;931995;2564433;53;6;0;211;0;0;0;0;2025-10-01;1900-01-01;2079-06-06;0;925160.931995.928512
50308950;28070145;926744;43202749;53;;;;;;0;0;2025-10-01;1900-01-01;2079-06-06;0;925160.932372.926744.28070145
50409364;16298761;934976;25872579;53;;;;;;0;0;2025-10-01;2014-01-04;2079-06-06;0;925160.932372.934976.16298761
243934372;171992533;935408;645387037;53;21;0;3;0;5;0;0;2025-10-01;2025-04-29;2079-06-06;0;925160.935416.930400.935408.171992533
242929163;171057057;34831003;642741665;53;;;;;;0;0;2025-10-01;2025-03-18;2079-06-06;0;925160.932372.927311.930999.34831003.171057057
247012988;166627798;174880236;689608606;53;6;0;116;0;2;237118243;0;2025-09-29;2025-09-26;2079-06-06;0;925160.931995.933050.174880236.166627798
247029302;174916603;931708;689639158;53;4;0;60;0;8;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.924292.932819.931708.174916603
247029304;174916605;931708;689639160;53;4;0;60;0;8;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.924292.932819.931708.174916605
247029306;174916607;931708;689639162;53;4;0;60;0;8;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.924292.932819.931708.174916607
247029472;174916773;935753;689639481;53;17;1;0;307;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.930581.930606.935753.174916773
247029478;174916779;931715;689639487;53;17;1;0;322;328;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.930581.930606.937103.931715.174916779
247029479;174916780;927807;689639488;53;17;1;0;359;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.930581.930606.927807.174916780
