ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
61365244;34058895;8ced13fe-b34e-4b68-bdf3-15a8f4398c72;51874144;30;2;20;20251318;129182760;2025-09-30;2016-08-08;2025-09-30;0;0
61430166;1568394;8ddbf8c7-504c-4e20-9d54-5dd0285c2bc3;4225114;4;2;20;75310;129176707;2025-09-30;2016-08-08;2025-09-30;0;0
62927375;52357335;a2f7c5d3-5da0-4b27-8e09-93abb2365d62;78449501;4;2;20;31289774;129180859;2025-09-30;2016-08-26;2025-09-30;0;0
67156278;5118427;deb2667c-6e82-471a-b731-b51d4febc16f;9370374;19;2;20;2198946;129171563;2025-09-29;2019-12-07;2025-09-29;0;0
9442770;16586779;4f2bb3b2-d210-4df6-9dfb-20c86d66af19;26284218;53;2;10;0;129187503;2025-10-01;2014-01-04;2025-10-01;0;0
16530043;27822489;fb210a82-1545-43c3-9208-f12a45970a95;42855143;9;2;20;16529745;129187496;2025-10-01;2019-06-28;2025-10-01;0;0
16698419;28127308;0f9214cf-f630-43ca-985c-1693da2a396e;43285444;53;2;10;0;129187500;2025-10-01;1900-01-01;2025-10-01;0;0
16701998;28132574;c4ab4e54-2b64-4dfb-999e-6621d3fd0825;43293410;6;2;10;0;129187502;2025-10-01;1900-01-01;2025-10-01;0;0
23183516;38790598;05706fd6-e449-4ead-a124-a48bea131d35;58795574;4;2;10;0;129169325;2025-09-29;2015-07-30;2025-09-29;0;0
25696550;43019362;3c7908dc-3cd4-440a-87eb-36d91149d3a4;64948482;27;2;10;0;129176743;2025-09-30;2015-11-16;2025-09-30;0;0
41068722;68153474;b507053c-a4a5-4460-b3f1-0793e36b536f;101593779;29;2;10;0;129190071;2025-10-01;2017-12-21;2025-10-01;0;0
56046331;70935593;41df86f3-6d91-430d-9a62-f15a33b05b76;105678211;2;2;20;42784230;129183089;2025-09-30;2016-08-08;2025-09-30;0;0
52804225;37942324;1419c7fd-b731-4f2f-a12f-148b575eefdb;57535453;30;2;20;22637907;129173286;2025-09-29;2019-12-07;2025-09-29;0;0
53513604;81563674;1e1c5f8f-f71b-4462-9d36-1080ab54a5c3;121194719;110;2;20;49354222;129174716;2025-09-29;2018-07-25;2025-09-29;0;0
129166209;174916775;888b65d0-5363-4637-9df6-23d4607c67c3;689639483;483;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166212;174916779;8e74f7a0-74d7-4b34-a000-6670e8c8b14e;689639487;243;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
