ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1330717113;43066764;461388477;689674911;3;5331;2025-09-29;2022-11-07;2025-09-29
1398701363;83871080;507739407;689691927;8;53:07:0000000:3192;2025-09-29;2023-08-08;2025-09-29
227428785;39257634;59480935;689798544;8;53:20:0802702:168;2025-10-01;2018-09-04;2025-10-01
1385379287;14292779;501950681;689674919;3;5331;2025-09-29;2023-05-17;2025-09-29
1385379289;14292779;501950681;689674919;8;53:14:0100114:98;2025-09-29;2023-05-17;2025-09-29
758724494;60473107;218962274;689757212;8;53:20:0000000:435;2025-09-30;2021-10-04;2025-09-30
1395586567;32628473;506261276;689820101;3;5331;2025-10-01;2023-06-19;2025-10-01
1492567341;17832843;580514825;689757248;8;53:20:0701202:175;2025-09-30;2023-12-28;2025-09-30
1609664065;172064676;645530508;689788306;8;53:05:0131101:196;2025-10-01;2025-05-05;2025-10-01
1635801059;173821160;656573436;689753359;8;53:08:0010246:131;2025-09-30;2025-08-05;2025-09-30
1644430924;174916773;689639481;0;2;5300;2025-09-29;2025-09-29;2079-06-06
1644430926;174916773;689639481;0;7;49639101001;2025-09-29;2025-09-29;2079-06-06
1644430928;174916773;689639481;0;15;395;2025-09-29;2025-09-29;2079-06-06
1644430930;174916773;689639481;0;21;49639101;2025-09-29;2025-09-29;2079-06-06
1644430940;174916775;689639483;0;2;5300;2025-09-29;2025-09-29;2079-06-06
1644430942;174916775;689639483;0;7;49639101001;2025-09-29;2025-09-29;2079-06-06
1644430944;174916775;689639483;0;15;40;2025-09-29;2025-09-29;2079-06-06
1644430946;174916775;689639483;0;21;49639101;2025-09-29;2025-09-29;2079-06-06
1644430972;174916779;689639487;0;2;5300;2025-09-29;2025-09-29;2079-06-06
1644430974;174916779;689639487;0;7;49639101001;2025-09-29;2025-09-29;2079-06-06
1644430976;174916779;689639487;0;15;65;2025-09-29;2025-09-29;2079-06-06
1644430978;174916779;689639487;0;21;49639101;2025-09-29;2025-09-29;2079-06-06
1644430948;174916776;689639484;0;2;5300;2025-09-29;2025-09-29;2079-06-06
1644430950;174916776;689639484;0;7;49639101001;2025-09-29;2025-09-29;2079-06-06
1644430952;174916776;689639484;0;15;64;2025-09-29;2025-09-29;2079-06-06
1644430954;174916776;689639484;0;21;49639101;2025-09-29;2025-09-29;2079-06-06
1644430980;174916780;689639488;0;2;5300;2025-09-29;2025-09-29;2079-06-06
1644430982;174916780;689639488;0;7;49639101001;2025-09-29;2025-09-29;2079-06-06
1644430984;174916780;689639488;0;15;53;2025-09-29;2025-09-29;2079-06-06
1644430986;174916780;689639488;0;21;49639101;2025-09-29;2025-09-29;2079-06-06
1644431044;174916788;689639496;0;2;5300;2025-09-29;2025-09-29;2079-06-06
1644431046;174916788;689639496;0;7;49639101001;2025-09-29;2025-09-29;2079-06-06
1644431048;174916788;689639496;0;15;42;2025-09-29;2025-09-29;2079-06-06
1644431003;174916783;689639491;0;1;5300;2025-09-29;2025-09-29;2079-06-06
1644431005;174916783;689639491;0;6;49413000000;2025-09-29;2025-09-29;2079-06-06
1644431007;174916783;689639491;0;8;53:24:0030201:1474;2025-09-29;2025-09-29;2079-06-06
1644431009;174916783;689639491;0;13;496391010010322032420053000000000;2025-09-29;2025-09-29;2079-06-06
1644431019;174916785;689639493;0;1;5300;2025-09-29;2025-09-29;2079-06-06
1644431021;174916785;689639493;0;6;49413000000;2025-09-29;2025-09-29;2079-06-06
