ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
249592778;174919641;95244804;689645624;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174919641
249594574;174921295;95244804;689648378;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921295
249594578;174921299;95244804;689648382;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921299
249594581;174921302;95244804;689648385;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921302
249594583;174921304;95244804;689648387;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921304
249594585;174921306;95244804;689648389;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921306
249594587;174921308;95244804;689648391;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921308
249594589;174921310;95244804;689648393;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921310
249594593;174921314;95244804;689648397;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921314
249594595;174921316;95244804;689648399;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921316
249594597;174921318;95244804;689648401;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921318
249594599;174921320;95244804;689648403;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921320
249594601;174921322;95244804;689648405;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921322
249594603;174921324;95244804;689648407;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921324
249594605;174921326;95244804;689648409;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921326
249594607;174921328;95244804;689648411;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921328
249594609;174921330;95244804;689648413;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921330
249594611;174921332;95244804;689648415;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921332
249594613;174921334;95244804;689648417;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921334
249594615;174921336;95244804;689648419;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921336
249594617;174921338;95244804;689648421;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921338
249594619;174921340;95244804;689648423;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921340
249594621;174921342;95244804;689648425;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921342
249594623;174921344;95244804;689648427;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921344
249594625;174921346;95244804;689648429;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921346
249594627;174921348;95244804;689648431;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921348
249594629;174921350;95244804;689648433;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921350
249594631;174921352;95244804;689648435;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921352
249594633;174921354;95244804;689648437;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921354
249594635;174921356;95244804;689648439;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921356
249594637;174921358;95244804;689648441;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921358
249594639;174921360;95244804;689648443;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921360
249594641;174921362;95244804;689648445;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921362
249594643;174921364;95244804;689648447;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921364
249594645;174921366;95244804;689648449;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921366
249594647;174921368;95244804;689648451;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921368
249594649;174921370;95244804;689648453;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921370
249594651;174921372;95244804;689648455;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921372
249594653;174921374;95244804;689648457;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921374
249594655;174921376;95244804;689648459;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921376
249594657;174921378;95244804;689648461;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921378
249594659;174921380;95244804;689648463;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921380
249594661;174921382;95244804;689648465;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921382
249594663;174921384;95244804;689648467;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921384
249594665;174921386;95244804;689648469;49655151;0;0;2025-09-29;2025-09-29;2079-06-06;1;925160.95244803.95244804.174921386
