ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;ROOMTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
50687560;174918217;558cda18-94c2-44cb-b78e-585110c7eca1;689643308;37;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687563;174918221;73508cc0-fbac-4d02-970e-c95822fbcddf;689643312;40;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687567;174918225;d0f3cc1b-040b-418f-9ab1-ddea8e5e68dd;689643316;16;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687574;174919095;0dbbea18-e458-49f9-bc7f-5d7548c42014;689644943;3;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687562;174918220;4a7e62ee-663b-4071-98d3-fd89936a0d21;689643311;6;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687566;174918224;922f0dcf-4f04-4177-8f71-f9abdecfacee;689643315;21;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687576;174919645;f3740c07-e5f7-4288-a819-0654081f3e50;689645628;56;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687577;174919648;534a70ff-9dc4-456c-a0d1-415d8ed83491;689645631;48;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687579;174919652;1c8d249d-bafd-4c4b-8175-3a963b8e25ae;689645635;60;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687639;174949542;40ad1930-549e-44ab-a0a8-e8958678bda9;689709298;41;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687662;174955125;ee7ef7e1-e61b-4e4c-af81-04beed62ea09;689723081;2;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687667;174955143;0e4929f5-e485-4135-9bc8-1516c0345ad1;689723103;4;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687671;174955176;fcdbbe68-2379-43a2-b04b-c8d346ce8f08;689723206;74;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687668;174955154;835b6568-311b-4b45-b8c9-b625f4a8f548;689723118;1;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687672;174955180;44d2afe9-2146-443d-af7b-94891cf0846c;689723211;75;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687674;174955211;fb118191-b43c-46a4-97f7-628e30c11bb3;689723247;29;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687678;174958108;1ec51444-2ff1-45a9-ba2c-81d3315eb9f7;689730217;67;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687681;174958220;5bb09c59-461b-41b3-8eaa-a5b0fc4e8df7;689730477;26;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687679;174958132;4ce3a2e0-42e5-4d04-9bf2-bae4195bbe16;689730338;63;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687726;174967770;81bd941c-f312-4cc8-890f-6e0be02f6b51;689752732;4;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687738;174968782;d4d6ecb5-40bc-4d1f-bbca-2d7e400b48a9;689755259;3;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687768;174978441;a29b6297-9501-4d4a-a253-41cbc10b8dda;689793145;7;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687779;174982075;80044787-f0d7-48cc-ab1f-ba84c3d05304;689800863;2;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687793;174982217;53c154bd-33ab-4ebe-ac26-d33e7a7f2043;689801057;3;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687795;174982219;789b9208-6a25-419b-a013-908cdceb8931;689801059;2;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
