ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
72374823;171550052;4f431d97-8ae5-491e-a08f-e489152ec4d0;644060374;20/1;10;0;74190821;2025-09-30;2025-04-08;2025-09-30;0;0
72623087;171992533;c7fd597b-aceb-446b-b266-9bfc8efe665d;645387037;17;10;0;74199602;2025-10-01;2025-04-29;2025-10-01;0;0
74158357;166627798;d592272d-c5fd-4ad2-ae99-6fc594c8b8d5;689608606;1;50;69561434;74174173;2025-09-29;2025-09-26;2025-09-29;0;0
74166912;174916602;f90436ef-8914-4972-8354-4fbab5e83b16;689639157;25г;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166914;174916604;35414ccb-dbec-480c-ab2d-05566e65a3ad;689639159;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166916;174916606;8b66af8f-2d08-41b6-8414-be5f502041bc;689639161;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166918;174916608;b6d95321-3ea8-4807-8424-bf4b0a666bf3;689639163;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167089;174916806;7ff5d9fb-5d55-4d16-b991-4af157774f69;689639516;4б;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167091;174916808;47ad1832-9c7b-4a62-8425-869ee3ee2c3f;689639518;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167093;174916810;70be1eb5-d620-47d9-afe7-daf1e4a3a2a3;689639520;4а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167095;174916812;38e406b8-2aee-44b0-ad87-3605451b2b96;689639522;9а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167106;174916823;74aa2bb7-b1fd-486a-8ef2-a37deae794a2;689639533;17а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167108;174916825;a609897e-d678-4366-b6c3-d2067c6946fd;689639535;20;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167110;174916827;4b74d026-a409-4d15-b2a1-3271daab1433;689639537;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167112;174916829;63e10390-af32-41c3-ab15-fc29ecba4dba;689639539;30;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167114;174916831;ee16d15b-8335-41bb-92e6-f2bb0ec67b1d;689639541;18а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167116;174916833;2d8899e6-983f-4216-83a2-15b3ec62ea3f;689639543;17;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167118;174916835;64efae56-913f-43c7-902b-36df5e4ff05e;689639545;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167120;174916837;fdc008af-adfe-46bf-b33c-c3b6e28f2b25;689639547;1а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167122;174916839;c3b72f24-a7b3-4790-a4d0-7a50776737ea;689639549;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167124;174916841;97b52d81-69ba-471f-aca3-0b1ed99adb0e;689639551;23;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167126;174916843;4204e64f-3098-4f35-8b32-70ff730c8cdd;689639553;14;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167136;174916856;21c347e4-d066-4be7-a024-d992abefa971;689639622;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167138;174916858;e0862c81-80c7-4f77-bfd6-a3f38b2df276;689639624;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167140;174916860;9a23d1a5-6c56-4556-8c11-9d5d8201ef8c;689639626;14;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167088;174916805;6a15dfb1-3cf8-4630-bbee-ecacfe74c7b7;689639515;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167097;174916814;0c032537-fc82-464e-91dc-5b657ae857e9;689639524;4а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167099;174916816;e803dd4f-c545-4620-bf77-95e7548d1f3b;689639526;15;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167101;174916818;4b4b36cb-5ded-4a11-ab31-7dfa4e990a74;689639528;11;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167103;174916820;30b1a89b-e999-4a31-b4e0-ef38dfe517c8;689639530;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167127;174916844;442c2145-bc58-4d61-9efe-fbaf976e01f7;689639554;14а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167131;174916851;f0755e91-1d62-4673-9921-fae3c391ace8;689639617;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167133;174916853;8949edc8-c0a2-44a9-bd7d-6f77b10c6f31;689639619;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167815;174918164;b39121cf-5712-441d-8066-ed27f571f2a3;689643255;13Г;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167818;174918168;ea400575-035e-4f54-9bdd-5518cc88c2f0;689643259;27Г;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167800;174918149;5d0b662c-4350-48b8-bdc8-3916f73e1ea8;689643240;204;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167802;174918151;90ab195a-45ae-4e22-984e-5e406320c534;689643242;142;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167804;174918153;e76e85cd-fcaf-4f4f-b0bb-658f770ea3e4;689643244;86Г;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167806;174918155;99b71306-b57d-48c3-8e71-c281d278206e;689643246;207;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167808;174918157;8924931c-77f6-4187-8468-1dc51ad4ee8c;689643248;48;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167810;174918159;e7f6cd64-53a2-4519-b8b2-fac58d6c058e;689643250;174;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167812;174918161;f530f60a-e26d-4f2e-8adf-7a3bf367e22e;689643252;480Г;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167814;174918163;db35bebd-a9b9-4e31-ba49-e04478a262d6;689643254;473;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167820;174918173;519b9e27-0ad8-4a60-a932-aa9ef2e0306f;689643264;64А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167826;174918183;261da3bf-f568-41ba-be87-999d77333ca6;689643274;22Г;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167833;174918197;f378d781-4366-47b7-87e0-38d25f3208e9;689643288;14ГСК;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167837;174918201;d5a64377-adc9-4133-b99c-41055fe67d92;689643292;177;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167821;174918174;03edf0be-08d4-4092-b064-50718eac75ed;689643265;44;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167823;174918178;66a9338f-1769-4ca0-b075-49716ddb1c61;689643269;9Г;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167827;174918184;96b94d07-d546-4337-aa58-f0b06ce934b7;689643275;38;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167829;174918188;40fdef2d-7827-49bd-96b0-dcd1b33142c9;689643279;19Г;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167832;174918196;047b9118-c172-4964-914d-96a72e6072e3;689643287;6Г;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167836;174918200;e4ae86f6-28fb-46fe-9b04-ecb2b6f10e04;689643291;201;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167842;174918208;92812d57-d5e9-4992-889a-511bba3dd392;689643299;19;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167858;174918242;2dff067d-7de8-49c2-87ac-6647510c15d9;689643354;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
