ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1632953367;173475878;655669959;689797379;8;54:03:000000:1111;2025-10-01;2025-07-18;2025-10-01
1644383795;174910369;689625034;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644383797;174910370;689625035;0;8;54:35:072815:746;2025-09-29;2025-09-29;2079-06-06
1644383799;174910370;689625035;0;13;507010000010000060740120000200000;2025-09-29;2025-09-29;2079-06-06
1644383801;174910371;689625036;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644383803;174910372;689625037;0;8;54:35:072815:744;2025-09-29;2025-09-29;2079-06-06
1644383805;174910372;689625037;0;13;507010000010000060740120000400000;2025-09-29;2025-09-29;2079-06-06
1644383807;174910373;689625038;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644383809;174910374;689625039;0;8;54:35:072815:742;2025-09-29;2025-09-29;2079-06-06
1644383811;174910374;689625039;0;13;507010000010000060740120000600000;2025-09-29;2025-09-29;2079-06-06
1644383813;174910375;689625040;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644383815;174910376;689625041;0;8;54:35:072815:739;2025-09-29;2025-09-29;2079-06-06
1644383817;174910376;689625041;0;13;507010000010000060740120000800000;2025-09-29;2025-09-29;2079-06-06
1644383819;174910377;689625042;0;15;9;2025-09-29;2025-09-29;2079-06-06
1644383821;174910378;689625043;0;8;54:35:072815:737;2025-09-29;2025-09-29;2079-06-06
1644383823;174910378;689625043;0;13;507010000010000060740120001000000;2025-09-29;2025-09-29;2079-06-06
1644383615;174910315;689624917;0;15;131;2025-09-29;2025-09-29;2079-06-06
1644383617;174910316;689624918;0;8;54:35:071135:548;2025-09-29;2025-09-29;2079-06-06
1644383619;174910316;689624918;0;13;507010000000000012240175013200000;2025-09-29;2025-09-29;2079-06-06
1644383621;174910317;689624919;0;15;133;2025-09-29;2025-09-29;2079-06-06
1644383623;174910318;689624920;0;8;54:35:071135:529;2025-09-29;2025-09-29;2079-06-06
1644383625;174910318;689624920;0;13;507010000000000012240175013400000;2025-09-29;2025-09-29;2079-06-06
1644383627;174910319;689624921;0;15;135;2025-09-29;2025-09-29;2079-06-06
1644383629;174910320;689624922;0;8;54:35:071135:511;2025-09-29;2025-09-29;2079-06-06
1644383631;174910320;689624922;0;13;507010000000000012240175013600000;2025-09-29;2025-09-29;2079-06-06
1644383633;174910321;689624923;0;15;137;2025-09-29;2025-09-29;2079-06-06
1644383635;174910322;689624924;0;8;54:35:071135:507;2025-09-29;2025-09-29;2079-06-06
1644383637;174910322;689624924;0;13;507010000000000012240175013800000;2025-09-29;2025-09-29;2079-06-06
1644383639;174910323;689624925;0;15;139;2025-09-29;2025-09-29;2079-06-06
1644383641;174910324;689624926;0;8;54:35:071135:487;2025-09-29;2025-09-29;2079-06-06
1644383643;174910324;689624926;0;13;507010000000000012240175014000000;2025-09-29;2025-09-29;2079-06-06
1644383645;174910325;689624927;0;15;141;2025-09-29;2025-09-29;2079-06-06
1644383647;174910326;689624928;0;8;54:35:071135:468;2025-09-29;2025-09-29;2079-06-06
1644383649;174910326;689624928;0;13;507010000000000012240175014200000;2025-09-29;2025-09-29;2079-06-06
1644383651;174910327;689624929;0;15;143;2025-09-29;2025-09-29;2079-06-06
1644383653;174910328;689624930;0;8;54:35:071135:1979;2025-09-29;2025-09-29;2079-06-06
1644383655;174910328;689624930;0;13;507010000000000012240175014400000;2025-09-29;2025-09-29;2079-06-06
1644383657;174910329;689624931;0;15;145;2025-09-29;2025-09-29;2079-06-06
1644383659;174910330;689624932;0;8;54:35:071135:450;2025-09-29;2025-09-29;2079-06-06
1644383661;174910330;689624932;0;13;507010000000000012240175014600000;2025-09-29;2025-09-29;2079-06-06
1644383663;174910331;689624933;0;15;147;2025-09-29;2025-09-29;2079-06-06
1644383665;174910332;689624934;0;8;54:35:071135:447;2025-09-29;2025-09-29;2079-06-06
1644383667;174910332;689624934;0;13;507010000000000012240175014800000;2025-09-29;2025-09-29;2079-06-06
1644383669;174910333;689624935;0;15;149;2025-09-29;2025-09-29;2079-06-06
1644383671;174910334;689624936;0;8;54:35:071135:586;2025-09-29;2025-09-29;2079-06-06
1644383673;174910334;689624936;0;13;507010000000000012240175015000000;2025-09-29;2025-09-29;2079-06-06
1644383675;174910335;689624937;0;15;151;2025-09-29;2025-09-29;2079-06-06
