CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689638976;174916435;16e8e0ed-184c-4b7c-a660-221896e239d5;10;27409206;2025-09-29
689638978;174916437;cf30ccbb-4ddd-4386-85ea-f8a2a60a4a23;10;27409206;2025-09-29
689638980;174916439;e82ab1a2-05b8-4a61-8a85-814360c6ec32;10;27409206;2025-09-29
689638982;174916441;5cc869d1-efb8-4056-8681-a2a5ca33189e;10;27409206;2025-09-29
689638984;174916443;4784ff6b-0f82-4e93-acce-fdc266a5788e;10;27409206;2025-09-29
689638986;174916445;aa3e78cf-2d10-4f38-9923-4b006929d626;10;27409206;2025-09-29
689623442;174909293;db5dae0c-23be-4b4f-b64d-071a8ac3d337;10;27406566;2025-09-29
689623448;174909299;99835255-93ff-45b4-a86b-9b5ccd3f4b31;10;27400123;2025-09-29
689623450;174909301;213af2f4-a180-4c76-85ca-5a103eb32607;10;27400123;2025-09-29
689623444;174909295;99f3c7d1-eb63-4212-b823-11ede6a2ca32;10;27406566;2025-09-29
689623446;174909297;df0c6e98-ea11-465f-928a-7038c2cde801;10;27406566;2025-09-29
689623452;174909303;3d4ec806-9294-438e-9fbf-99c9e4fc36f6;10;27400123;2025-09-29
689623966;174909715;1df40003-d9ef-426d-b583-343b56187855;10;27406675;2025-09-29
689623970;174909719;2ab9c0c5-f7d1-47d1-adcc-a1178a825b7c;10;27406676;2025-09-29
689623987;174909736;57be980f-da98-4e53-8d39-f473ed2c3858;10;27406677;2025-09-29
689623967;174909716;62750cb4-024f-44b6-8635-dd6f05635f05;10;27406676;2025-09-29
689624004;174909753;e03c5da2-abf7-4e31-a8da-826e3e3a12ba;10;27406677;2025-09-29
689624006;174909755;488edbc5-b4a5-4635-a407-0ae4aac4ecf2;10;27406677;2025-09-29
689624008;174909757;dec77775-f870-4f51-ba9a-4511113e7e75;10;27406677;2025-09-29
689623989;174909738;edafcc21-7b42-48df-aa5e-5004d686d941;10;27406677;2025-09-29
689623991;174909740;02ffc50f-84ae-4a2f-850e-5290b532dee4;10;27406677;2025-09-29
689623993;174909742;09358371-29f3-4529-9120-d070f9ddf965;10;27406677;2025-09-29
689623995;174909744;9438adc6-7c43-41ff-bd0d-682289cfad30;10;27406677;2025-09-29
689623997;174909746;39892ad9-b74b-4cfd-a814-746d7b68e2ef;10;27406677;2025-09-29
689624000;174909749;01e5dd1c-7cbe-4838-bca9-6d2e3672d405;10;27406677;2025-09-29
689624002;174909751;f0f2d9ce-a113-4e32-9354-fb98cd701b94;10;27406677;2025-09-29
689624021;174909770;7054c442-b03f-4df4-96c7-a5c42122751e;10;27406677;2025-09-29
689624011;174909760;d048feb7-f45c-4374-88ac-91dc6ba5a787;10;27406677;2025-09-29
689624013;174909762;88dae998-16ea-4a0c-b7f7-e0256e03a2c3;10;27406677;2025-09-29
689624015;174909764;62fe968b-c916-4ccc-adb0-82260a5b67b3;10;27406677;2025-09-29
689624017;174909766;82b3a5af-6fb5-4b2e-a0f7-cd1f2007c90f;10;27406677;2025-09-29
689624036;174909785;f997e664-6277-4b0a-9585-b5390be62c38;10;27406677;2025-09-29
689624047;174909796;1e18a2f6-91b5-4f07-a26d-fe193fa1c94c;10;27406677;2025-09-29
689624037;174909786;7e6046a8-3bca-44d9-b5e1-e083424e25aa;10;27406682;2025-09-29
689624039;174909788;6f2c6a3f-4452-4fc0-97aa-5f44a6b8347d;10;27406682;2025-09-29
689624041;174909790;c4265ef6-fadd-453f-afdf-2eec89e12f25;10;27406682;2025-09-29
689624043;174909792;bab992b9-5736-4bbf-9e5f-f82073f93326;10;27406682;2025-09-29
689624045;174909794;352f6e41-27fb-459c-a1e7-c3c221d82c0e;10;27406682;2025-09-29
689624064;174909811;7bc319f4-eb98-4338-bb7e-8903bf130e26;10;27406677;2025-09-29
689624068;174909813;30d94f85-18dc-40fa-b619-0b5299380a01;10;27406682;2025-09-29
689624070;174909815;102692b7-6ff5-4378-9c0d-2af709d523b0;10;27406682;2025-09-29
689624072;174909817;7566245b-227f-4715-a819-aa6aa28e8146;10;27406682;2025-09-29
689624074;174909819;17e923e7-ac59-49e6-aa7e-ae5ec22463d3;10;27406682;2025-09-29
