ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
45058009;61464332;61463232;91777932;55;0;0;2025-09-29;2018-08-27;2079-06-06;0;958105.956603.957113.958042.61463232.61464332
45060233;27194936;27192979;41944298;55;0;0;2025-10-01;2018-08-27;2079-06-06;0;958105.956603.957113.959064.27192979.27194936
45060246;27194987;27192979;41944386;55;0;0;2025-10-01;2018-08-27;2079-06-06;0;958105.956603.957113.959064.27192979.27194987
45060712;27233207;27224536;41998885;55;0;0;2025-10-01;2018-08-27;2079-06-06;0;958105.956603.957113.959064.27224536.27233207
45060698;27224536;959064;41986556;55;0;0;2025-10-01;1900-01-01;2079-06-06;0;958105.956603.957113.959064.27224536
45785793;73573297;956418;109530615;55;0;0;2025-09-30;1900-01-01;2079-06-06;0;958105.958109.959308.956418.73573297
45789073;45407041;45405774;68400123;55;0;0;2025-09-30;2017-04-12;2079-06-06;0;958105.958109.959308.957165.45405774.45407041
45791921;51888451;958899;77762944;55;0;0;2025-09-30;1900-01-01;2079-06-06;0;958105.958109.959308.958899.51888451
45793258;35291847;35290257;53641815;55;0;0;2025-09-30;2017-04-10;2079-06-06;0;958105.958109.959308.959843.35290257.35291847
45794718;49961314;960530;75007368;55;0;0;2025-09-30;1900-01-01;2079-06-06;0;958105.958109.959308.960530.49961314
45800300;53059274;53057868;79449240;55;0;0;2025-09-30;2017-04-05;2079-06-06;0;958105.958109.959308.959679.53057868.53059274
45810369;49751083;963104;74703043;55;0;0;2025-09-30;2015-11-12;2079-06-06;0;958105.958109.959308.963104.49751083
45819944;66054291;66053908;98518431;55;0;0;2025-09-30;2017-04-11;2079-06-06;0;958105.958109.959308.963199.66053908.66054291
45822098;22806668;22805641;35508307;55;0;0;2025-09-30;2017-04-10;2079-06-06;0;958105.958109.959308.964582.22805641.22806668
45823193;39013901;965012;59129983;55;0;0;2025-09-30;1900-01-01;2079-06-06;0;958105.958109.959308.965012.39013901
45823721;39106540;965012;59266011;55;0;0;2025-09-30;1900-01-01;2079-06-06;0;958105.958109.959308.965012.39106540
50437916;50939428;957885;76398828;55;0;0;2025-09-29;1900-01-01;2079-06-06;0;958105.958142.957885.50939428
57782854;7833411;7832955;13345606;55;0;0;2025-10-01;2010-01-18;2079-06-06;0;958105.958916.959003.958129.7832955.7833411
57800377;6578339;961524;11505910;55;0;0;2025-09-30;2006-01-01;2079-06-06;0;958105.958916.959003.961524.6578339
57849254;77996241;963267;115960855;55;0;0;2025-10-01;2017-12-19;2079-06-06;0;958105.958916.959003.963267.77996241
57874693;38240733;964664;57980034;55;0;0;2025-10-01;2006-01-01;2079-06-06;0;958105.958916.959003.964664.38240733
57884349;39854999;963742;60353624;55;0;0;2025-09-30;2006-01-01;2079-06-06;0;958105.958916.959003.963742.39854999
57936875;45135203;961231;68003255;55;0;0;2025-09-29;1900-01-01;2079-06-06;0;958105.958916.960515.961231.45135203
58307719;75412218;959926;112194774;55;0;0;2025-09-29;2012-02-02;2079-06-06;0;958105.963629.958465.959926.75412218
58986086;68576920;68576066;102224328;55;0;0;2025-10-01;2017-05-25;2079-06-06;0;958105.964650.966609.969854.68576066.68576920
59198421;70968006;70966377;105725874;55;0;0;2025-09-29;2019-03-11;2079-06-06;0;958105.964650.968668.967527.70966377.70968006
59994682;43009496;959993;64935227;55;0;0;2025-09-30;1900-01-01;2079-06-06;0;958105.965305.965538.959993.43009496
60566568;2410849;974765;5445023;55;0;0;2025-09-30;1900-01-01;2079-06-06;0;958105.968119.972149.974765.2410849
60588430;26513719;967078;40945117;55;0;0;2025-09-29;1900-01-01;2079-06-06;0;958105.968119.973692.967078.26513719
60590342;65398348;970009;97554069;55;0;0;2025-10-01;1900-01-01;2079-06-06;0;958105.968119.973692.970009.65398348
60590596;65422719;970009;97589965;55;0;0;2025-09-29;1900-01-01;2079-06-06;0;958105.968119.973692.970009.65422719
60786823;24428384;24426810;37865472;55;0;0;2025-09-29;2017-04-10;2079-06-06;0;958105.968616.971532.968076.24426810.24428384
60850675;73640144;73639229;109633538;55;0;0;2025-09-30;2017-04-21;2079-06-06;0;958105.968447.959601.963183.73639229.73640144
236280172;165857091;968934;603578655;55;0;0;2025-09-30;2024-10-02;2079-06-06;0;958105.968119.968177.968934.165857091
241033751;169690576;952835;619419741;55;0;247072731;2025-09-30;2025-01-23;2025-09-30;0;958105.958142.952835.169690576
244652384;172680046;962474;647239378;55;0;0;2025-09-29;2025-06-04;2079-06-06;0;958105.958916.960515.962474.172680046
57939031;16201046;16198995;25728965;55;0;0;2025-09-29;2017-04-27;2079-06-06;0;958105.958916.960515.961860.16198995.16201046
57939040;16201202;16198995;25729209;55;0;0;2025-09-29;2017-04-27;2079-06-06;0;958105.958916.960515.961860.16198995.16201202
57939023;16198995;961860;25725839;55;0;0;2025-09-29;1900-01-01;2079-06-06;0;958105.958916.960515.961860.16198995
247023312;174910637;955678;689625324;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.955678.174910637
247023341;174910666;1001423;689625354;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.1001423.174910666
247023316;174910641;973011;689625329;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910641
247023318;174910643;973011;689625331;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910643
247023320;174910645;973011;689625333;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910645
247023322;174910647;973011;689625335;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910647
247023324;174910649;973011;689625337;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910649
247023326;174910651;973011;689625339;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910651
247023328;174910653;973011;689625341;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910653
247023330;174910655;973011;689625343;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910655
247023332;174910657;973011;689625345;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910657
247023334;174910659;973011;689625347;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910659
247023336;174910661;973011;689625349;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910661
247023338;174910663;973011;689625351;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973011.174910663
247023350;174910675;973125;689625363;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973125.174910675
247023352;174910677;973125;689625365;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973125.174910677
247023343;174910668;1001423;689625356;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.1001423.174910668
247023345;174910670;1001423;689625358;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.1001423.174910670
247023347;174910672;1001423;689625360;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.1001423.174910672
247023349;174910674;1001423;689625362;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.1001423.174910674
247023363;174910688;964215;689625377;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.964215.174910688
247023366;174910691;954154;689625380;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.954154.174910691
247023374;174910699;964215;689625388;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.964215.174910699
247023353;174910678;973125;689625366;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973125.174910678
247023355;174910680;973125;689625368;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973125.174910680
247023357;174910682;973125;689625370;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973125.174910682
247023359;174910684;973125;689625372;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.973125.174910684
247023362;174910687;964215;689625376;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.964215.174910687
247023368;174910693;969343;689625382;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.969343.174910693
247023370;174910695;969343;689625384;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.969343.174910695
247023372;174910697;969343;689625386;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.965577.972648.969343.174910697
247023375;174910700;995461;689625389;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.995461.174910700
247023379;174910704;964215;689625393;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.964215.174910704
247023383;174910708;964215;689625397;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.964215.174910708
247023382;174910707;964215;689625396;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.964215.174910707
247023386;174910711;952686;689625400;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910711
247023388;174910713;952686;689625402;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910713
247023410;174910735;953978;689625424;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.953978.174910735
247023415;174910740;998309;689625429;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.998309.174910740
247023417;174910742;998309;689625431;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.998309.174910742
247023389;174910714;952686;689625403;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910714
247023391;174910716;952686;689625405;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910716
247023393;174910718;952686;689625407;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910718
247023395;174910720;952686;689625409;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910720
247023397;174910722;952686;689625411;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910722
247023399;174910724;952686;689625413;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910724
247023401;174910726;952686;689625415;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910726
247023403;174910728;952686;689625417;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910728
247023405;174910730;952686;689625419;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910730
247023407;174910732;952686;689625421;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.952686.174910732
247023411;174910736;958990;689625425;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.958990.174910736
247023413;174910738;958990;689625427;55;0;0;2025-09-29;2025-09-29;2079-06-06;1;958105.958142.958990.174910738
