ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
2334955;86878843;26ab442d-2ada-43ee-a49d-4e1efa1fa2aa;128800499;4;20;2334737;74203122;2025-10-01;2019-05-15;2025-10-01;0;0
15138029;103632832;37b5effd-485e-4407-a9e0-f89009f6e443;272267452;79;10;0;74197503;2025-10-01;2022-02-03;2025-10-01;0;0
69099782;165885193;27b13710-e091-40c0-b747-275aede327be;603622047;39;10;0;74175785;2025-09-29;2024-10-03;2025-09-29;0;0
71604531;170231127;f9b3467f-70ae-4531-a6d8-e4c1a455bdb2;638989384;1/2;10;0;74189218;2025-09-30;2025-02-13;2025-09-30;0;0
72514647;171793211;f40f4c5e-a40d-48ea-ba4a-c7509317fb31;644596612;10;10;0;74166002;2025-09-29;2025-04-18;2025-09-29;0;0
72515217;171794796;aa5f6704-c0cd-4617-8813-2a17732e9567;644598973;1А;10;0;74166008;2025-09-29;2025-04-18;2025-09-29;0;0
73654595;173937223;43e290c8-68e8-4e54-a408-019a10f365ed;656878088;11;10;0;74181698;2025-09-30;2025-08-11;2025-09-30;0;0
74054094;174696613;732c08fe-62cb-4535-b2fa-ad298fc84cac;689143236;4;10;0;74202245;2025-10-01;2025-09-18;2025-10-01;0;0
74163475;174910639;80fbe7f4-479b-48a2-8992-f9172c820c76;689625327;9;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163477;174910641;a9e3d054-2575-4b84-890a-96a85b4c9614;689625329;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163479;174910643;4f55d1b2-18de-4a4b-8bd1-fb91776fdd72;689625331;40;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163481;174910645;a6c3f8aa-4354-4cd3-a6a3-f631176ebef6;689625333;38;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163483;174910647;132c3c44-3ba6-4e98-afdc-184a77b68e22;689625335;30;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163485;174910649;c5e96b50-c364-4e03-899c-3ecc8eeecd51;689625337;29;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163487;174910651;29bed2a6-7530-42d2-9001-d9b1504ef878;689625339;27;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163489;174910653;2d0c808f-69b2-4fd2-bcd5-ec5b4f3f0b2c;689625341;24;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
