ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
33467266;38464157;981123;58318655;53503000;0;0;2025-10-01;2019-01-24;2079-06-06;1;976397.95246337.981123.38464157
33467280;85488061;981123;126928521;53503000;0;0;2025-10-01;2019-01-24;2079-06-06;1;976397.95246337.981123.85488061
106315038;96636690;981123;149438724;53503000;0;0;2025-10-01;2020-05-08;2079-06-06;1;976397.95246337.981123.96636690
228465581;160385324;160375231;532971122;53503000;0;0;2025-10-01;2023-09-19;2079-06-06;1;976397.95246337.160375231.160385324
33467278;85487572;981123;126927823;53503000;0;0;2025-10-01;2019-01-24;2079-06-06;1;976397.95246337.981123.85487572
89990789;59055458;975228;88238376;53640404111;0;0;2025-09-30;1900-01-01;2079-06-06;0;976397.95246222.95246225.981208.975228.59055458
90229637;20950811;979952;32755018;53634422101;0;0;2025-09-30;2015-10-19;2079-06-06;0;976397.95245933.95245935.989172.979952.20950811
91201054;81249056;988018;120729989;53634448101;0;0;2025-09-29;1900-01-01;2079-06-06;0;976397.95245933.95245955.982680.988018.81249056
90060470;80156429;980070;119131447;53640419101;0;0;2025-09-29;1900-01-01;2079-06-06;0;976397.95246222.95246232.981112.980070.80156429
249585148;174912059;982789;689629731;53643443106;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246175.95246190.982702.982789.174912059
249585205;174912116;988018;689629791;53634448101;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95245933.95245955.982680.988018.174912116
249585209;174912120;988018;689629795;53634448101;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95245933.95245955.982680.988018.174912120
249585213;174912124;988018;689629799;53634448101;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95245933.95245955.982680.988018.174912124
249585202;174912113;988018;689629788;53634448101;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95245933.95245955.982680.988018.174912113
249585210;174912121;988018;689629796;53634448101;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95245933.95245955.982680.988018.174912121
249585216;174912127;988018;689629802;53634448101;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95245933.95245955.982680.988018.174912127
249585224;174912135;988018;689629810;53634448101;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95245933.95245955.982680.988018.174912135
249585532;174912442;974637;689630618;53640404116;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246222.95246225.978844.974637.174912442
90083333;6433926;983720;11292821;53607449101;0;0;2025-09-29;2014-01-04;2079-06-06;0;976397.95245965.95245984.976395.983720.6433926
91222634;90988642;988018;133655891;53634448101;0;0;2025-09-29;2019-07-17;2079-06-06;0;976397.95245933.95245955.982680.988018.90988642
91216132;81247823;988018;120728278;53634448101;0;0;2025-09-29;1900-01-01;2079-06-06;0;976397.95245933.95245955.982680.988018.81247823
249585805;174912714;174903656;689631455;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903656.174912714
249585807;174912716;174903656;689631457;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903656.174912716
249585809;174912718;174903656;689631459;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903656.174912718
249585811;174912720;174903656;689631461;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903656.174912720
249585813;174912722;975302;689631464;53712000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246286.976447.975302.174912722
249585817;174912726;174903655;689631468;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903655.174912726
249585819;174912728;174903655;689631470;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903655.174912728
249585828;174912737;174903657;689631482;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903657.174912737
249585830;174912739;174903657;689631484;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903657.174912739
249585832;174912741;174903657;689631486;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903657.174912741
249585834;174912743;174903657;689631488;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903657.174912743
249585836;174912745;174903657;689631490;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903657.174912745
249585838;174912747;174903657;689631492;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903657.174912747
249585840;174912749;174903657;689631494;53507000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246344.977099.174903657.174912749
249586037;174912946;103583529;689631819;53701000151;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246335.978576.103583529.174912946
249586138;174913046;990746;689631937;53502000276;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246345.1002505.990746.174913046
90041609;66376575;984255;98994972;53640404111;0;0;2025-09-29;1900-01-01;2079-06-06;0;976397.95246222.95246225.981208.984255.66376575
90044171;66387362;984255;99011297;53640404111;0;0;2025-09-29;1900-01-01;2079-06-06;0;976397.95246222.95246225.981208.984255.66387362
249586532;174913435;993199;689633304;53622402101;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95245859.95245860.999488.993199.174913435
89993361;59062497;975228;88247858;53640404111;0;0;2025-09-29;1900-01-01;2079-06-06;0;976397.95246222.95246225.981208.975228.59062497
249586584;174913487;994134;689633383;53604450106;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246163.95246174.989042.994134.174913487
249586589;174913492;993199;689633388;53622402101;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95245859.95245860.999488.993199.174913492
119054929;104541605;990738;283277356;53619431101;0;0;2025-09-29;2022-05-23;2079-06-06;0;976397.95246103.95246112.992097.990738.104541605
89815116;48883595;979842;73452897;53640428121;0;0;2025-09-29;2014-07-16;2079-06-06;0;976397.95246222.95246235.976468.979842.48883595
89822402;48897864;979842;73472207;53640428121;0;0;2025-09-29;2014-07-16;2079-06-06;0;976397.95246222.95246235.976468.979842.48897864
90440024;36342859;36341108;55170026;53610420;0;0;2025-09-29;2015-11-16;2079-06-06;0;976397.95246144.95246145.996382.995947.36341108.36342859
89858737;6119597;983938;10846265;53640428121;0;0;2025-09-29;2014-07-16;2079-06-06;0;976397.95246222.95246235.976468.983938.6119597
89849733;6113385;983938;10836969;53640428121;0;0;2025-09-29;2014-07-16;2079-06-06;0;976397.95246222.95246235.976468.983938.6113385
89867293;6145764;983938;10884247;53640428121;0;0;2025-09-29;2014-07-16;2079-06-06;0;976397.95246222.95246235.976468.983938.6145764
249592043;174918910;976763;689644446;53701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;976397.95246335.968139.976763.174918910
