ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27407318;О присвоении адреса объекту адресации;2025-09-23;682;23;2;2025-09-29;УПРАВЛЕНИЕ ГРАДООБРАЗОВАНИЯ И КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА ГОРОДА БУЗУЛУКА;2025-09-29
27407388;О присвоении адреса;2025-09-26;140-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ БЕЛОВСКИЙ СЕЛЬСОВЕТ САКМАРСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27407553;Об инвентаризации ФИАС;2025-09-23;144;23;2;2025-09-29;УПРАВЛЕНИЕ ГРАДООБРАЗОВАНИЯ И КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА ГОРОДА БУЗУЛУКА;2025-09-29
27407556;О присвоении адреса объектам адресации;2025-09-26;1359-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЯСНЕНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27407675;Об инвентаризации ФИАС;2025-09-25;04/06/74;24;2;2025-09-29;УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА, АРХИТЕКТУРЫ И КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ АБДУЛИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27407955;Об аннулировании адреса объекта адресации;2025-09-29;141-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ БЕЛОВСКИЙ СЕЛЬСОВЕТ САКМАРСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27407980;О присвоении адреса объекту адресации;2025-09-26;93-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ЮБИЛЕЙНЫЙ СЕЛЬСОВЕТ АДАМОВСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27408366;О присвоении адреса объекту недвижимости;2025-09-26;130-п;21;2;2025-09-29;Администрация муниципального образования Первомайский сельсовет Первомайского района Оренбургской области;2025-09-29
27408411;Об инвентаризации адресных сведений в Государственном адресном реестре;2025-09-29;147-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ СВЕТЛЫЙ СЕЛЬСОВЕТ САКМАРСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27408423;Об аннулировании кадастрового номера;2025-09-24;220-п;21;1;2025-09-29;Администрация муниципального образования Подстепкинский сельсовет Илекского района Оренбургской области;2025-09-29
