OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
29892784;039ae321-1c28-48b1-8ba2-c1429d4f90c6;689814110;0;11;2017-01-29;2025-10-01
32889389;c11d3dea-446a-4261-9fe5-d981290c6dc0;689730126;0;10;2019-02-11;2025-09-30
54613714;7f78ac6e-fc3f-431e-a28d-5d69715c0dfb;689815976;0;10;2017-01-12;2025-10-01
41058898;ca446a5a-40cc-4e58-830f-2098aaaccf7f;689649336;0;10;2017-12-17;2025-09-29
36452526;85c7b0c3-0fb1-4800-b3f2-5ad64dd21e8c;689815905;0;11;2017-01-29;2025-10-01
60775900;c68ae780-4fdf-4843-a52a-6e5648c09a91;689694378;1;10;2019-12-14;2025-09-29
162374284;ed76b79c-c24f-492e-9055-e08aa366a7cf;689811353;0;9;2024-02-07;2025-10-01
81590222;2109c3bd-44dd-4d7c-aa3b-725dfd66ed12;689630955;1;10;2019-07-10;2025-09-29
17282422;9751b04e-29b8-4b3d-99db-449bf56c48a2;689781840;0;10;2019-07-10;2025-10-01
160616649;f5384bd9-3bb2-44f8-b3f1-97904c45eb18;689810131;1;10;2023-10-09;2025-10-01
59055458;541a4cff-e3f3-4124-8824-628c7053a82a;689749195;0;10;2017-12-18;2025-09-30
84757936;fccdd999-6c4e-4cd4-bb3c-1867cda735e1;689732818;0;9;2018-12-18;2025-09-30
37805740;20121f79-429d-40db-80bf-6254a194ade7;689813838;1;10;2019-05-23;2025-10-01
83818802;d962f4de-15be-4844-a4e4-42fd2f090f0c;689729692;0;11;2017-06-05;2025-09-30
59057095;f640eb8c-dc1d-4074-aaa2-6e38b4ff13fe;689633305;0;10;2017-12-18;2025-09-29
59062497;8535e294-3618-411d-a34e-d80d2740ad5b;689633371;0;10;2017-12-18;2025-09-29
63848754;e56de57d-9054-4f43-8082-06a1ea869aca;689750601;1;10;2017-05-18;2025-09-30
160616655;fb864af5-faf2-46e5-97e7-9a2ecb2943ee;689810137;1;10;2023-10-09;2025-10-01
67380226;852463c3-5deb-4c00-9545-e5c3be597395;689815948;0;10;2019-07-10;2025-10-01
53108552;18d24b59-999f-472d-a830-06f708144d41;689749394;1;10;2017-06-09;2025-09-30
49723372;832632f9-85a4-44e0-80a5-5eeec81d3438;689732452;0;10;2019-12-14;2025-09-30
174649297;cc9feaab-cfad-4937-bef4-bd493c0b21fe;689740538;1;11;2025-09-16;2025-09-30
174649301;9ae40dbd-7882-4190-8c62-1ff30a6fa194;689740542;1;11;2025-09-16;2025-09-30
174649303;f980a4a5-725a-4cf5-b562-a20abdd101b6;689740544;1;11;2025-09-16;2025-09-30
174649308;2811c11b-153d-4a6b-93a0-ecc0b9d38dba;689740549;1;11;2025-09-16;2025-09-30
174649310;0f89b901-02a3-475d-b4d1-24200349d77b;689740551;1;11;2025-09-16;2025-09-30
174649314;2bac9ad0-1eb2-4909-8155-a5c79fc9f9d2;689740555;1;11;2025-09-16;2025-09-30
174649321;577d195b-00c5-44cc-b172-0b9094d47567;689740562;1;11;2025-09-16;2025-09-30
174649323;279f7265-9d62-4cfa-b6d8-8f2f70c45579;689740564;1;11;2025-09-16;2025-09-30
174649330;68d0ec18-f1e1-40b0-99b2-99283027756e;689740571;1;11;2025-09-16;2025-09-30
174649340;f92bc7ad-abe0-467e-b9f8-852fb2bb608a;689740581;1;11;2025-09-16;2025-09-30
174649372;e2087440-41db-48e6-b490-f40678f3915a;689740613;1;11;2025-09-16;2025-09-30
174649376;14489cba-e3cc-4f41-ab20-1803367f6218;689740617;1;11;2025-09-16;2025-09-30
174649379;8e407776-a6bb-4df5-8e68-98b0e479ff92;689740620;1;11;2025-09-16;2025-09-30
68276797;f14ba3f3-c2c6-448a-a400-ef6973a08b63;689692647;0;11;2017-01-29;2025-09-29
68273290;0df013e5-1e76-42fa-9057-321ef89d49c2;689795886;0;10;2019-07-10;2025-10-01
77972637;8a59263e-ca37-49a9-8532-f355e470ddc0;689750626;0;10;2018-11-02;2025-09-30
81250582;2b68ea44-221a-4124-b11a-6ba634ff3ecd;689631001;1;11;2018-05-08;2025-09-29
174791240;83ca3d51-5c50-4280-a715-b73ca2242db8;689787214;1;9;2025-09-23;2025-10-01
