ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
107363;84662747;34cb97c6-c8e4-4d7b-9806-f2e148da7828;125707886;19;10;74175649;2025-09-29;2017-07-18;2025-09-29;0;0
1017325;85567536;196e7cd4-c5b8-47f1-8872-f15f9780e7ce;127040979;Земельный участок 3Б;10;74189411;2025-09-30;2017-03-23;2025-09-30;0;0
1023164;85573299;44dbf76f-21a3-440e-8396-6793292e308f;127048802;Земельный участок 30А5;10;74192221;2025-09-30;2017-03-23;2025-09-30;0;0
1280104;85829003;9b888192-efe9-409e-b088-c581c662f4a6;127402329;8Б2;10;74192224;2025-09-30;2018-08-08;2025-09-30;0;0
1698915;86245761;eaa926b9-33e0-4f58-916d-982e87d5627b;127965510;32;10;74180095;2025-09-29;2017-07-18;2025-09-29;0;0
12496985;98406454;389423ac-af1b-49a2-b2ac-d8b6961cee58;156776687;10;10;74195043;2025-09-30;2020-09-24;2025-09-30;0;0
3158258;87699392;ad617e56-4cc4-4539-baf0-0365a77f6ece;129843708;2А;10;74174790;2025-09-29;2016-12-01;2025-09-29;0;0
3228995;87769901;0fcadb29-a7b3-4f8b-a064-02bc46c22b97;129931370;11;10;74174792;2025-09-29;2017-07-13;2025-09-29;0;0
3542638;88082529;755fe5cd-955f-4431-9758-ae029a2e48e8;130314673;18;10;74191018;2025-09-30;2018-07-02;2025-09-30;0;0
14303187;101563596;05ab0e1a-8b4c-4445-a090-1aca9aac4a55;195289912;38А2;10;74194813;2025-09-30;2021-06-16;2025-09-30;0;0
3895618;88434453;f34964b3-b644-4d26-a098-f70f57760a98;130740402;65А;10;74180103;2025-09-29;2017-01-16;2025-09-29;0;0
3991853;88530442;98b71dd4-fc05-4f54-a6e6-2776c3939276;130855083;51А1;10;74180104;2025-09-29;2017-07-18;2025-09-29;0;0
4335757;88873554;71dce501-efbc-4bb2-920f-21a0661686e8;131259788;26а;10;74191019;2025-09-30;2017-08-17;2025-09-30;0;0
6247424;90782354;c97aeecf-0ae2-4eb3-81a1-d6856cba874f;133420165;75;10;74180105;2025-09-29;2017-07-03;2025-09-29;0;0
6249139;90784069;582684cb-554c-4622-a35f-f677364d716a;133422058;73;10;74180107;2025-09-29;2017-07-03;2025-09-29;0;0
6301269;90836033;9667c7ff-644a-42b5-91e7-c0cec4204f13;133480154;76;10;74180112;2025-09-29;2017-07-03;2025-09-29;0;0
7170175;91704436;58040b6b-a0fe-4abe-8ab9-393d9abcab92;134459624;49;10;74180113;2025-09-29;2017-07-18;2025-09-29;0;0
8033882;92567588;d96ddb8d-a460-428e-b147-df6db467bc21;135391621;Земельный участок 4А8;10;74194811;2025-09-30;2017-03-27;2025-09-30;0;0
73889146;174364150;12242b5e-cc49-4b3f-a661-8900cc9feb99;688398671;144;10;74193201;2025-09-30;2025-09-01;2025-09-30;0;0
74166388;174914999;4e4fff21-a66e-4cfe-802a-27e3836f3393;689636664;98;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166390;174915001;3d0d86f6-450b-4853-9de5-53a65a7fe20d;689636666;330;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166392;174915003;0fb46811-ee27-4eb4-8f44-b6d488ccb0f9;689636668;415;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166394;174915005;e2f159ff-28cb-4e6e-9e66-49a4bcdd0d61;689636670;514;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166396;174915007;5424b668-70b0-42ef-820f-10a2f8436cf1;689636672;292;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166398;174915009;e02d90c9-b79c-4ea8-a821-2ba8460fc467;689636674;403;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166400;174915011;60358c59-399c-441b-be94-9663815cb8e9;689636676;324;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166402;174915013;567d24bb-ca68-4716-8eab-b13af1265ea0;689636678;600;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166404;174915015;1a1ee1cc-a1fa-4c87-8a63-9de222b0d1ad;689636680;855;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166406;174915017;19cb245b-afd1-495a-b1c3-29b2364e1ea2;689636682;498;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166408;174915019;a33c62b9-44b5-4962-b097-12f2d1bf8b7f;689636684;414;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166410;174915021;fce9e259-7f0d-47df-b97e-4790b52c74a3;689636686;270;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166412;174915023;49560f20-8a1c-4fcf-861b-f1da20e41c92;689636688;272;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166414;174915025;4908fa61-fcef-4a2b-bc42-c017b47667de;689636690;443;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166416;174915027;e5994815-fa1c-40bb-a5ee-89fa7acda258;689636692;56;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166976;174916671;b99d6fe5-a6e5-41ff-be5b-7fadfe571a3f;689639240;6;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166980;174916675;e15e8a4c-68cb-454b-ad4f-5123c29656d7;689639244;8;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166984;174916679;59a6058c-147f-4ff8-8980-d324a3438f0e;689639248;14;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166977;174916672;a83418be-e03d-4807-8798-a2b5d1a42f8e;689639241;130;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166981;174916676;33c5bd72-eb2c-47b8-870d-a61df10e86d0;689639245;152;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166985;174916680;0bcc440a-1176-4dea-8eec-f934bee40625;689639249;15;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167760;174918108;11ea99b6-8713-4098-aae0-c4ff524ea82a;689643044;33;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167764;174918112;22c8a566-e412-42bc-800a-11ea7cca6636;689643048;51;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167769;174918117;377a90ab-5ddc-4662-9001-92d71f10f649;689643057;96;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167775;174918123;9f44059c-7866-49a4-b9d5-6cb0ebee28b6;689643065;118;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167778;174918126;28ac7fb5-0451-4746-a59e-3880d23db2c0;689643069;122;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167782;174918130;64933b1c-9ab5-4fe6-9615-454242687edc;689643073;8;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167786;174918134;21e438e3-947e-4dec-b8eb-a56c139de5b5;689643077;130;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167790;174918138;a14a63b5-62c2-4124-b5d2-c36162715d5d;689643081;136;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167794;174918142;34fc20f3-6e25-4eb8-9ba0-f33d0fadcaba;689643085;143;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167759;174918107;c5b41120-02dc-4911-a3a4-77ca4291fdd8;689643043;32;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167763;174918111;bc636fbe-0abd-41f1-a46e-b67db3590d08;689643047;162;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167767;174918115;88426977-b5bc-4d03-9ed5-9031b96d59b5;689643051;66;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167770;174918118;0ab2ab8c-cb2b-4c22-847c-45611200009a;689643058;103;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167774;174918122;36e857dd-089b-45fd-a2fe-2b92afd43850;689643064;125;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167779;174918127;c804542c-ef89-4ed3-b07e-4ad1fcada88f;689643070;123;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167783;174918131;b0f8d1ec-c5a4-448a-a0d1-fb0a6b64faaf;689643074;127;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
