ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
5931312;11174238;2d82ce4e-fabe-4e88-973d-ef0dcce3a2b4;18226147;1;2;10;0;111803943;2025-09-29;2018-07-27;2025-09-29;0;0
16102176;28123709;10e63ed8-f18c-41ae-a25a-ba32eb446347;43280150;1;1;10;0;111800553;2025-09-29;2017-05-23;2025-09-29;0;0
42879002;71827477;d9b58b14-b201-41f6-9d17-42cad71f5672;106974376;2;2;10;0;111804818;2025-09-29;2018-08-22;2025-09-29;0;0
111800554;28124482;39687a01-522d-4df4-8b54-16b198979689;689669474;2;1;30;16102575;0;2025-09-29;2025-09-29;2079-06-06;1;0
111802196;58866991;cd85348d-71bf-4ece-9e66-8648dbfb1666;689679639;9;2;30;35044650;0;2025-09-29;2025-09-29;2079-06-06;1;0
111802187;58866517;6a85b94d-effd-4403-bdaf-9f25344cc202;689679550;2;2;30;35044330;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803877;84124605;b7012a62-f1e5-4ec2-8812-676d675e48ca;689690772;1;2;30;50335646;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803878;84124669;f8981bd6-1432-44dc-8da2-80d7282879ed;689690773;2;2;30;50335703;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803913;64856374;44954e96-940d-4a2a-b6eb-c9987fa8092f;689691199;2;2;30;38632672;0;2025-09-29;2025-09-29;2079-06-06;1;0
38632688;64856390;5b3d90f6-2bb6-42f6-ba35-06dc57c8617c;96749761;1;2;10;0;111803914;2025-09-29;2018-08-06;2025-09-29;0;0
111803944;11174267;a4e6c5ff-e63d-46ea-b16d-c174a025858d;689691679;2;2;30;5931320;0;2025-09-29;2025-09-29;2079-06-06;1;0
111804818;71827477;d9b58b14-b201-41f6-9d17-42cad71f5672;689698069;2;2;30;42879002;0;2025-09-29;2025-09-29;2079-06-06;1;0
111807478;174955306;c3b8508f-bf36-4102-90c8-76dd1ee903fe;689723446;1;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
33278095;55963316;690d8090-852b-4f07-9399-d214e1f6ef64;83712497;13;2;10;0;111809167;2025-09-30;2018-09-18;2025-09-30;0;0
49601336;82890193;2404db2d-6aca-4a2c-884f-349b35f1e7d6;123128100;83;2;10;0;111809175;2025-09-30;2017-05-29;2025-09-30;0;0
111810954;174969334;d7b8d81e-4e87-4ec2-9bfc-afa0072bc9ed;689756281;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
