ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1346413688;47032773;475741674;689666199;8;58:34:0010122:132;2025-09-29;2022-11-23;2025-09-29
1346719756;25076128;476047754;689664647;8;58:34:0010101:2630;2025-09-29;2022-11-23;2025-09-29
1492735213;76994331;580682701;689807051;8;58:34:0010105:1073;2025-10-01;2023-12-29;2025-10-01
1346717603;72973766;476045602;689665780;8;58:34:0010101:1431;2025-09-29;2022-11-23;2025-09-29
1346736093;47001568;476064091;689665909;8;58:34:0010122:84;2025-09-29;2022-11-23;2025-09-29
1346413321;47032761;475741321;689666094;8;58:34:0010122:139;2025-09-29;2022-11-23;2025-09-29
1644515971;47032773;689666199;0;8;58:34:0010122:103;2025-09-29;2025-09-29;2079-06-06
1644516559;58264535;689666389;0;8;58:34:0010110:371;2025-09-29;2025-09-29;2079-06-06
1346845101;55963692;476173099;689666880;8;58:34:0010141:1463;2025-09-29;2022-11-23;2025-09-29
1346728261;52719177;476056259;689667033;8;58:34:0010137:244;2025-09-29;2022-11-23;2025-09-29
1644519744;68241911;689667260;0;8;58:34:0010101:442;2025-09-29;2025-09-29;2079-06-06
1644520579;58153341;689667425;0;8;58:34:0010101:766;2025-09-29;2025-09-29;2079-06-06
1644563022;58866517;689679550;0;20;27.06.2024;2025-09-29;2025-09-29;2079-06-06
1644597583;84124605;689690772;0;20;13.08.2025;2025-09-29;2025-09-29;2079-06-06
1644599601;64856374;689691199;0;20;09.10.2024;2025-09-29;2025-09-29;2079-06-06
1644602020;11174238;689691678;0;20;09.10.2024;2025-09-29;2025-09-29;2079-06-06
1644623604;47001450;689696807;0;8;58:34:0010122:84;2025-09-29;2025-09-29;2079-06-06
1644629629;174944267;689698028;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644675654;5839585;689710324;0;8;58:14:0700101:884;2025-09-30;2025-09-30;2079-06-06
1644714180;174954212;689720989;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644722827;174955306;689723446;0;8;58:11:0100501:1892;2025-09-30;2025-09-30;2079-06-06
1644722829;174955306;689723446;0;13;566314251010000002040004000100000;2025-09-30;2025-09-30;2079-06-06
1644768355;82890193;689737517;0;20;20.05.2025;2025-09-30;2025-09-30;2079-06-06
1644839942;174969333;689756280;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644839944;174969334;689756281;0;8;58:18:0570102:268;2025-09-30;2025-09-30;2079-06-06
1644839946;174969334;689756281;0;13;566454101010000000240008000200000;2025-09-30;2025-09-30;2079-06-06
1644932535;11177759;689796738;0;8;58:18:0730101:196;2025-10-01;2025-10-01;2079-06-06
1645024141;174992718;689824967;0;8;58:29:3010005:1630;2025-10-01;2025-10-01;2079-06-06
1645024143;174992718;689824967;0;13;567010000010000006940014000100000;2025-10-01;2025-10-01;2079-06-06
