ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
366730871;65298064;97403517;689686915;8;58:16:0100727136;2025-09-29;2015-10-21;2025-09-29
437477625;78441839;116611732;689669308;8;58:1660100707:33;2025-09-29;2015-10-12;2025-09-29
1346423766;75607502;475751766;689667403;8;58:16:0100214:60;2025-09-29;2022-11-23;2025-09-29
1346469571;21128594;475797568;689735179;8;58:24:0030706:45;2025-09-30;2022-11-23;2025-09-30
1346500938;3743567;475828936;689692751;8;58:12:5101001:118;2025-09-29;2022-11-23;2025-09-29
1346605578;17925552;475933579;689694832;8;58:16:0100103:292;2025-09-29;2022-11-23;2025-09-29
1346618905;74881412;475946902;689699830;8;58:28:0320101:606;2025-09-29;2022-11-23;2025-09-29
1346636913;45740589;475964911;689695050;8;58:16:0100801:187;2025-09-29;2022-11-23;2025-09-29
1346644881;73782595;475972878;689694720;8;58:16:0100504:74;2025-09-29;2022-11-23;2025-09-29
1346835404;19255167;476163402;689699981;8;58:25:0280101:387;2025-09-29;2022-11-23;2025-09-29
191975425;32693669;49880426;689811076;8;58:18:0580102:46;2025-10-01;2018-08-06;2025-10-01
1484527667;73666539;574960213;689667479;8;58:16:0100205:74;2025-09-29;2023-11-23;2025-09-29
1474495491;11176457;571216384;689694420;8;58:18:0730101:111;2025-09-29;2023-10-27;2025-09-29
1492738837;77256069;580686325;689669442;8;58:34:0010138:62;2025-09-29;2023-12-29;2025-09-29
1492743312;73207371;580690799;689669319;8;58:34:0010115:2786;2025-09-29;2023-12-29;2025-09-29
1503222217;28993257;590018359;689679821;8;58:32:0020403:129;2025-09-29;2024-02-13;2025-09-29
1644427411;2863467;689638605;0;8;58:25:0630202:1455;2025-09-29;2025-09-29;2079-06-06
364263096;64837693;96724438;689638716;8;58:25:0620101:0042;2025-09-29;2017-03-28;2025-09-29
1644427761;174916230;689638718;0;1;5800;2025-09-29;2025-09-29;2079-06-06
1644427763;174916230;689638718;0;3;5835;2025-09-29;2025-09-29;2079-06-06
1644427765;174916230;689638718;0;6;56401373000;2025-09-29;2025-09-29;2079-06-06
1644427767;174916230;689638718;0;8;58:29:1001005:2032;2025-09-29;2025-09-29;2079-06-06
1644427769;174916230;689638718;0;13;567010000010000176420016000000000;2025-09-29;2025-09-29;2079-06-06
1644428053;174916315;689638807;0;1;5800;2025-09-29;2025-09-29;2079-06-06
1644428055;174916315;689638807;0;3;5835;2025-09-29;2025-09-29;2079-06-06
1644428057;174916315;689638807;0;6;56401373000;2025-09-29;2025-09-29;2079-06-06
1644428059;174916315;689638807;0;8;58:29:1001005:2033;2025-09-29;2025-09-29;2079-06-06
1644428061;174916315;689638807;0;13;567010000010000175720028000000000;2025-09-29;2025-09-29;2079-06-06
260446080;45512623;68556196;689638808;8;58-58-33/014/2010-454;2025-09-29;2000-01-26;2025-09-29
1644433353;47176987;689640081;0;8;58:18:0650101:354;2025-09-29;2025-09-29;2079-06-06
1644439826;174917937;689642833;0;2;5800;2025-09-29;2025-09-29;2079-06-06
1644439828;174917937;689642833;0;4;5809;2025-09-29;2025-09-29;2079-06-06
1644439830;174917937;689642833;0;7;56655429121;2025-09-29;2025-09-29;2079-06-06
1644439832;174917937;689642833;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644439834;174917937;689642833;0;21;56655429;2025-09-29;2025-09-29;2079-06-06
1644440431;174918058;689642987;0;2;5800;2025-09-29;2025-09-29;2079-06-06
1644440433;174918058;689642987;0;4;5835;2025-09-29;2025-09-29;2079-06-06
1644440435;174918058;689642987;0;7;56701000001;2025-09-29;2025-09-29;2079-06-06
