ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27409401;Об аннулировании адреса;2025-09-25;131;21;2;2025-09-29;АДМИНИСТРАЦИЯ АТМИССКОГО СЕЛЬСОВЕТА НИЖНЕЛОМОВСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
27409909;Об аннулировании адреса;2025-09-24;129;21;2;2025-09-29;АДМИНИСТРАЦИЯ АТМИССКОГО СЕЛЬСОВЕТА НИЖНЕЛОМОВСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
27410479;О присвоении адреса объекту адресации;2025-09-25;239;21;2;2025-09-29;АДМИНИСТРАЦИЯ РАБОЧЕГО ПОСЕЛКА ШЕМЫШЕЙКА ШЕМЫШЕЙСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
27410825;о внесении изменений в адрес жилого дома;2025-09-19;150;21;1;2025-09-29;АДМИНИСТРАЦИЯ ЯСНОПОЛЯНСКОГО СЕЛЬСОВЕТА КУЗНЕЦКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
27411321;О присвоении адресов земельным участкам;2025-09-29;223-п;21;2;2025-09-29;Администрация рабочего поселка Лунино Лунинского района Пензенской области;2025-09-29
27411976;об актуализации адресных сведений в Государственном адресном реестре;2025-09-29;84;21;1;2025-09-29;АДМИНИСТРАЦИЯ КУРАКИНСКОГО СЕЛЬСОВЕТА СЕРДОБСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
27412206;Об удалении адреса;2025-09-29;95;21;2;2025-09-29;АДМИНИСТРАЦИЯ ПРИГОРОДНОГО СЕЛЬСОВЕТА СЕРДОБСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
27412305;Об удалении адреса;2025-09-29;94;21;2;2025-09-29;АДМИНИСТРАЦИЯ ПРИГОРОДНОГО СЕЛЬСОВЕТА СЕРДОБСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
27412375;Об актуализации сведений в адресном реестре;2025-09-26;175;21;1;2025-09-29;АДМИНИСТРАЦИЯ СОСНОВСКОГО СЕЛЬСОВЕТА БЕССОНОВСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
27412773;Об актуализации сведений объектов недвижимости;2025-09-29;68-п;21;1;2025-09-29;Администрация Ульяновского сельсовета Тамалинского района Пензенской области;2025-09-29
27412822;О присвоении адреса земельному участку;2025-09-26;174;21;2;2025-09-29;АДМИНИСТРАЦИЯ СОСНОВСКОГО СЕЛЬСОВЕТА БЕССОНОВСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
27412916;О присвоении и аннулировании адреса объекта адресации;2025-09-26;1640;21;2;2025-09-29;Администрация закрытого административно-территориального образования города Заречного Пензенской области;2025-09-29
27412990;Об актуализации адреса объекта адресации;2025-09-26;1637;21;1;2025-09-29;Администрация закрытого административно-территориального образования города Заречного Пензенской области;2025-09-29
27413581;Об утверждении схемы расположения земельного участка на кадастровом плане территории, предварительном согласовании предоставления земельного участка                Еркову М.Г., о присвоении адреса земельному участку;2025-09-26;1636;21;2;2025-09-29;Администрация закрытого административно-территориального образования города Заречного Пензенской области;2025-09-29
27414804;Об актуализации адресных сведений, содержащихся в ГАР;2025-09-26;451;21;2;2025-09-29;Администрация города Сердобска Сердобского района Пензенской области;2025-09-29
27415579;Об изменении кадастровых номеров;2025-09-29;222-п;21;1;2025-09-29;Администрация рабочего поселка Лунино Лунинского района Пензенской области;2025-09-29
27415734;Об уточнении адресных сведений;2025-09-29;123;21;1;2025-09-29;АДМИНИСТРАЦИЯ АЛФЕРЬЕВСКОГО СЕЛЬСОВЕТА ПЕНЗЕНСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
27415829;О присвоении кадастровых номеров земельным участкам;2025-09-29;176;21;1;2025-09-29;АДМИНИСТРАЦИЯ СОСНОВСКОГО СЕЛЬСОВЕТА БЕССОНОВСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;2025-09-29
