OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
74771682;d04e1d6c-f89d-41e1-99c1-e50e0ec4c5de;689710419;1;10;2019-07-10;2025-09-30
11174238;2d82ce4e-fabe-4e88-973d-ef0dcce3a2b4;689691678;0;11;2018-07-27;2025-09-29
50601459;cb9cf135-360e-4c6e-b608-13d5dce2687b;689739675;1;10;2017-12-17;2025-09-30
52237416;0686c066-b11d-4128-918f-a2421e73a733;689756242;0;10;2017-12-18;2025-09-30
76994518;e834254c-1030-49e0-aa4e-3593671aec56;689809548;1;11;2017-05-22;2025-10-01
47001450;7fb0b60b-ab9d-4108-9f78-50ff4cc9e6ff;689696807;1;11;2017-05-30;2025-09-29
52719177;3d349a89-de71-4b3e-9c6e-de20e4fc9ff2;689667033;1;11;2017-05-16;2025-09-29
16562981;db721c0e-2a53-4bd6-9d6c-6bccc9fffbe8;689749265;0;10;2019-07-10;2025-09-30
64665456;f6bc0df9-dea8-42b2-b2ce-2b6849b6502a;689686492;0;10;2018-08-05;2025-09-29
65258191;db4a8c2c-d205-4280-9b38-45c76e603f4a;689670174;1;10;2019-12-11;2025-09-29
65270561;ebde5846-45b8-4771-bb7e-977bd2ed0ca6;689670263;1;10;2019-12-11;2025-09-29
65298064;d00e5c59-d450-472e-b3d7-f9acb82ea0f9;689686915;1;10;2019-12-11;2025-09-29
47075734;ba624a2c-4926-4b64-8db2-797a9df408a8;689718108;1;10;2018-10-11;2025-09-30
56145349;efc761a3-a669-4655-9ed9-d03fc2b9f2e1;689730464;1;10;2012-03-23;2025-09-30
64837693;5c41c35d-cb90-4c27-8335-1351efd7705a;689638716;1;10;2017-08-06;2025-09-29
71823641;6cc2e8df-db71-49b6-b0b6-9f2eb581f359;689666203;0;10;2015-11-03;2025-09-29
75664363;53ea9db3-c451-4e00-810b-52ee5fb02b33;689818146;1;10;2017-05-29;2025-10-01
78383858;2ff7b9a1-82cc-4adc-9767-dc8b5e5efd34;689669317;1;10;2019-12-11;2025-09-29
78395761;847e6459-3659-4302-8ee2-ddc941350d33;689669483;1;10;2019-12-11;2025-09-29
78425491;58ad6ce7-0116-4bed-a2cb-3856b9b68dd0;689669148;1;10;2019-12-11;2025-09-29
78440765;76ea9949-1dc8-45b0-862b-5fc5720c7b7a;689669063;1;10;2019-12-11;2025-09-29
78857516;586a9cac-4b32-42a2-a565-11b4620698e0;689697432;0;10;2017-12-17;2025-09-29
81442969;99d87abf-9fee-4407-ab0d-7581e7fe5080;689734545;1;10;2019-07-10;2025-09-30
83909137;24c8f616-3f1e-48a9-8e4e-cb29b98418ca;689755203;0;10;2019-12-14;2025-09-30
73790621;73703aea-263b-4faa-b552-de9c004dd6e5;689667523;1;10;2019-07-10;2025-09-29
38087762;ec2a91c3-85c9-4ad3-b221-c3bccfccbc93;689720998;1;10;2019-07-10;2025-09-30
5485667;8330d05f-6c34-45f1-a74e-399c45631131;689796554;1;10;2012-08-30;2025-10-01
16986132;b3ca46aa-4744-47de-a86d-5e8545020544;689644412;1;10;2017-12-18;2025-09-29
58866517;6a85b94d-effd-4403-bdaf-9f25344cc202;689679550;0;11;2017-06-06;2025-09-29
9062751;687cd130-f802-4305-809b-36e3bc2783ae;689679794;0;10;2018-08-02;2025-09-29
30953238;572bfb61-33a4-4068-928d-7a4e978e920b;689646167;1;10;2017-12-26;2025-09-29
21128594;b74e3b35-06df-4403-ad40-46692723a2d1;689735179;1;10;2019-07-10;2025-09-30
65583190;db3f21be-fc04-44b0-b70d-28d0e7c202f6;689740958;1;10;2017-12-18;2025-09-30
52811399;57b03fce-b855-4031-9027-52ceccdb9d6d;689759058;1;10;2012-08-30;2025-09-30
3743567;77b07a21-7903-4f84-98a9-abc1219e1c90;689692751;1;10;2017-12-18;2025-09-29
