ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
1940346;86486255;64f594bc-ca53-4b6d-be12-ed558842f2c1;128282938;101;10;74167343;2025-09-29;2019-03-26;2025-09-29;0;0
6349897;90884729;f8611e57-7c71-4d86-882a-839dd12e9ea3;133535101;54;10;74168140;2025-09-29;2019-08-23;2025-09-29;0;0
7423060;91957125;3d12b27b-dbaa-4199-a393-ffd6cc2fea4c;134736631;165;10;74207088;2025-10-01;2018-07-13;2025-10-01;0;0
74167337;90920263;7128ee63-c4a3-4373-8c21-47b9c4651a2b;689640209;106;30;0;2025-09-29;2025-09-29;2079-06-06;1;0
74167703;174917934;f6ec7014-93d7-41d9-b3ad-331ecaa0c75e;689642829;22;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168140;90884729;f8611e57-7c71-4d86-882a-839dd12e9ea3;689643996;54;30;0;2025-09-29;2025-09-29;2079-06-06;1;0
74170951;174924471;25e676e1-ecc8-45ba-bb44-910bfac8469d;689653039;48а/3;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170952;174924475;3704c1c4-f991-48cb-be97-bfacb6e69757;689653055;40/5;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170984;174924512;31100319-f493-4086-89d0-9f7cfc912916;689653103;76/1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173302;174930360;f287f914-a911-4d91-b798-94b798f2ad5d;689669374;24/1А;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174502;174932547;e4fcac97-08c1-433a-8a24-e4ccc0af0c2e;689673366;10/489Б;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178682;174941802;e78c0d95-c941-4533-a306-6cc441835113;689693836;6;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179671;174943392;4425aa8f-3c4d-45ef-9d37-ea2c6a23a073;689696490;6А;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179673;174943394;b735a145-564a-4d55-ad42-cca609063d5d;689696492;5;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179675;174943396;66af9210-5be6-4eac-9ecb-3c3d75f2da6c;689696494;2;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179995;174944150;83267372-0689-4173-95ba-3b33d379bf68;689697625;10/2;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179997;174944152;64c69b80-5445-4059-aaf6-8632311d07b8;689697627;19/2;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179999;174944154;9e68923b-686d-4ff0-8d52-cdc884aa4066;689697629;15;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180001;174944156;57271d92-5e98-4ffb-acf3-ca0c2c7f30a8;689697631;11;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180077;174944259;adcebddd-d36d-49f4-b31c-d407fe9aec14;689698002;28;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180079;174944261;b43be126-c10b-4297-968b-4f2918c539a9;689698004;34;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180081;174944263;29ed5570-4d07-4e16-b943-5041aabacd5e;689698006;20;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180083;174944265;451dd66d-7e0a-4fd6-942c-94eba5a090f9;689698008;21;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180155;174944440;4a7d253e-cac6-455a-b6e2-60134f9df3d3;689698552;16А;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180157;174944442;1e546410-3fa1-4178-9518-454860ee06a3;689698554;14;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180159;174944444;93467096-4cbd-4725-9602-41d63a62eb5e;689698556;10;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180161;174944446;4ff1f6bf-b9ec-4684-8a6e-ee219a19373f;689698558;12А;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180171;174944484;2ca409e2-c42c-49ae-90eb-eb5f580cb64f;689698626;4б;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180173;174944488;b60a66c3-5ebb-4b1b-a414-9994bec57d35;689698633;46;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180175;174944490;f5855998-fb39-4bec-8366-4a1b36c0ad8f;689698635;42А;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180177;174944492;bacaa946-e72e-4932-acbb-ce2fb8d22c77;689698637;40;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180203;174944605;94d5f2d9-3bf5-464c-b45d-a2c005d5b781;689698954;2а;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180294;174944891;d9cd8915-1067-4fae-b0dc-c1c3f6a14f99;689699991;13;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180296;174944893;beba6c40-7104-45fa-94c5-d079766d2d3b;689699993;7;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74183913;174950919;80854e14-e8be-4a4d-bf7f-49b1d22fe8f6;689711520;29;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74184359;174951497;a73e67aa-974c-483e-800f-b2c7e7312549;689712547;14;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74184479;174951679;ab67d2a3-c2c8-45b4-bbf5-b30b7dd0ad74;689712913;2А;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185303;174952807;ef416c31-d6da-4179-903f-8a5b41461377;689718192;3А/5;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185354;174952893;6edcd54f-9aa6-482e-979c-17d148fa2c85;689718353;1А;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185378;174952928;e0786ac3-ee03-428d-a388-1c6faa3ceb96;689718406;37;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185380;174952930;8027560d-8a81-4675-ae51-a89ec179290f;689718408;29;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185382;174952932;1536a421-97a6-4de7-b5aa-0180b7341ac6;689718410;15А;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185384;174952934;118b39e5-d382-42a6-a5c1-f22a3f744c63;689718412;33;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185398;174952963;bc319dc9-6d97-40b7-97e7-52e360563a24;689718496;51;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185400;174952965;449c9919-3ece-40f4-8b55-956ff8ecd683;689718498;43;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186273;174954202;990b9504-fde2-4a2f-a048-f464638d9927;689720977;23/1;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186357;174954358;bf855664-f1d1-4ce4-a683-9906015cb62a;689721197;61;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
