ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
49518919;82759870;c10414c8-e08c-4e8c-a869-85723e4bfec4;122936675;2;2;10;0;111807059;2025-09-30;1900-01-01;2025-09-30;0;0
52877698;101885615;9feb5bcd-681f-4039-9fa6-c48781185c65;197029108;2;2;10;0;111796318;2025-09-29;2021-07-19;2025-09-29;0;0
3007113;6370269;df0ff1d6-93ab-4302-92fb-3db3bc4507e8;11201251;2;2;10;0;111814515;2025-10-01;2018-03-23;2025-10-01;0;0
10875306;19490204;74d1e0de-540b-4cb6-a4c5-159525a8a4a2;30570553;317;2;10;0;111817521;2025-10-01;1900-01-01;2025-10-01;0;0
26715616;45324592;95565cbc-0760-422a-908d-63753ac55e83;68274594;1;2;10;0;111814512;2025-10-01;2018-10-24;2025-10-01;0;0
29571666;49979364;2f1e6455-01a0-471a-994d-922036690b7e;75033987;3;2;10;0;111795635;2025-09-29;1900-01-01;2025-09-29;0;0
34420751;57832079;239757f1-51bb-4a49-a462-f410b081ac5d;86452891;1;2;10;0;111817431;2025-10-01;1900-01-01;2025-10-01;0;0
35679415;59882884;6dc1e0b9-0a66-4b34-8338-94fe394fc077;89437660;116;2;10;0;111810515;2025-09-30;2017-08-30;2025-09-30;0;0
43530937;72913478;b96c39b4-05ee-4af6-a7d6-bfbd77b8713b;108572478;1;2;10;0;111814508;2025-10-01;2018-10-24;2025-10-01;0;0
44359732;74264206;0489603d-270b-4072-93f2-72c360fa676a;110530725;7;2;10;0;111803890;2025-09-29;1900-01-01;2025-09-29;0;0
44359963;74264487;1bdd3772-ada9-4afa-b8c6-56b5048ab8a7;110531060;12;2;10;0;111803892;2025-09-29;1900-01-01;2025-09-29;0;0
44360642;74265286;b8003dbb-6bdf-4877-9075-786819df90f7;110532055;20;2;10;0;111803894;2025-09-29;1900-01-01;2025-09-29;0;0
106973143;162001843;63e48184-8352-4d7f-988f-be7bf6b9e090;583353685;1;2;10;0;111806778;2025-09-30;2024-01-09;2025-09-30;0;0
106973145;162001845;d4d45566-69d9-4d9f-8cfc-35f9ca9b613f;583353687;3;2;10;0;111806780;2025-09-30;2024-01-09;2025-09-30;0;0
107273711;162569803;b0db5e82-e5cd-4232-bde9-03e26012a496;590792643;2;2;10;0;111814510;2025-10-01;2024-02-22;2025-10-01;0;0
109919567;169258024;09f8942d-f777-4aa2-92be-67bb052e4207;613574477;1;2;10;0;111796038;2025-09-29;2024-12-27;2025-09-29;0;0
39096686;65622039;18ea4452-3a93-4277-8286-4b8c7eb910e3;97875627;1;2;10;0;111793631;2025-09-29;2016-10-21;2025-09-29;0;0
39096844;65622393;ac39770b-4b73-461c-a43a-9ea95eebd641;97876202;2;2;10;0;111793632;2025-09-29;2016-10-21;2025-09-29;0;0
28311727;47918641;ce2a3e7d-dcb1-4977-8114-a5fe63b03f4d;72035318;1;2;10;0;111793633;2025-09-29;1900-01-01;2025-09-29;0;0
28311561;47918412;3d02f9ce-b123-4b89-a167-5411390dfb8b;72034993;4;2;10;0;111793634;2025-09-29;1900-01-01;2025-09-29;0;0
36479858;61244366;0daca258-6555-42e4-ba0f-b9f47b73ea24;91463908;6;2;10;0;111794015;2025-09-29;2018-01-17;2025-09-29;0;0
36480041;61244752;57e8a880-fcb4-4d3e-a863-0d0c6bed8688;91464504;9;2;10;0;111794016;2025-09-29;2018-01-17;2025-09-29;0;0
36480080;61244833;8558d503-78ce-4ae7-9dab-7f04971d9e6a;91464650;2;2;10;0;111794017;2025-09-29;2018-01-17;2025-09-29;0;0
36480150;61244955;9143b534-49a6-4566-a937-640f531089dd;91464859;3;2;10;0;111794018;2025-09-29;2018-01-17;2025-09-29;0;0
36480157;61244973;e2db90ec-041d-4c56-8a08-23d88434afb9;91464882;7;2;10;0;111794019;2025-09-29;2018-01-17;2025-09-29;0;0
36480159;61244980;e501eccd-ba84-4a26-8ff5-d480fe5f165d;91464891;10;2;10;0;111794020;2025-09-29;2018-01-17;2025-09-29;0;0
36480164;61244987;f2c4c884-7e1b-4a21-b7c1-74593993e7ee;91464898;4;2;10;0;111794021;2025-09-29;2018-01-17;2025-09-29;0;0
36480167;61244994;f95b1044-0ad1-43a6-a4a4-5d957394b678;91464907;8;2;10;0;111794022;2025-09-29;2018-01-17;2025-09-29;0;0
36479593;61243935;09c0860f-29f1-4b6b-aa23-1769a4560f63;91463191;1;2;10;0;111794023;2025-09-29;2018-01-17;2025-09-29;0;0
36479866;61244386;0fe69993-511c-4b01-b70a-9a23fd573048;91463933;12;2;10;0;111794024;2025-09-29;2018-01-17;2025-09-29;0;0
36479870;61244392;450c56ea-0c3f-4e36-a4e5-c799876af9eb;91463942;11;2;10;0;111794025;2025-09-29;2018-01-17;2025-09-29;0;0
36479963;61244613;48729507-73c8-4195-9f43-822389039b42;91464282;5;2;10;0;111794026;2025-09-29;2018-01-17;2025-09-29;0;0
111794282;174914198;c1cf59c4-1481-475b-8910-b23a75d8eec7;689635044;2;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
18815881;32487051;3d08626f-5bbb-4c43-900f-bc37ac2e3615;49571503;1;2;10;0;111794344;2025-09-29;1900-01-01;2025-09-29;0;0
47799534;79921183;02b5e4e2-6acf-481a-ba99-e345755692de;118780843;2;2;10;0;111795052;2025-09-29;2017-03-27;2025-09-29;0;0
