ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1401669341;73602722;509180788;689649655;8;59:10:0407034:82;2025-09-29;2023-09-06;2025-09-29
1344394764;63223927;473735009;689644052;8;59:12:0390002:371;2025-09-29;2022-11-22;2025-09-29
1344657743;13745856;473997990;689795646;8;81:07:0093008:193;2025-10-01;2022-11-22;2025-10-01
1492607961;73423573;580555440;689717102;8;59:22:0020101:1753;2025-09-30;2023-12-29;2025-09-30
1492614959;47170125;580562443;689645923;8;59:37:0670101:2001;2025-09-29;2023-12-29;2025-09-29
1503160663;19818867;589960360;689816678;8;59:02:0000000:5389;2025-10-01;2024-02-13;2025-10-01
1541544290;167166955;606333074;689813617;8;59:24:1960101:580;2025-10-01;2024-11-06;2025-10-01
1629581310;83723310;654496316;689755513;8;59:05:0103003:377;2025-09-30;2025-06-25;2025-09-30
1644406112;4134577;689632128;0;8;59:16:1740101:266;2025-09-29;2025-09-29;2079-06-06
1644406127;174913148;689632176;0;1;5906;2025-09-29;2025-09-29;2079-06-06
1644406129;174913148;689632176;0;3;5959;2025-09-29;2025-09-29;2079-06-06
1644406131;174913148;689632176;0;6;57435000047;2025-09-29;2025-09-29;2079-06-06
1644406133;174913148;689632176;0;8;59:12:0290000:1159;2025-09-29;2025-09-29;2079-06-06
1644406135;174913148;689632176;0;13;577350001710000000420081000000000;2025-09-29;2025-09-29;2079-06-06
1644406137;174913149;689632178;0;1;5906;2025-09-29;2025-09-29;2079-06-06
1644406139;174913149;689632178;0;3;5959;2025-09-29;2025-09-29;2079-06-06
1644406141;174913149;689632178;0;6;57435000047;2025-09-29;2025-09-29;2079-06-06
1644406143;174913149;689632178;0;8;59:12:0290000:1160;2025-09-29;2025-09-29;2079-06-06
1644406145;174913149;689632178;0;13;577350001710000000420082000000000;2025-09-29;2025-09-29;2079-06-06
1644406148;68085178;689632181;0;8;59:24:2080107:515;2025-09-29;2025-09-29;2079-06-06
1644406114;63782064;689632129;0;8;59:24:2080104:236;2025-09-29;2025-09-29;2079-06-06
1644406116;25986704;689632153;0;19;1;2025-09-29;2025-09-29;2079-06-06
1644406147;7157680;689632180;0;8;59:24:1990101:4476;2025-09-29;2025-09-29;2079-06-06
1644406149;61938783;689632182;0;8;59:16:0530101:380;2025-09-29;2025-09-29;2079-06-06
1344369076;38432422;473709323;689632190;8;59:16:0060101:120;2025-09-29;2022-11-22;2025-09-29
1644406180;38432422;689632190;0;19;1;2025-09-29;2025-09-29;2079-06-06
1644406909;174913213;689632860;0;2;5906;2025-09-29;2025-09-29;2079-06-06
1644406911;174913213;689632860;0;4;5959;2025-09-29;2025-09-29;2079-06-06
1644406913;174913213;689632860;0;7;57735000271;2025-09-29;2025-09-29;2079-06-06
1644406915;174913213;689632860;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644406917;174913213;689632860;0;21;57735000;2025-09-29;2025-09-29;2079-06-06
1644406919;174913214;689632882;0;2;5906;2025-09-29;2025-09-29;2079-06-06
1644406921;174913214;689632882;0;4;5959;2025-09-29;2025-09-29;2079-06-06
1644406923;174913214;689632882;0;7;57735000271;2025-09-29;2025-09-29;2079-06-06
1644406925;174913214;689632882;0;15;144;2025-09-29;2025-09-29;2079-06-06
1644406927;174913214;689632882;0;21;57735000;2025-09-29;2025-09-29;2079-06-06
1644407086;174913231;689632912;0;2;5906;2025-09-29;2025-09-29;2079-06-06
1644407088;174913231;689632912;0;4;5959;2025-09-29;2025-09-29;2079-06-06
1644407090;174913231;689632912;0;7;57735000001;2025-09-29;2025-09-29;2079-06-06
1644407092;174913231;689632912;0;15;103;2025-09-29;2025-09-29;2079-06-06
1644407094;174913231;689632912;0;21;57735000;2025-09-29;2025-09-29;2079-06-06
1644407181;74500225;689632958;0;13;577350001810000001020008000000010;2025-09-29;2025-09-29;2079-06-06
1644407213;74502743;689632972;0;13;577350001810000001020016000000010;2025-09-29;2025-09-29;2079-06-06
1644414070;161310358;689634557;0;8;81:01:0420001:398;2025-09-29;2025-09-29;2079-06-06
1644414069;20887290;689634556;0;8;81:01:0350001:931;2025-09-29;2025-09-29;2079-06-06
1644414474;174914093;689634822;0;1;5918;2025-09-29;2025-09-29;2079-06-06
1644414476;174914093;689634822;0;6;57230000233;2025-09-29;2025-09-29;2079-06-06
1644414478;174914093;689634822;0;8;59:24:2030101:439;2025-09-29;2025-09-29;2079-06-06
