ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
245216570;170899795;1025625;642373552;57701000001;0;249587291;2025-09-29;2025-03-12;2025-09-29;0;1446971.95247217.1026752.1025625.170899795
33907366;65622039;65620162;97875627;57735000;0;0;2025-09-29;2016-10-21;2079-06-06;0;1446971.95247224.1025891.1028133.65620162.65622039
34085853;20843940;20842332;32597753;57714000;0;0;2025-09-29;2017-07-27;2079-06-06;0;1446971.95247219.1038369.1037604.20842332.20843940
34997904;29675296;29654870;45499715;57708000;0;0;2025-09-30;2017-08-30;2079-06-06;0;1446971.95247218.1026967.1025960.29654870.29675296
47837143;27657158;1032543;42614205;57701000001;0;0;2025-09-29;2015-10-05;2079-06-06;0;1446971.95247217.1026752.1032543.27657158
222586034;69610839;1047707;491540730;57546000320;91777865;0;2025-09-30;2023-01-10;2079-06-06;0;1446971.157679604.1042784.1047707.69610839
103769119;31198045;1027155;142955405;57558000001;96375658;0;2025-10-01;2020-03-31;2079-06-06;0;1446971.96160271.1026380.1027155.31198045
33864208;3906812;1032540;7605492;57531000256;0;0;2025-10-01;2019-02-21;2079-06-06;0;1446971.95247222.1019502.1032540.3906812
34352098;82855905;1022463;123078989;57532000001;0;0;2025-09-29;1900-01-01;2079-06-06;0;1446971.95247216.1026471.1022463.82855905
34352963;82890373;1022463;123128380;57532000001;0;0;2025-09-29;1900-01-01;2079-06-06;0;1446971.95247216.1026471.1022463.82890373
34353230;82892141;1022463;123131088;57532000001;0;0;2025-09-29;1900-01-01;2079-06-06;0;1446971.95247216.1026471.1022463.82892141
34057120;9591590;1040480;15930938;57514000106;0;0;2025-10-01;1900-01-01;2079-06-06;0;1446971.95247219.1037619.1040480.9591590
34189964;60579652;1018477;90438187;57532000001;0;0;2025-09-30;1900-01-01;2079-06-06;0;1446971.95247216.1026471.1018477.60579652
103769120;31199346;31198045;142967565;57658101;96375663;0;2025-10-01;2020-03-31;2079-06-06;0;1446971.96160271.1026380.1027155.31198045.31199346
222624614;93400710;1050907;491579714;57546000146;92124851;0;2025-09-30;2023-01-10;2079-06-06;0;1446971.157679604.1048419.1050907.93400710
225689879;14901503;1023429;495915559;57528000001;33944715;0;2025-10-01;2023-03-03;2079-06-06;0;1446971.96238924.1026617.1023429.14901503
112317151;100369541;1059905;179058929;57513000101;0;0;2025-09-29;2021-02-20;2079-06-06;0;1446971.96241026.1058641.1059905.100369541
222663255;86271364;1049089;491617600;57546000188;92562073;0;2025-09-30;2023-01-10;2079-06-06;0;1446971.157679604.1046069.1049089.86271364
115286665;102486426;1061570;218652690;57513000101;0;0;2025-09-30;2021-09-21;2079-06-06;0;1446971.96241026.1058641.1061570.102486426
116543299;61242751;1024900;258663750;57530000001;34036001;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1024900.61242751
229685156;161502856;1058869;575259900;57513000101;0;0;2025-09-30;2023-11-28;2079-06-06;0;1446971.96241026.1058641.1058869.161502856
247915972;173367791;160182921;655393010;57546000554;0;0;2025-09-30;2025-07-10;2079-06-06;0;1446971.157679604.1049263.160182921.173367791
248425237;173826074;1050477;656582451;57546000554;0;0;2025-09-30;2025-08-05;2079-06-06;0;1446971.157679604.1049263.1050477.173826074
249588242;174915136;1044217;689636885;57542000181;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.95247223.1049377.1044217.174915136
249586242;174913148;1028133;689632176;57735000171;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.95247224.1025891.1028133.174913148
249586243;174913149;1028133;689632178;57735000171;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.95247224.1025891.1028133.174913149
249586244;174913150;1039004;689632183;57530000199;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.103455285.1042787.1039004.174913150
249586273;174913179;1039586;689632261;57518000101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.100001191.1035010.1039586.174913179
249586308;174913214;1023988;689632882;57735000271;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.95247224.1023424.1023988.174913214
249586322;174913228;1024216;689632905;57735000171;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.95247224.1025891.1024216.174913228
249588245;174915139;1049401;689636891;57546000497;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.157679604.1044390.1049401.174915139
249588249;174915143;1051459;689636896;57546000119;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.157679604.1047851.1051459.174915143
116538385;47826768;47826659;258649327;57722000;34114750;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1027651.47824633.47826659.47826768
116543306;61244833;61242751;258642325;57722000;34036145;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1024900.61242751.61244833
116543308;61244973;61242751;258642315;57722000;34036131;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1024900.61242751.61244973
116543310;61244987;61242751;258642317;57722000;34036135;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1024900.61242751.61244987
116543300;61243935;61242751;258642319;57722000;34036137;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1024900.61242751.61243935
116543303;61244392;61242751;258642322;57722000;34036141;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1024900.61242751.61244392
116536538;42823332;42822993;258645525;57722000;34064947;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1026809.42821268.42822993.42823332
116543301;61244366;61242751;258642320;57722000;34036139;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1024900.61242751.61244366
116536537;42823199;42822993;258645524;57722000;34064943;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1026809.42821268.42822993.42823199
116536541;42823672;42822993;258645528;57722000;34064959;0;2025-09-29;2022-01-14;2079-06-06;0;1446971.103455285.1027304.1026809.42821268.42822993.42823672
110880141;90595253;1037661;174620688;57529000101;92009968;0;2025-09-29;2021-02-05;2079-06-06;0;1446971.100190593.1037637.1037661.90595253
249586916;174913815;1039586;689634199;57518000101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.100001191.1035010.1039586.174913815
249586919;174913818;1039586;689634207;57518000101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.100001191.1035010.1039586.174913818
249586922;174913821;1039586;689634222;57518000101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1446971.100001191.1035010.1039586.174913821
