ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27407827;Об аннулировании, присвоении адресов объектам адресации по ул. Первомайская в с. Сосново;2025-09-26;702-па;24;2;2025-09-29;УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ АДМИНИСТРАЦИИ ЧАЙКОВСКОГО ГОРОДСКОГО ОКРУГА;2025-09-29
27407842;О присвоении и изменении адресов объектов адресации;2025-09-26;699-па;24;2;2025-09-29;УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ АДМИНИСТРАЦИИ ЧАЙКОВСКОГО ГОРОДСКОГО ОКРУГА;2025-09-29
27407823;О присвоении адреса зданию по ул. Первомайская в д. Малый Букор;2025-09-26;701-па;24;2;2025-09-29;УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ АДМИНИСТРАЦИИ ЧАЙКОВСКОГО ГОРОДСКОГО ОКРУГА;2025-09-29
27408260;О присвоении адресов объектам адресации;2025-09-26;2165;24;2;2025-09-29;УПРАВЛЕНИЕ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ КУНГУРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;2025-09-29
27408263;О присвоении и аннулировании адреса объекту адресации;2025-09-29;H-28945056;21;3;2025-09-29;АДМИНИСТРАЦИЯ ВЕРЕЩАГИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;2025-09-29
27408271;О присвоении адресов объектам адресации;2025-09-29;2169;24;2;2025-09-29;УПРАВЛЕНИЕ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ КУНГУРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;2025-09-29
27408302;О внесении изменений по объекту адресации;2025-09-29;T-28945606;21;1;2025-09-29;АДМИНИСТРАЦИЯ ВЕРЕЩАГИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;2025-09-29
27408329;О присвоении адреса объекту адресации;2025-09-29;H-28945963;21;3;2025-09-29;АДМИНИСТРАЦИЯ ВЕРЕЩАГИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;2025-09-29
27408333;Об аннулировании адреса объектов адресации и присвоении нового адреса объектам адресации;2025-09-25;059-22-01-03-2587;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ АДМИНИСТРАЦИИ ГОРОДА ПЕРМИ;2025-09-29
27408321;Об аннулировании адреса объекта адресации и присвоении нового адреса объекту адресации;2025-09-25;059-22-01-03-2588;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ АДМИНИСТРАЦИИ ГОРОДА ПЕРМИ;2025-09-29
