OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
100819178;d8096aca-2187-4a4c-827f-69520ffe62a9;689748269;1;9;2021-04-05;2025-09-30
28784793;79bd08b9-484f-435e-b146-610469e509c0;689796446;1;10;2019-07-10;2025-10-01
29543873;39c49788-f48e-43fa-9f96-51e5c08fd344;689793619;1;11;2018-12-05;2025-10-01
29554853;c6ab0923-7e4c-44e4-8c11-d4c27238c6f0;689793620;1;11;2018-12-05;2025-10-01
29584126;6dee6c3e-0723-47dc-a3c4-f64f2c6f3029;689748633;0;11;2017-08-30;2025-09-30
29584439;8298e7b9-5570-41b7-a1c7-4ffe9fef3b7f;689748637;0;11;2017-08-30;2025-09-30
29588848;533f4d7c-73f3-44f0-9913-c6e4199ae8ed;689792870;1;11;2017-07-26;2025-10-01
29612079;61687538-328d-4fc5-818c-4d6e9165eb34;689793568;1;11;2017-07-26;2025-10-01
29636681;f9ee350d-11ff-4c90-8e99-b0f53ce23d60;689748589;0;11;2017-07-26;2025-09-30
29636194;2610636e-d2aa-4a5d-a93d-3842eeae91d9;689748573;0;11;2017-07-26;2025-09-30
29655867;38bffffd-0aa1-4d61-b0fe-e160f02654b2;689793633;1;11;2017-07-26;2025-10-01
29656537;a26113f8-e2de-49a7-aee7-5ca1b9eff56c;689793635;1;11;2017-07-26;2025-10-01
29675296;bfbde672-340a-46c3-bc0b-0fe38b5b3a0b;689748686;0;11;2017-08-30;2025-09-30
29727172;19166dad-56b8-43a0-ae64-779801dc0403;689793471;1;11;2017-08-30;2025-10-01
29744186;f4409da2-92d4-46b1-96a9-ec5007e689dc;689793473;1;11;2017-08-30;2025-10-01
30434575;4df841f9-1f1c-4a73-85bd-3a0d1c2a1b4e;689752486;1;11;2017-09-06;2025-09-30
30456932;4674bf90-b7fd-49db-a612-bdbc4b536037;689812961;0;11;2018-08-03;2025-10-01
30469968;f48973a8-3a7b-44eb-bf71-8fe2dfc60e37;689752650;1;11;2017-07-18;2025-09-30
30539624;84c4bbb1-ad19-4fd6-b086-9c08be380aec;689752698;1;11;2019-04-08;2025-09-30
30647626;03f92a74-3a74-4b44-a7c5-a609eeb38cd2;689752630;1;11;2017-07-18;2025-09-30
30719459;55039da5-818f-4566-8c16-8f2fb5940bb4;689752727;1;11;2017-07-18;2025-09-30
30782258;9639ebbd-e15a-434c-991c-22be01b36800;689752083;1;11;2017-09-06;2025-09-30
30798696;bb902a1b-6902-4ebc-8582-375623e60dd7;689752072;1;11;2017-09-06;2025-09-30
30813790;41c42953-9d3e-4491-b3a9-b7001ed1fa8d;689752795;1;11;2017-07-18;2025-09-30
30816319;8c9de9fc-21da-4c03-b0be-71b475ed6726;689752796;1;11;2017-07-18;2025-09-30
169215637;b0302e0d-a238-42c9-bbef-7c1a7fefaa7b;689644243;1;12;2024-12-26;2025-09-29
32487051;3d08626f-5bbb-4c43-900f-bc37ac2e3615;689635522;0;11;2019-04-08;2025-09-29
33016540;a6614c05-64a4-418e-b2a0-4c07441c1b9a;689813484;0;11;2019-07-19;2025-10-01
171326968;10634ef3-2d44-48fe-a4c3-f74945d71003;689799037;0;9;2025-03-28;2025-10-01
35154793;32a24106-1612-4f54-95da-d0b04695885b;689814385;0;10;2017-11-27;2025-10-01
12931306;24a28550-5156-41b7-b049-ab899d939199;689795533;0;11;2018-01-26;2025-10-01
59850168;e1d9a234-fee2-44fe-92d7-d66a03379b0e;689709442;0;10;2018-10-08;2025-09-30
71883314;3d51ce58-c25b-4291-8e78-f05c52a00dd5;689740818;1;10;2019-07-10;2025-09-30
35148664;02a4a37e-8e96-422a-9bad-7e0592106c85;689814329;0;10;2017-11-27;2025-10-01
54996817;42b48afe-2d87-487e-813b-08d89b6af492;689792731;1;10;2019-07-10;2025-10-01
56760152;72b6327d-4a09-4488-a372-5f632a774e03;689792969;1;10;2019-07-10;2025-10-01
58105327;ba070540-008a-419c-b08c-5b79fec4799f;689795885;1;10;2019-07-10;2025-10-01
1028763;9252b724-5144-4146-ba87-9ca82560a3d5;689701180;1;6;2017-11-16;2025-09-30
48089100;43bf7538-adf3-4b1c-b0ce-a02e24e5f70e;689679030;0;10;2019-07-10;2025-09-29
49486951;4dbafef0-0c11-4cc6-a861-17bdd4a69122;689709976;1;10;2019-07-10;2025-09-30
49543969;40a5fc16-9114-4987-ad23-047f4fb92dbd;689712109;1;10;2019-07-10;2025-09-30
1535496;aa8a06c7-6ebb-4999-b99e-f684312d5221;689813288;0;10;2019-07-10;2025-10-01
3904102;4840160a-8ea5-40ea-b3b0-518900f1f98b;689813983;0;10;2019-07-10;2025-10-01
3905173;3e5fe707-fa25-4ecb-aa65-58cbe3739c01;689813984;0;10;2019-07-10;2025-10-01
3906408;4a1c0e18-79cf-4144-a576-649421778548;689813986;0;10;2019-07-10;2025-10-01
3907280;07f16b47-8e71-48ce-a4a5-768483624429;689813989;0;10;2019-07-10;2025-10-01
53393133;412bcc00-92de-4b63-a1b4-9a4d36185157;689712174;1;10;2019-07-10;2025-09-30
