ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
51115992;174914779;bb6a2f4d-59c8-4433-875d-75c7e16f072d;689636192;20/34;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51115994;174914781;7a577458-2c02-4919-82b0-9960565c31af;689636194;18/36;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51115996;174914783;274ca431-d1b5-4c6d-ad7c-bce731fef733;689636196;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51115998;174914785;b2c8f40f-2654-439a-8085-37ddd167270c;689636198;14;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116000;174914787;419c924f-07d6-435f-8237-f95186d0197d;689636200;12;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116002;174914789;4426091b-1ec0-474c-9ff7-2a55e445b8ee;689636202;10;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116004;174914791;c500ba54-6baa-42a4-8d1d-80426c414c6a;689636204;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116006;174914793;cd3be1e7-0f5c-4d54-9aaa-c3a18c25f132;689636206;6;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116008;174914795;3f2059e4-6e2e-430e-8f25-b73b0c52ea21;689636208;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116010;174914797;838b5462-ef5d-4b3d-93f7-16c0ad86c7de;689636210;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116012;174914805;45d58ee8-6789-4bbe-8b60-b1d6caf921c8;689636322;99;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116014;174914807;c7c78aed-1f6a-4688-88c0-f7f24e937821;689636324;97/111;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116016;174914809;6f75d76b-14c7-49eb-9ca3-07d090b36fbc;689636326;95/113;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116018;174914811;ee2e3f7a-be67-4313-b7a8-874d2a16b83b;689636328;92;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116020;174914813;04f69f98-85cd-42a1-958e-43efe14c313c;689636330;90;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116022;174914815;a7ed1917-052c-4fa0-a7fb-8fe6e77e5ad1;689636332;88;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116024;174914817;6349dcab-93fb-4264-89c1-dda31548822c;689636334;86;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116026;174914819;d6ec5548-2994-4c1f-b867-3be838c1508a;689636336;84;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116028;174914821;ed6e08e0-c2f2-4b73-aeaf-1a569439ebaa;689636338;82;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116030;174914823;474d7bd9-4951-4398-8fd4-deb64773a010;689636340;80;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116032;174914825;daa004a6-8c1c-40ac-a35c-4f15f184af57;689636342;26;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116034;174914827;c2ab84f0-4c92-43f3-901a-b4d6e734acc5;689636344;24/30;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116036;174914829;3a3ddfad-f9ef-4b63-bcab-60cd6be162be;689636346;22/32;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116038;174914831;74dcb085-bea1-4d37-945c-c476246b6814;689636348;78;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116040;174914833;0f02efcf-33f6-4dc6-954e-d64e1e07ca72;689636350;76;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116042;174914835;1fe4479d-cd2a-4c2b-a380-ea152a18221c;689636352;74;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116044;174914837;7e11b23a-e5ec-48f0-995d-20fda74f4e2a;689636354;72;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116046;174914839;bc5dce17-6e98-43c1-8c87-8af009ba8d9d;689636356;70;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116048;174914841;54a7e204-cf62-49d9-8369-a75e8fa69c12;689636358;68;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116050;174914843;6bd414a7-68ae-4a97-adbb-f67793f7011e;689636360;66;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116052;174914845;b8f55599-50a9-4b4b-a85f-919e073a45e9;689636362;64;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116054;174914847;474e15ef-6d37-4a15-a547-c7bd945a1327;689636364;62;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116056;174914849;c8476011-1a3d-4c52-92f6-c0bf6716b3db;689636366;60;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116058;174914851;06cd9955-3f07-48cd-b075-1fca9cecf389;689636368;58;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116060;174914853;f2f1efc9-90de-4d7a-a66f-af8c32c7f473;689636370;56;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116062;174914855;40f15478-c62c-407e-81d2-3684e8f0d137;689636372;54;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116064;174914857;994b3070-e002-45c3-89a8-585e924b13c0;689636374;52;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116066;174914859;d858b91a-79f0-4cf1-b498-0f85dc1011b5;689636376;50;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116068;174914861;9eae4ea4-b96c-484d-82c5-0c25b7c35346;689636378;48;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116070;174914863;c5aa8cb1-bc19-410f-91b5-771533149806;689636380;46;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116072;174914865;c36064d7-34ff-4450-a30c-69bc717de2a5;689636382;44;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116074;174914867;7b870a53-9f96-4941-9f7e-72e0d4f650d9;689636384;42;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116076;174914869;d0b00ccc-e824-44fe-b138-2b3593b2bb3a;689636386;40;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116078;174914871;86d36031-a2e5-43ba-a4bd-825e6e2359c2;689636388;38;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116080;174914873;8fca3b6e-7db5-4d6b-ac8b-873972daa96e;689636390;29;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116082;174914875;54b1b4cd-f3e7-4f98-8b39-ae399d21022f;689636392;27;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116084;174914881;37b6fb94-1dff-42a9-89b9-a54cca26b776;689636420;103/105;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116086;174914883;d03a5f1d-2a6e-4c53-9e15-f94a72332671;689636422;101/107;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116088;174914885;7c620547-6d30-4b6a-bae5-36ded477ab34;689636424;154;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116090;174914887;a73b0c5c-1833-48bc-9e98-1ccaadce934a;689636426;152;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116092;174914889;a2c6a674-1bf4-46eb-814d-e2a7ee1b8f2f;689636428;150/244;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116094;174914891;d0d768a9-d25c-4993-868b-7da1dc89b686;689636430;148;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116096;174914893;00638239-60a5-43e7-888b-2746a33a59c6;689636432;146;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116098;174914895;0fef1e13-2f7d-4c3b-91e4-924453f29755;689636434;144;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116100;174914897;4acd7928-9fa9-4383-adf9-543d9c9b75f3;689636436;142;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116102;174914899;90df8c01-47bb-42f5-861e-90bda96fac85;689636438;140;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116104;174914901;66d3722c-b324-4498-8aad-bdb46314b6c4;689636440;138;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116106;174914903;d1e0fa28-8be4-493f-b305-1a541c65fdd0;689636442;136;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116108;174914905;4effd09e-b4d3-4560-b55a-ef3b200a679c;689636444;134;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116110;174914907;8d628a62-309b-4948-8981-3a99374e6fa6;689636446;132;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116112;174914909;b732dc50-b91d-4770-b60a-63106f910a52;689636448;130;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116114;174914911;6bea3bd9-2aab-4e9f-8d97-6537cc107947;689636450;128;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116116;174914913;7d6a64d5-ace8-43b7-8bc8-670e7e64fc77;689636452;126;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116118;174914915;b8c5a901-6d50-4e0e-934a-29fb3d9d8b91;689636454;124;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116120;174914917;e113a3b8-aecf-4a66-bc13-4131d03f5071;689636456;122;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116122;174914919;7e821c02-c7d7-4851-ad9f-9b111115ce5c;689636458;120;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116124;174914921;cdaba99a-2b5f-4315-9d45-e270c4957798;689636460;118;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116126;174914923;cb58f84b-6beb-41ed-b322-ff54c66863f3;689636462;116;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116128;174914925;a16fb7e1-2b42-4050-8ee0-614ef58a38e2;689636464;114;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116130;174915913;8113d3b8-e859-4de4-8a89-c77a2291621d;689638316;155;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116132;174915915;87812ff9-3c70-48e5-b23e-a0930c05b38c;689638318;231;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116134;174915917;2435c725-7701-4a83-a7d2-09fa71f66625;689638320;229;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116136;174915919;8360f6f2-80ce-4f88-b3fc-65442328c5d0;689638322;227;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116138;174915921;1ffb36ae-e314-4a66-b367-5983a4e5bb64;689638324;225;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116140;174915923;fcac2784-41ba-4390-a39c-ee7a46357bb9;689638326;223;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116142;174915925;6fabfc85-a52c-4d7d-924c-34e0a66a702a;689638328;221;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116144;174915927;ac467e2f-e554-432c-ade8-fe8c7d42a484;689638330;219;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116146;174915929;72f7368f-54cf-4804-8675-cc624412e41b;689638332;217;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116148;174915931;4186a2b9-805d-4b86-b463-622df7d5db63;689638334;215;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116150;174915933;f6fa7e63-8edd-4d08-aff7-f8ce9fbc8e81;689638336;213;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116152;174915935;b2767873-8764-4611-8fff-877c14ad5a7c;689638338;211;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116154;174915937;6be56adf-1326-438d-aec1-3013e366679b;689638340;209;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116156;174915939;06ea7fb2-3931-4cf1-ab33-c34bbd6806e5;689638342;207;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116158;174915941;945c2534-6904-4792-9b4d-fbe2332e4251;689638344;205;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116160;174915943;e383b689-e336-48d5-af42-ded538a57b39;689638346;203;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116162;174915945;d74c1335-febd-436f-9479-5821f5b5afcf;689638348;201;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116164;174915947;fb5776ac-5377-4896-ae16-e82ce7086dc5;689638350;199;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116166;174915949;35be8860-0bd0-4abe-84b7-f9cd3b245cc5;689638352;197;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116168;174915951;48241188-5665-416a-a496-aa4a467a0d98;689638354;195;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116170;174915953;3e01980a-c603-4c99-b5da-51e0521bed38;689638356;193;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116172;174915955;0091ec8a-2d13-44b6-abb6-2aa3c05eeddf;689638358;191;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116174;174915957;6b2b6efb-c4ce-4cd7-858d-a557ce6f1193;689638360;189;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116176;174915959;bfa364d9-0a8e-471a-8174-2bf4ac2e882b;689638362;187;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116178;174915961;d80ea631-356f-42bd-8d0c-02089a0cdf55;689638364;185;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116180;174915963;af2381de-a893-49a7-b50b-ab55adf6356a;689638366;183;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116182;174915965;829b99d3-ea8c-4d07-8dcb-ecf8ca9ede6d;689638368;181;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116184;174915967;71e2bb52-5343-4b2a-8c58-2cd6150601bd;689638370;179;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116186;174915969;0ce1b93f-3d95-4332-92de-73309a85fc0e;689638372;177;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116188;174915971;5b18a137-3c87-4f09-b881-0f6064a7bca1;689638374;175;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116190;174915973;0b5c0a89-0657-4e7c-ad2d-022e3a8bdb9c;689638376;173;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116192;174915975;d275dc4a-f854-4239-8b8c-cc37128ebd67;689638378;171;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116194;174915977;02c6d875-a7c9-4658-bb1f-d9ae12b498d4;689638380;169;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116196;174915979;b1cd088a-5baa-4f6c-b546-7f9dd2271293;689638382;167;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116198;174915981;62ebeb30-4afe-4990-87e9-fb4c678022fc;689638384;165;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116200;174915983;9ed18e66-2694-4302-a84c-c9ad3cd3b868;689638386;163;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116202;174915985;c494c0d0-b8c8-4a86-bf72-e4836bb74cdf;689638388;161;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116204;174915987;b8c9e961-6a29-4816-afb0-726247530058;689638390;159;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
51116206;174915989;45147a27-d78b-491f-93f4-f0d711c7e64e;689638392;157;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
