ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1398442167;66825100;507629043;689796856;8;61:24:0012256:90;2025-10-01;2023-08-03;2025-10-01
1398475554;62700998;507639341;689808397;8;61:24:0014015:76;2025-10-01;2023-08-04;2025-10-01
1399387193;84015931;508144552;689687798;8;61:41:0020128:117;2025-09-29;2023-08-18;2025-09-29
1400173738;14716071;508558320;689819062;8;61:24:0013249:102;2025-10-01;2023-08-29;2025-10-01
1400173786;14786572;508558361;689819141;8;61:24:0013312:156;2025-10-01;2023-08-29;2025-10-01
1400180324;57853071;508561193;689808555;8;61:24:0000000:4583;2025-10-01;2023-08-29;2025-10-01
1401254295;160183577;508982797;689809555;8;61:25:0601001:3806;2025-10-01;2023-08-31;2025-10-01
1476846483;17704341;571978551;689809675;8;61:24:0013191:83;2025-10-01;2023-11-03;2025-10-01
1344909272;64622815;474249522;689729587;8;61:26:0180601:1183;2025-09-30;2022-11-22;2025-09-30
1345082873;81821361;474423121;689799373;8;61:24:0013291:274;2025-10-01;2022-11-22;2025-10-01
1345093871;19548334;474434118;689722956;8;61:11:0070101:1018;2025-09-30;2022-11-22;2025-09-30
1345125476;78113654;474465723;689819962;8;61:24:0013296:89;2025-10-01;2022-11-22;2025-10-01
1345154273;14313351;474494520;689748903;8;61:26:0180101:4436;2025-09-30;2022-11-22;2025-09-30
1345338504;70602458;474678751;689748559;8;61:26:0180101:7542;2025-09-30;2022-11-22;2025-09-30
1345349601;47918720;474689848;689808757;8;61:24:0012274:194;2025-10-01;2022-11-22;2025-10-01
1345421721;35905293;474761957;689710855;8;61:41:0020109:133;2025-09-30;2022-11-23;2025-09-30
1346250903;30817322;475591138;689819201;8;61:10:0060101:2131;2025-10-01;2022-11-23;2025-10-01
1346251764;14758903;475591998;689819146;8;61:24:0013324:136;2025-10-01;2022-11-23;2025-10-01
1346251993;62744805;475592228;689808506;8;61:24:0014016:336;2025-10-01;2022-11-23;2025-10-01
1346252171;13137800;475592406;689808303;8;61:24:0012294:144;2025-10-01;2022-11-23;2025-10-01
1346253804;78240613;475594039;689819963;8;61:24:0013297:172;2025-10-01;2022-11-23;2025-10-01
50811782;6713633;11707281;689709299;15;30;2025-09-30;2017-09-21;2025-09-30
1379860619;72903155;499357094;689746098;8;61:10:0100152:373;2025-09-30;2023-04-18;2025-09-30
1384260523;83605747;501363192;689732782;8;61:22:0030101:1029;2025-09-30;2023-04-26;2025-09-30
1384260543;33257047;501363212;689808224;8;61:21:0010128:280;2025-10-01;2023-04-26;2025-10-01
758383078;72222808;218789106;689696139;8;61:36:030101:0066;2025-09-29;2021-09-28;2025-09-29
1484050830;68295075;574746956;689796127;8;61:22:0040101:424;2025-10-01;2023-11-20;2025-10-01
1484624098;102424716;575000020;689809546;8;61:25:0601001:4014;2025-10-01;2023-11-23;2025-10-01
1484637338;79675103;575006653;689678981;8;61:25:0101232:5567;2025-09-29;2023-11-23;2025-09-29
1484656943;158478446;575015442;689678950;8;61:25:0101401:334;2025-09-29;2023-11-23;2025-09-29
1484657134;158478261;575015588;689675632;8;61:25:0600601:2952;2025-09-29;2023-11-23;2025-09-29
1484674847;76920776;575023852;689675357;8;61:25:0101243:5441;2025-09-29;2023-11-23;2025-09-29
1484676570;76924067;575024558;689675416;8;61:25:0101243:6002;2025-09-29;2023-11-23;2025-09-29
1485258541;2686976;575335705;689817763;8;61:12:0100113:166;2025-10-01;2023-11-29;2025-10-01
1485761379;158548576;575590787;689679406;8;61:25:0601001:5003;2025-09-29;2023-12-04;2025-09-29
1486456306;55515944;575956241;689809722;8;61:24:0014253:280;2025-10-01;2023-12-07;2025-10-01
1393926739;22521139;505110958;689638298;8;61:10:0100152:22;2025-09-29;2023-06-05;2025-09-29
1395265368;45931625;506149213;689638249;8;61:10:0000000:3881;2025-09-29;2023-06-13;2025-09-29
