ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;ROOMTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
50687603;174931358;2675f0c3-467c-4a77-a44b-06088e188240;689671247;66;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687605;174931360;6a302158-5311-4af4-a619-4db4077c07d9;689671249;65;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687607;174931362;cab11403-0ae4-491d-a633-30fea5b291ea;689671251;63;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687609;174931364;cc916d4d-db41-4976-b71e-4c4c0e43baf1;689671253;61;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687621;174937633;187b008d-e737-4a08-947a-145d5e9d0807;689683484;2;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687702;174960046;61c5c6dc-1de9-45c2-82e4-2f9a5e71a621;689735112;15;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687719;174962612;3c7ba3c2-7e2f-4de1-97ad-dd2ced3f9d92;689741180;9;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687718;174962604;4b89862f-479e-4641-acbc-083b5fe8c00b;689741171;11;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
50687835;174991525;f8c90834-f637-4b92-bc9f-329637a83fa9;689819203;13;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687837;174991527;3f98ed79-33c8-47ad-9270-9ab67de4c1c6;689819205;4;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687841;174991565;15127eac-218a-4530-adac-10065ad05ff9;689819248;18;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687843;174991567;dd1f1bac-6b87-43d3-b8f0-ee5de0f1ec96;689819250;15;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687845;174991593;c114a67b-c000-412f-bc83-0ca65c086c89;689819278;13-14;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687847;174991595;04f42341-0662-4e37-ba5d-4f55005165f2;689819280;9;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
50687849;174991922;3f77568d-bb14-40b0-b42f-9bc07ba7c4e2;689819891;3-4;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
