ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644511581;174928398;689664193;0;1;6200;2025-09-29;2025-09-29;2079-06-06
1644511583;174928398;689664193;0;3;6215;2025-09-29;2025-09-29;2079-06-06
1644511585;174928398;689664193;0;6;61227876013;2025-09-29;2025-09-29;2079-06-06
1644511587;174928398;689664193;0;10;62014000103000200;2025-09-29;2025-09-29;2079-06-06
1644511589;174928398;689664193;0;13;616274761160000000101;2025-09-29;2025-09-29;2079-06-06
1644602917;174940932;689691868;0;1;6200;2025-09-29;2025-09-29;2079-06-06
1644602919;174940932;689691868;0;3;6215;2025-09-29;2025-09-29;2079-06-06
1644602921;174940932;689691868;0;6;61227806003;2025-09-29;2025-09-29;2079-06-06
1644602923;174940932;689691868;0;10;62014000042000900;2025-09-29;2025-09-29;2079-06-06
1644602925;174940932;689691868;0;13;616274061160022000001;2025-09-29;2025-09-29;2079-06-06
1644930916;174980011;689796022;0;1;6200;2025-10-01;2025-10-01;2079-06-06
1644930918;174980011;689796022;0;3;6215;2025-10-01;2025-10-01;2079-06-06
1644930920;174980011;689796022;0;6;61227806006;2025-10-01;2025-10-01;2079-06-06
1644930922;174980011;689796022;0;10;62014000069001900;2025-10-01;2025-10-01;2079-06-06
1644930924;174980011;689796022;0;13;616274061260031000001;2025-10-01;2025-10-01;2079-06-06
