ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
55502955;72551085;1112232;108036711;62;0;247055379;2025-09-29;1900-01-01;2025-09-29;0;1113521.1112785.1112232.72551085
55678110;87963326;1117434;130169334;62;0;247043721;2025-09-29;2018-12-12;2025-09-29;0;1113521.1112785.1116998.1117434.87963326
55678240;88009535;1117434;130225871;62;0;247043690;2025-09-29;2018-12-12;2025-09-29;0;1113521.1112785.1116998.1117434.88009535
63221486;50686855;1112745;76047300;62;0;0;2025-09-29;1900-01-01;2079-06-06;0;1113521.1116743.1118038.1112745.50686855
63726264;40632532;1122403;61485140;62;0;0;2025-10-01;1900-01-01;2079-06-06;0;1113521.1118337.1118388.1122403.40632532
68942489;73236818;1125436;109043559;62;0;0;2025-10-01;1900-01-01;2079-06-06;0;1113521.1129776.1119506.1125436.73236818
113135176;96526289;1115857;148451324;62;0;0;2025-09-29;2020-04-28;2079-06-06;0;1113521.1120722.1122729.1115857.96526289
244622772;172650774;172619611;647181756;62;0;247100078;2025-10-01;2025-06-03;2025-10-01;0;1113521.1134531.1125088.172619611.172650774
244807089;172832831;172619611;647504049;62;0;247100074;2025-10-01;2025-06-11;2025-10-01;0;1113521.1134531.1125088.172619611.172832831
247028927;174916228;1116031;689638710;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113613.1116031.174916228
112542472;96431877;1116070;146187680;62;0;0;2025-09-29;2020-04-21;2079-06-06;0;1113521.1113613.1116070.96431877
247030740;174918025;1118835;689642938;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918025
247030742;174918027;1118835;689642940;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918027
247030744;174918029;1118835;689642942;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918029
247030746;174918031;1118835;689642944;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918031
247030748;174918033;1118835;689642946;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918033
247030750;174918035;1118835;689642948;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918035
247030752;174918037;1118835;689642950;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918037
247030754;174918039;1118835;689642952;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918039
247030756;174918041;1118835;689642954;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918041
247030758;174918043;1118835;689642956;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918043
247030760;174918045;1118835;689642958;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918045
247030762;174918047;1118835;689642960;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1118835.174918047
63301504;60512162;1122822;90335143;62;0;0;2025-09-29;2019-07-15;2079-06-06;0;1113521.1116743.1122327.1122822.60512162
63216126;55032501;1117537;82314137;62;0;0;2025-09-29;1900-01-01;2079-06-06;0;1113521.1116743.1117537.55032501
63216116;55053797;1117537;82344263;62;0;0;2025-09-29;1900-01-01;2079-06-06;0;1113521.1116743.1117537.55053797
63230529;76570174;1119718;113901636;62;0;0;2025-09-29;2015-02-18;2079-06-06;0;1113521.1116743.1118038.1119718.76570174
247032130;174919409;1112848;689645379;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919409
247032132;174919411;1112848;689645381;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919411
247032134;174919413;1112848;689645383;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919413
247032136;174919415;1112848;689645385;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919415
247032138;174919417;1112848;689645387;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919417
247032140;174919419;1112848;689645389;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919419
247032142;174919421;1112848;689645391;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919421
247032144;174919423;1112848;689645393;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919423
247032146;174919425;1112848;689645395;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919425
247032148;174919427;1112848;689645397;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919427
247032150;174919429;1112848;689645399;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919429
247032152;174919431;1112848;689645401;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919431
247032154;174919433;1112848;689645403;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919433
247032156;174919435;1112848;689645405;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919435
247032158;174919437;1112848;689645407;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919437
247032160;174919439;1112848;689645409;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1112848.174919439
247032179;174919458;1116566;689645432;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1116566.174919458
247032221;174919500;1116033;689645475;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1116033.174919500
247032223;174919502;1116033;689645477;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1116033.174919502
247032181;174919460;1116566;689645434;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1116566.174919460
247032183;174919462;1116566;689645436;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1116566.174919462
247032185;174919464;1116566;689645438;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1116566.174919464
247032187;174919466;1116566;689645440;62;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.1113577.1116566.174919466
