ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
240945997;40633647;40632532;616615909;61612101;95869717;249588939;2025-09-29;2025-01-13;2025-09-29;0;1113521.169399558.1118388.1122403.40632532.40633647
113094910;100870278;1120061;191249695;61615422126;0;0;2025-09-29;2021-04-08;2079-06-06;0;1113521.95248041.95248046.1116144.1120061.100870278
93652020;72512035;1112232;107977178;61634496116;0;249695530;2025-10-01;2018-12-27;2025-10-01;0;1113521.95247882.95247899.1112232.72512035
94120172;87964953;1117434;130171327;61634412121;0;249610662;2025-09-29;2018-12-12;2025-09-29;0;1113521.95247882.95247886.1116998.1117434.87964953
247769371;173284680;1113934;655035834;61634483101;0;0;2025-09-29;2025-07-04;2079-06-06;0;1113521.95247882.95247896.1114516.1113934.173284680
247258867;172832837;172619611;647504055;61658475121;0;249689634;2025-10-01;2025-06-11;2025-10-01;0;1113521.95247826.95247838.1125088.172619611.172832837
247258860;172832830;172619611;647504048;61658475121;0;249689637;2025-10-01;2025-06-11;2025-10-01;0;1113521.95247826.95247838.1125088.172619611.172832830
249589314;174916203;1118271;689638678;61542000145;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.162161327.1121513.1118271.174916203
249589339;174916228;1116031;689638710;61542000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.162161327.1113613.1116031.174916228
249591152;174918025;1118835;689642938;61701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.95247960.1113577.1118835.174918025
249591154;174918027;1118835;689642940;61701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.95247960.1113577.1118835.174918027
249591156;174918029;1118835;689642942;61701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.95247960.1113577.1118835.174918029
249591158;174918031;1118835;689642944;61701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.95247960.1113577.1118835.174918031
249591160;174918033;1118835;689642946;61701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.95247960.1113577.1118835.174918033
249591162;174918035;1118835;689642948;61701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.95247960.1113577.1118835.174918035
249591164;174918037;1118835;689642950;61701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.95247960.1113577.1118835.174918037
249591166;174918039;1118835;689642952;61701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1113521.95247960.1113577.1118835.174918039
