ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27409858;Об аннулировании адреса объекта адресации;2025-09-26;552;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - ЗАХАРОВСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН РЯЗАНСКОЙ ОБЛАСТИ;2025-09-26
27410292;О присвоении адреса объекту адресации;2025-09-26;95;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - КИРИЦКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ СПАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЯЗАНСКОЙ ОБЛАСТИ;2025-09-29
27410781;О присвоении адреса объектам адресации;2025-09-25;145;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - ЛИСТВЯНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ РЯЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЯЗАНСКОЙ ОБЛАСТИ;2025-09-29
27410956;О присвоении адреса объекту адресации;2025-09-24;1021;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - ОКСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ РЯЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЯЗАНСКОЙ ОБЛАСТИ;2025-09-29
27411257;О присвоении адресов объектам адресации;2025-09-22;775;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - ДУБРОВИЧЕСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ РЯЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЯЗАНСКОЙ ОБЛАСТИ;2025-09-29
27411711;О присвоении адреса объекту адресации;2025-09-22;240;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - ТУРЛАТОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ РЯЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЯЗАНСКОЙ ОБЛАСТИ;2025-09-29
27411989;О присвоении наименования адресообразующему элементу;2025-09-25;84;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - ПИОНЕРСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ РЫБНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЯЗАНСКОЙ ОБЛАСТИ;2025-09-29
27412197;Присвоение адреса объектам адресации;2025-09-26;547;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - ВЫШГОРОДСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ РЯЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЯЗАНСКОЙ ОБЛАСТИ;2025-09-29
27412920;О присвоении адреса объекту адресации земельному участку;2025-09-29;56;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - ТРОИЦКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ СПАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЯЗАНСКОЙ ОБЛАСТИ;2025-09-29
27412965;О присвоении адреса объекту адресации;2025-09-29;57;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - ТРОИЦКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ СПАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЯЗАНСКОЙ ОБЛАСТИ;2025-09-29
