ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644603101;174940950;689691922;0;1;6320;2025-09-29;2025-09-29;2079-06-06
1644603103;174940950;689691922;0;6;36250844000;2025-09-29;2025-09-29;2079-06-06
1644603105;174940950;689691922;0;10;63027000000011500;2025-09-29;2025-09-29;2079-06-06
1644603107;174940950;689691922;0;13;366504440000006000001;2025-09-29;2025-09-29;2079-06-06
1644749909;174958811;689732762;0;1;6372;2025-09-30;2025-09-30;2079-06-06
1644749911;174958811;689732762;0;6;36234826000;2025-09-30;2025-09-30;2079-06-06
1644749913;174958811;689732762;0;10;63019000000006100;2025-09-30;2025-09-30;2079-06-06
1644749915;174958811;689732762;0;13;366344260000012000001;2025-09-30;2025-09-30;2079-06-06
1644804473;174965597;689746576;0;6;36226808000;2025-09-30;2025-09-30;2079-06-06
1644804475;174965597;689746576;0;1;6375;2025-09-30;2025-09-30;2079-06-06
1644804477;174965597;689746576;0;10;63015000000037600;2025-09-30;2025-09-30;2079-06-06
1644804479;174965597;689746576;0;13;366264080000010000001;2025-09-30;2025-09-30;2079-06-06
1644807428;174965899;689747707;0;6;36226808000;2025-09-30;2025-09-30;2079-06-06
1644807430;174965899;689747707;0;1;6375;2025-09-30;2025-09-30;2079-06-06
1644807432;174965899;689747707;0;10;63015000000037700;2025-09-30;2025-09-30;2079-06-06
1644807434;174965899;689747707;0;13;366264080000011000001;2025-09-30;2025-09-30;2079-06-06
1644807909;174965951;689747817;0;1;6312;2025-09-30;2025-09-30;2079-06-06
1644807911;174965951;689747817;0;6;36228563000;2025-09-30;2025-09-30;2079-06-06
1644807913;174965951;689747817;0;10;63016000000132000;2025-09-30;2025-09-30;2079-06-06
1644807915;174965951;689747817;0;13;366281630001117000001;2025-09-30;2025-09-30;2079-06-06
17612947;1133883;3117567;689756818;10;63000003000003704;2025-09-30;2016-09-29;2025-09-30
17614552;1133883;3117567;689756818;15;0037;2025-09-30;2016-09-29;2025-09-30
1644843127;1133883;689756818;0;13;367130000010639000011;2025-09-30;2025-09-30;2079-06-06
1644843226;1131416;689756837;0;10;63000003000033900;2025-09-30;2025-09-30;2079-06-06
1644968470;174985024;689807331;0;1;6382;2025-10-01;2025-10-01;2079-06-06
1644968472;174985024;689807331;0;6;36240839000;2025-10-01;2025-10-01;2079-06-06
1644968474;174985024;689807331;0;10;63022000000229700;2025-10-01;2025-10-01;2079-06-06
1644968476;174985024;689807331;0;13;366404390002154000001;2025-10-01;2025-10-01;2079-06-06
