ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
20890661;35851665;a52136ff-7b5e-405b-a726-0169f6974f34;54445977;10;2;10;0;111796030;2025-09-29;1900-01-01;2025-09-29;0;0
111795940;174917840;9387eabf-bcef-46d1-bcbc-1d7de2e49f65;689642585;1;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796325;10998539;31dcb8a2-1a47-4774-89c5-c989d4fd2f3d;689646260;2;2;55;5829374;129167277;2025-09-29;2025-09-29;2079-06-06;1;0
111796326;10998565;3b16f54c-ed04-4499-afd2-a01010b47b98;689646262;1;2;55;5829397;129167278;2025-09-29;2025-09-29;2079-06-06;1;0
111803670;33553747;8b5aa7a8-0f90-4dfa-8c72-e3d446069bf9;689687665;1;2;30;19458337;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803771;174939580;d03c3598-db1f-45c8-8220-bdb5ecdee15f;689688783;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111808666;174958684;6108c5f8-55f4-4cce-9a65-12654874e2ca;689732566;4;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111809536;174963557;7225a124-5f13-4c7e-a1ed-1cce0eb4de98;689742683;1;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
46983199;78548476;7866c5b5-1bbc-46a8-a59d-4d3b4c066896;116768982;1;2;10;0;111809548;2025-09-30;2017-11-27;2025-09-30;0;0
18192330;31484747;808bcd44-73a9-46a1-9b01-fb67c7d17dd7;48143984;2;2;10;0;111809566;2025-09-30;2017-11-24;2025-09-30;0;0
43111996;72200512;e4ea55bd-eed4-4cee-b2b9-738af1702713;107511744;2;2;10;0;111809555;2025-09-30;2019-07-26;2025-09-30;0;0
43115276;72206527;1f1bf6e6-f624-4d2c-931c-b8348c0d2f60;107521230;2;2;10;0;111809753;2025-09-30;2017-11-27;2025-09-30;0;0
111809759;174964215;42133075-51ca-4453-a2fa-520ec50f333a;689743646;52;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
